count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0.0,1.0,2023/9/30,00:43.7,2023/9/30,00:43.7,1.0,1.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Taiji, Iimori",1000126480.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,141.2097,-2.688439,-3.052685,2150.363075,211.731656,1:00,1.609699,0.655688,1.972969,-45.817,44.3361,25.6698,0.397399,0.057115,129.60262,-6.128915,-1.22168,0.42879,,,,,,,,,,,,-15.5658,25.9459,-0.591428,15.24,1.549386,1.953379,-38.812574,-1.968749,-3.075244,7.769243,-4.680654,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,c8847df0-5f2c-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,141.46779,,,11.60709,,,,16.466934,-39.057402,3.884621,1.609102,-1.82125,-2.340327,-0.654511,2.050287,-1.537622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0bc967f9-5fc3-464e-af15-99f5a2e47111,2023-09-30T10:00:43.6610000+09:00,2023-09-30T01:00:43.6610000Z,NoShift,25.61367434,20.91722158,40.54841973,8.652779426,21.35857766,-14.53514276,39.22066738,-11.40987125,81.15527989,-14.28537201,,,79.44553629,28.30565111,1696035644.0,御手洗 悠,1.0,2023/9/30,1.0,1163.09372,1163.093727,1696035644.0,Normal,1.0,1.0,1.0,Top,0.0,0.0,0.0,1.0,飯森,Left,塩野目,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:05:44,342.0,https://youtu.be/W_LNFk8Ugcw&t=342,1027.0,https://youtu.be/swWI8gN3AbY&t=1027,2327201000,23A
1.0,2.0,2023/9/30,00:54.3,2023/9/30,00:54.3,1.0,2.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Taiji, Iimori",1000126480.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,0.0,1.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0.0,0.0,,141.25894,-1.895804,-2.565201,2221.659722,212.503462,1:00,1.619127,0.643094,1.97128,-44.488,45.5405,27.2159,0.64282,0.196685,129.42077,-5.250814,-0.623129,0.428494,117.22279,51.655433,-90.026659,4643.616753,,,,,8.364924,,,-16.0185,26.0146,-0.589298,15.24,1.575882,1.615935,-38.85802,-1.424387,-3.169059,7.858041,-4.659986,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,ced6afc0-5f2c-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,141.56567,10.151947,,11.83817,,,,16.468477,-39.105659,3.929021,1.618457,-1.277531,-2.329993,-0.641797,1.715805,-1.584529,0.252534,0.590562,-0.188871,38.346014,0.254692,-0.078627,-2.387495,,,,,,,0.591322,25.513971,-6.029983,,,,,,,-0.189311,-20.187157,1.242782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e94c7b9-faa6-40a6-ae5f-c34ea16eb260,2023-09-30T10:00:54.2870000+09:00,2023-09-30T01:00:54.2870000Z,NoShift,25.35522584,20.77984972,41.06389283,8.373225991,21.92650849,-15.31035852,39.57270651,-11.43428591,60.55205936,-38.95144201,80.52170717,-15.04173164,80.13597587,27.60660766,1696035654.0,御手洗 悠,2.0,2023/9/30,2.0,1173.838711,1173.838715,1696035655.0,Normal,1.0,2.0,1.0,Top,0.0,0.0,1.0,1.0,飯森,Left,塩野目,Right,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:05:55,353.0,https://youtu.be/W_LNFk8Ugcw&t=353,1037.0,https://youtu.be/swWI8gN3AbY&t=1037,2327201001,23A
2.0,3.0,2023/9/30,01:13.6,2023/9/30,01:13.6,1.0,3.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Taiji, Iimori",1000126480.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,0.0,2.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,140.0253,-1.120482,-4.23537,2103.932357,207.754844,1:00,1.57888,0.660686,1.940356,-41.5395,51.509,25.43,0.848318,-0.275095,126.94276,-4.289839,-2.430161,0.435622,,,,,,,,,,,,-16.363,28.5503,-0.568522,15.24,1.551699,2.724102,-38.419909,-0.871468,-3.137131,8.31707,-4.332953,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,da5cf930-5f2c-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,139.24931,,,13.08255,,,,16.498651,-38.69142,4.158535,1.577839,-0.730019,-2.166477,-0.659122,2.826514,-1.568566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ad507ae-80d7-4628-8075-4374c238811a,2023-09-30T10:01:13.5720000+09:00,2023-09-30T01:01:13.5720000Z,NoShift,26.28241533,21.69837741,41.09782976,8.568857561,22.66196386,-16.44870283,39.83100838,-11.18903818,57.75231505,-39.20605155,80.10834621,-15.75115037,81.21093625,26.7617989,1696035674.0,御手洗 悠,3.0,2023/9/30,3.0,1192.606454,1192.606456,1696035673.0,Normal,1.0,3.0,1.0,Top,0.0,0.0,2.0,1.0,飯森,Left,塩野目,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:06:14,372.0,https://youtu.be/W_LNFk8Ugcw&t=372,1049.0,https://youtu.be/swWI8gN3AbY&t=1049,2327201002,23A
3.0,4.0,2023/9/30,01:28.5,2023/9/30,01:28.5,1.0,4.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Taiji, Iimori",1000126480.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,1.0,2.0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1.0,0.0,,144.00682,-1.41927,-3.109051,2204.558816,205.27166,12:45,1.591193,0.66128,1.944278,-38.398,48.9418,21.7598,0.808573,0.006226,131.21103,-4.34366,-1.560678,0.422047,130.54231,20.886016,-24.926728,3881.508543,29.001788,9.081968,-16.823139,73.739318,70.521424,-36.66016,2.914108,-13.6179,27.4192,-0.594107,15.24,1.557776,2.046659,-39.582903,-1.096459,-2.782731,8.511093,-4.203715,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,e33a69c0-5f2c-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,143.72807,9.344308,,12.79579,,,,16.495337,-39.85191,4.255547,1.590331,-0.963593,-2.101858,-0.660185,2.134612,-1.391365,0.295612,0.793911,-0.006754,118.805535,0.295594,30.723847,-5.680579,1.178797,-0.24102,0.036322,-0.002068,-0.000823,0.000169,0.793916,12.927496,-5.251167,0.305873,-0.035128,0.012114,-0.006081,0.001991,-0.000247,-0.006754,-14.278429,-1.074379,0.578231,-0.185532,0.044779,-0.008523,0.001095,-7e-05,,,,,,,,,,,,,,,,,,,,,,,81d6b81d-f38a-474c-ab05-2d1592885a57,2023-09-30T10:01:28.4970000+09:00,2023-09-30T01:01:28.4970000Z,NoShift,26.56857754,21.91403285,41.51223793,8.668233855,22.7521357,-16.72535605,39.52823131,-11.55898737,79.58022653,-15.92563662,,,82.05487343,26.62112406,1696035688.0,御手洗 悠,4.0,2023/9/30,4.0,1207.957844,1207.957853,1696035689.0,Normal,1.0,4.0,1.0,Top,0.0,1.0,2.0,1.0,飯森,Left,塩野目,Right,,,,,Undefined,InPlay,FlyBall,Out,Undefined,1.0,0.0,西川侑,7.0,,飯森,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,左飛,0:06:29,387.0,https://youtu.be/W_LNFk8Ugcw&t=387,1063.0,https://youtu.be/swWI8gN3AbY&t=1063,2327201003,23A
4.0,5.0,2023/9/30,01:55.4,2023/9/30,01:55.4,2.0,1.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Nanato, Sakakibara",1000242816.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,110.39383,-1.103785,-4.250344,2128.870678,7.237883,6:15,1.592759,0.56582,1.923978,-186.6842,-36.4201,-5.2341,-0.584875,-0.682042,102.83599,-14.46055,-4.624146,0.553582,,,,,,,,,,,,-0.5914,-18.1716,-0.470503,15.24,1.556929,2.271739,-30.33398,-1.149653,-0.070255,5.452419,-11.965504,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,f34af640-5f2c-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,109.57717,,,7.55783,,,,16.517769,-30.562792,2.72621,1.594639,-0.64752,-5.982752,-0.565899,2.274688,-0.035127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89646bfa-3da2-4a67-b2a1-bbefd55738d6,2023-09-30T10:01:55.4270000+09:00,2023-09-30T01:01:55.4270000Z,NoShift,26.42428221,21.90250454,43.29540215,11.83584265,23.06212502,-16.45800421,41.97132097,-11.50000147,83.06815145,-36.79004525,94.64487535,0.119078057,81.56329532,40.12764448,1696035715.0,御手洗 悠,5.0,2023/9/30,5.0,1234.936163,1234.93617,1696035716.0,Normal,2.0,1.0,1.0,Top,1.0,0.0,0.0,2.0,榊原,Left,塩野目,Right,,,,,Undefined,BallinDirt,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:06:56,414.0,https://youtu.be/W_LNFk8Ugcw&t=414,1078.0,https://youtu.be/swWI8gN3AbY&t=1078,2327201004,23A
5.0,6.0,2023/9/30,02:13.2,2023/9/30,02:13.2,2.0,2.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Nanato, Sakakibara",1000242816.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,1.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0.0,0.0,,142.77058,-1.033858,-2.277602,2265.34644,203.879432,12:45,1.60205,0.640135,1.94256,-37.6853,51.2425,21.3823,0.935006,0.2149,129.80617,-3.917516,-0.754608,0.425866,,,,,,,,,,,,-12.5303,28.0809,-0.590919,15.24,1.576905,1.451241,-39.242592,-0.809095,-2.515688,8.394202,-4.168883,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,fde3f980-5f2c-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,142.43903,,,12.96441,,,,16.495403,-39.510217,4.197101,1.600581,-0.676182,-2.084441,-0.638466,1.531447,-1.257844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f0be380-a68e-409c-b5bc-fe9bd6abe7c4,2023-09-30T10:02:13.2150000+09:00,2023-09-30T01:02:13.2150000Z,NoShift,26.29076858,21.78230929,43.42664898,11.47249411,23.40391625,-16.70655974,41.37273159,-11.34032436,83.09980731,-37.12676411,93.82729048,-0.589011878,82.57908577,39.79902592,1696035733.0,御手洗 悠,6.0,2023/9/30,6.0,1252.690194,1252.6902,1696035734.0,Normal,2.0,2.0,1.0,Top,1.0,1.0,0.0,2.0,榊原,Left,塩野目,Right,,,,,Undefined,FoulBall,LineDrive,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:07:14,432.0,https://youtu.be/W_LNFk8Ugcw&t=432,1096.0,https://youtu.be/swWI8gN3AbY&t=1096,2327201005,23A
6.0,7.0,2023/9/30,02:30.1,2023/9/30,02:30.1,2.0,3.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Nanato, Sakakibara",1000242816.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,1.0,1.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,108.62177,4.456059,-1.982489,1951.558725,25.739067,6:45,1.593565,0.541377,1.880287,-187.0267,-31.8958,-17.6954,0.981067,-0.193915,99.76029,-9.094493,-3.237367,0.562476,,,,,,,,,,,,7.6142,-17.9432,-0.494616,15.24,1.685547,1.099881,-29.827902,1.719837,0.882917,4.862818,-11.887277,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,080582d0-5f2d-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,107.84468,,,8.86148,,,,16.560925,-30.04248,2.431409,1.598085,2.244377,-5.943639,-0.54229,1.060921,0.441459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6a095fb6-2841-4f17-bda9-ffbd525f498b,2023-09-30T10:02:30.0660000+09:00,2023-09-30T01:02:30.0660000Z,NoShift,26.45312263,21.95881487,44.88723919,12.41486171,23.65709656,-17.07143092,42.48953173,-11.26080249,78.82756021,-40.93083224,93.24661466,-4.89898079,82.24186166,40.15680069,1696035750.0,御手洗 悠,7.0,2023/9/30,7.0,1269.705125,1269.705134,1696035751.0,Normal,2.0,3.0,1.0,Top,1.0,1.0,1.0,2.0,榊原,Left,塩野目,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:07:30,448.0,https://youtu.be/W_LNFk8Ugcw&t=448,1109.0,https://youtu.be/swWI8gN3AbY&t=1109,2327201006,23A
7.0,8.0,2023/9/30,02:45.2,2023/9/30,02:45.2,2.0,4.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Nanato, Sakakibara",1000242816.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,2.0,1.0,Splitter,Splitter,FoulBall,Undefined,Undefined,,Undefined,0.0,0.0,,128.80633,-0.96047,-3.057156,977.006422,251.68265,2:30,1.574284,0.630682,1.850297,-100.1322,8.9377,17.7055,0.301654,-0.055341,119.65663,-8.212453,-1.802183,0.471636,,,,,,,,,,,,-11.1617,6.0692,-0.559646,15.24,1.54508,1.817903,-35.449458,-0.962171,-1.852813,6.030375,-8.799179,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,11001850-5f2d-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,128.61609,,,9.14969,,,,16.590285,-35.678419,3.015188,1.575269,-0.628085,-4.39959,-0.630003,1.888251,-0.926406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d788b2b-9712-44f7-ba7a-0f22f3378469,2023-09-30T10:02:45.2200000+09:00,2023-09-30T01:02:45.2200000Z,NoShift,26.8145589,22.18789912,44.3574243,12.06571034,24.00903289,-17.28094327,42.23873557,-11.55947889,78.9269091,-40.92754374,93.46740643,-5.776610254,82.24045774,40.14547534,1696035765.0,御手洗 悠,8.0,2023/9/30,8.0,1284.696104,1284.69611,1696035766.0,Normal,2.0,4.0,1.0,Top,1.0,2.0,1.0,2.0,榊原,Left,塩野目,Right,,,,,Undefined,FoulBall,GroundBall,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:07:45,463.0,https://youtu.be/W_LNFk8Ugcw&t=463,1124.0,https://youtu.be/swWI8gN3AbY&t=1124,2327201007,23A
8.0,9.0,2023/9/30,03:08.8,2023/9/30,03:08.8,2.0,5.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Nanato, Sakakibara",1000242816.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,2.0,2.0,Splitter,Splitter,InPlay,Undefined,FlyBall,Popup,Out,1.0,0.0,,129.86271,-0.589292,-2.586396,982.126236,237.364428,2:00,1.619236,0.612871,1.846045,-94.1717,13.4067,16.0417,0.511092,0.043117,120.10869,-7.436052,-1.449465,0.4684,124.3138,63.963392,2.580111,4848.82088,,,,39.37943,39.265826,-14.916332,5.807518,-10.0428,8.1797,-0.552673,15.24,1.599134,1.545203,-35.744044,-0.713924,-1.689693,6.327661,-8.430431,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,1f05e0b0-5f2d-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,129.50462,41.378746,,9.75402,,,,16.594339,-35.983,3.16383,1.620084,-0.39556,-4.215215,-0.61223,1.609012,-0.844846,0.586405,0.725295,-0.072615,171.056969,0.586867,15.127566,-5.043059,1.458181,-0.253635,0.016832,0.002608,-0.00056,2.8e-05,0.722115,31.082054,-7.300325,0.840169,-0.219727,0.052045,-0.007808,0.00059,-2e-05,-0.072686,0.681874,-1.526863,0.492126,-0.105358,0.014395,-0.000948,1e-06,2e-06,,,,,,,,,,,,,,,,,,,,,,,2f0d05f2-8959-4e02-8ef9-ba84f763475d,2023-09-30T10:03:08.7870000+09:00,2023-09-30T01:03:08.7870000Z,NoShift,27.81043732,23.18575304,44.40160237,12.90726406,25.74196576,-17.40888511,44.03772938,-11.210644,74.01166272,-40.94111855,93.46051985,-6.72254916,82.86425898,40.10812604,1696035789.0,御手洗 悠,9.0,2023/9/30,9.0,1308.350184,1308.350192,1696035789.0,Normal,2.0,5.0,1.0,Top,1.0,2.0,2.0,2.0,榊原,Left,塩野目,Right,,,,,Undefined,InPlay,Popup,Out,Undefined,1.0,0.0,鬼頭,6.0,,榊原,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,遊飛,0:08:09,487.0,https://youtu.be/W_LNFk8Ugcw&t=487,1138.0,https://youtu.be/swWI8gN3AbY&t=1138,2327201008,23A
9.0,10.0,2023/9/30,03:42.0,2023/9/30,03:42.0,3.0,1.0,"Shinji, Shionome",1000126676.0,Right,RIK,"Rui, Muneyama",1000101247.0,Left,MEI_MEI,Undefined,1.0,Top,2.0,0.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0.0,0.0,,142.52246,-1.638141,-4.239811,2211.392098,201.538367,12:45,1.571722,0.636905,2.007479,-34.0027,54.1944,20.3073,0.772777,-0.346379,130.5205,-4.249246,-2.792594,0.424113,132.13467,16.397409,65.387711,3779.394121,12.054946,6.334058,31.285826,61.831889,51.799689,72.999478,2.274279,-13.6245,30.5011,-0.5493,15.24,1.535633,2.811753,-39.156925,-1.211965,-2.740087,7.895795,-3.672457,RIK,MEI_MEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-1,32cc2230-5f2d-11ee-ad0a-910e065db45f,482dd4fa-9725-4a9e-8abe-c6d84d2e3d53,v3,,,,"Shingo, Tomaru",1000101287.0,Right,RIK,143.02786,6.336094,,12.00196,,,,16.432487,-39.39665,3.947898,1.570737,-1.100465,-1.836228,-0.63593,2.894945,-1.370043,0.460688,0.860233,0.304996,,0.460695,14.664019,-4.685179,1.026284,-0.164906,0.010239,0.003597,-0.001148,0.000113,0.86021,10.363514,-5.081995,0.222853,-0.109213,0.084198,-0.035827,0.007975,-0.000725,0.305018,32.010207,-4.544731,1.178986,-0.164922,-0.03021,0.024596,-0.006019,0.000564,,,,,,,,,,,,,,,,,,,,,,,fb049635-2e59-4267-b769-e0cc59be166a,2023-09-30T10:03:41.9800000+09:00,2023-09-30T01:03:41.9800000Z,NoShift,28.27165259,23.80155718,45.82756044,18.59009715,26.64773759,-19.59931313,45.60640546,-10.87022639,80.86702713,-44.91631104,100.5691894,-0.731299648,80.91420718,43.01128385,1696035822.0,御手洗 悠,10.0,2023/9/30,10.0,1341.506912,1341.506918,1696035822.0,Normal,3.0,1.0,1.0,Top,2.0,0.0,0.0,3.0,宗山,Left,塩野目,Right,,,,,Undefined,FoulBall,LineDrive,Undefined,Undefined,0.0,0.0,,,,,,,戸丸,菅谷,柴田,吉野,鬼頭,西川侑,桑垣,鈴木唯,,0:08:42,520.0,https://youtu.be/W_LNFk8Ugcw&t=520,1156.0,https://youtu.be/swWI8gN3AbY&t=1156,2327201009,23A
