count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/9/30,59:44.5,2023/9/30,59:44.5,1.0,1.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Splitter,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,131.62902,0.54149,-1.979305,1549.791325,266.722219,3:00,1.660246,0.564722,1.755829,-101.6123,4.5982,24.3107,0.797837,0.246087,121.08461,-6.813252,-0.265042,0.465413,,,,,,,,,,,,-13.6603,3.0608,-0.516481,15.24,1.666569,1.135132,-36.212052,-0.066386,-2.351473,6.700588,-9.27977,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,ca2b46c0-5f45-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,130.33587,,,10.54441,,,,16.683984,-36.478265,3.350294,1.661883,0.302297,-4.639885,-0.563435,1.228555,-1.175737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,1.0,2023/9/30,1.0,1103.793776,1103.793783,1696046385,Normal,1.0,1.0,1,Top,0,0,0,1,吉川,Left,松岡,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:05:34,332,https://youtu.be/ix3rnABBH4Y&t=332,1034,https://youtu.be/rQVBsGuYgyI&t=1034,2327210000,23A
1,2.0,2023/9/30,59:57.9,2023/9/30,59:57.9,1.0,2.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,1.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,117.61386,4.976666,0.220477,2555.670251,26.231064,6:45,1.637704,0.53815,1.707619,-180.2393,-43.4832,-23.7844,1.254936,0.36304,106.30588,-7.980287,-1.449803,0.528114,,,,,,,,,,,,12.0055,-23.9609,-0.542105,15.24,1.75419,-0.015484,-32.228122,2.099387,1.607067,6.245914,-13.014088,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,d227a620-5f45-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,114.86151,,,11.30798,,,,16.7332,-32.516221,3.122957,1.64351,2.699675,-6.507044,-0.539682,-0.089611,0.803534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,2.0,2023/9/30,2.0,1117.079391,1117.079394,1696046398,Normal,1.0,2.0,1,Top,0,0,1,1,吉川,Left,松岡,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:05:47,345,https://youtu.be/ix3rnABBH4Y&t=345,1047,https://youtu.be/rQVBsGuYgyI&t=1047,2327210001,23A
2,3.0,2023/9/30,00:11.9,2023/9/30,00:11.9,1.0,3.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,1.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,138.4299,-1.740684,-1.969057,2152.182137,225.558125,1:30,1.622849,0.593738,1.800082,-52.6462,45.1558,42.2403,0.603466,0.458831,124.23911,-5.697869,1.016235,0.44661,,,,,,,,,,,,-23.0846,25.6071,-0.548303,15.24,1.576659,1.090506,-37.975118,-1.333378,-4.266912,9.056486,-5.07348,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,da7c1090-5f45-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,135.8232,,,14.19079,,,,16.638346,-38.30715,4.528243,1.622134,-1.147372,-2.53674,-0.591151,1.246941,-2.133456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,3.0,2023/9/30,3.0,1137.464147,1137.464158,1696046418,Normal,1.0,3.0,1,Top,0,1,1,1,吉川,Left,松岡,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:06:01,359,https://youtu.be/ix3rnABBH4Y&t=359,1067,https://youtu.be/rQVBsGuYgyI&t=1067,2327210002,23A
3,4.0,2023/9/30,00:26.8,2023/9/30,00:26.8,1.0,4.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,2.0,Splitter,Changeup,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,132.74719,-1.424816,-2.701335,1450.388711,258.926598,2:45,1.645848,0.57032,1.785323,-94.3561,10.0591,34.7673,0.298275,0.152462,122.18289,-8.256549,-0.244278,0.461463,127.24995,-34.322166,158.929415,,,,,0.14177,0.537106,2.813985,0.016707,-19.775,7.0786,-0.505966,15.24,1.60392,1.561535,-36.496833,-1.277874,-3.447639,7.001041,-8.572542,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,e35896c0-5f45-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,131.4516,0.33339,,10.5643,,,,16.654936,-36.767253,3.500521,1.646884,-0.946754,-4.286271,-0.568853,1.694702,-1.723819,0.597274,0.33339,-0.168602,,0.597366,-27.274649,,,,,,,,0.333457,-19.955211,,,,,,,,-0.168637,10.508327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,4.0,2023/9/30,4.0,1146.083073,1146.083075,1696046427,Normal,1.0,4.0,1,Top,0,1,2,1,吉川,Left,松岡,Right,,,,,Undefined,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:06:16,374,https://youtu.be/ix3rnABBH4Y&t=374,1076,https://youtu.be/rQVBsGuYgyI&t=1076,2327210003,23A
4,5.0,2023/9/30,00:52.0,2023/9/30,00:52.0,1.0,5.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,2.0,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,121.94113,0.869603,-2.135414,2606.913749,5.76345,6:15,1.620355,0.56248,1.728296,-165.4418,-39.9813,-4.4425,0.213248,-0.089057,112.20555,-10.956028,-2.448931,0.505834,,,,,,,,,,,,0.6132,-19.9553,-0.507178,15.24,1.63012,1.269945,-33.537296,-0.135882,0.08938,6.465293,-12.71511,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,f269b4a0-5f45-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,119.92073,,,9.73558,,,,16.712907,-33.82005,3.232647,1.623903,0.420202,-6.357555,-0.562633,1.266036,0.04469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,5.0,2023/9/30,5.0,1171.284489,1171.284515,1696046452,Normal,1.0,5.0,1,Top,0,1,2,1,吉川,Left,松岡,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Strikeout,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,空三振,0:06:41,399,https://youtu.be/ix3rnABBH4Y&t=399,1091,https://youtu.be/rQVBsGuYgyI&t=1091,2327210004,23A
5,6.0,2023/9/30,01:34.6,2023/9/30,01:34.6,2.0,1.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,0.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,130.65944,1.454921,-1.382724,2653.669838,222.509758,1:30,1.648836,0.548404,1.69955,-97.0707,12.1398,7.9278,1.092522,0.233977,119.23768,-5.589029,-0.825993,0.47194,,,,,,,,,,,,-4.9821,6.2147,-0.512759,15.24,1.679458,0.827892,-35.905581,0.520323,-0.838295,6.957078,-8.76096,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,0bc826c0-5f46-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,128.53328,,,11.42176,,,,16.739688,-36.194995,3.478539,1.650232,0.884778,-4.38048,-0.547924,0.862765,-0.419147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,6.0,2023/9/30,6.0,1213.922688,1213.922697,1696046495,Normal,2.0,1.0,1,Top,1,0,0,2,廣瀬,Right,松岡,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:07:24,442,https://youtu.be/ix3rnABBH4Y&t=442,1115,https://youtu.be/rQVBsGuYgyI&t=1115,2327210005,23A
6,7.0,2023/9/30,01:48.5,2023/9/30,01:48.5,2.0,2.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,139.93955,-2.841457,-3.534411,2207.491415,223.265165,1:30,1.614067,0.597922,1.792112,-47.0318,48.425,42.2925,0.337248,0.01912,126.43158,-6.37533,-0.552461,0.441223,,,,,,,,,,,,-24.406,28.032,-0.513757,15.24,1.54074,2.155999,-38.346262,-2.065307,-4.634772,8.694018,-4.483282,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,1410f870-5f46-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,137.48148,,,13.50797,,,,16.647113,-38.663972,4.347009,1.61322,-1.901472,-2.241641,-0.595639,2.32537,-2.317386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,7.0,2023/9/30,7.0,1227.806402,1227.806406,1696046509,Normal,2.0,2.0,1,Top,1,1,0,2,廣瀬,Right,松岡,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:07:38,456,https://youtu.be/ix3rnABBH4Y&t=456,1129,https://youtu.be/rQVBsGuYgyI&t=1129,2327210006,23A
7,8.0,2023/9/30,02:05.8,2023/9/30,02:05.8,2.0,3.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2.0,0.0,Fastball,Sinker,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,141.4073,-1.476402,-3.887653,2120.809835,227.100721,1:30,1.614118,0.590245,1.848241,-50.8036,41.714,41.368,0.688563,-0.094398,127.89629,-5.286503,-0.962942,0.434377,142.87701,29.476383,6.793493,3739.758833,33.043606,17.088094,5.677608,94.619731,94.004285,14.711469,4.61848,-24.3234,23.5858,-0.500844,15.24,1.575902,2.431706,-38.790526,-1.177366,-4.737104,8.736095,-5.213194,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,1e535030-5f46-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,139.64823,21.494964,,13.51101,,,,16.591166,-39.093641,4.368048,1.613614,-0.996485,-2.606597,-0.588068,2.596069,-2.368552,0.213848,0.672544,0.095093,202.981673,0.213884,34.308204,-6.983664,1.69411,-0.38648,0.089462,-0.017913,0.002296,-0.000127,0.672875,19.520205,-4.865362,0.047282,0.125192,-0.071047,0.019918,-0.002752,0.000148,0.094942,4.09044,0.834971,-0.302262,0.075824,-0.014521,0.002028,-0.000188,9e-06,,,,,,,,,,,,,,,,,,,,,,,安 秀明,8.0,2023/9/30,8.0,1244.889948,1244.889953,1696046526,Normal,2.0,3.0,1,Top,1,2,0,2,廣瀬,Right,松岡,Right,,,,,Undefined,InPlay,FlyBall,Out,Undefined,1,0,酒井捷,9.0,,廣瀬,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,右飛,0:07:55,473,https://youtu.be/ix3rnABBH4Y&t=473,1146,https://youtu.be/rQVBsGuYgyI&t=1146,2327210007,23A
8,9.0,2023/9/30,02:42.1,2023/9/30,02:42.1,3.0,1.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,2,0.0,0.0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,121.76033,2.594389,-1.998534,2553.287582,17.907178,6:30,1.614832,0.533753,1.744532,-161.5071,-36.1079,-12.9503,0.737239,-0.163348,111.69142,-9.0014,-2.911093,0.505711,,,,,,,,,,,,5.083,-19.0596,-0.481922,15.24,1.668967,1.225103,-33.468494,0.889212,0.740461,6.241207,-12.583159,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,340730e0-5f46-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,119.95002,,,10.06892,,,,16.69652,-33.739013,3.120604,1.618605,1.434616,-6.29158,-0.534327,1.193008,0.37023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,9.0,2023/9/30,9.0,1283.412987,1284.412995,1696046565,Normal,3.0,1.0,1,Top,2,0,0,3,本間,Right,松岡,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:08:32,510,https://youtu.be/ix3rnABBH4Y&t=510,1170,https://youtu.be/rQVBsGuYgyI&t=1170,2327210008,23A
9,10.0,2023/9/30,02:55.9,2023/9/30,02:55.9,3.0,2.0,"Yuki, Matsuoka",1000091921,Right,TOK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,2,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.37999,-1.880237,-5.34144,2177.448207,223.447912,1:30,1.621892,0.580302,1.784166,-48.1859,47.3665,41.4643,0.605035,-0.52215,126.17631,-5.50813,-2.431747,0.441444,,,,,,,,,,,,-25.3841,26.6946,-0.45057,15.24,1.571811,3.375131,-38.381217,-1.428286,-4.817385,8.886998,-4.740561,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230930-JinguStadium-2,3c3834d0-5f46-11ee-a477-4968e0a167c7,d20f6fd9-2d83-4daf-b95c-0a8aeb3a9398,v3,,,,"Taisei, Wada",1000091929,Right,TOK,137.41269,,,14.20368,,,,16.654631,-38.707383,4.443499,1.621039,-1.254301,-2.370281,-0.577687,3.551936,-2.408692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,10.0,2023/9/30,10.0,1295.096837,1295.096841,1696046576,Normal,3.0,2.0,1,Top,2,0,1,3,本間,Right,松岡,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,和田,大井,山口真,内田,青貝,近藤悟,別府,酒井捷,,0:08:45,523,https://youtu.be/ix3rnABBH4Y&t=523,1181,https://youtu.be/rQVBsGuYgyI&t=1181,2327210009,23A
