count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,playid,season
0,1.0,2023/10/8,00:40.9,2023/10/8,00:40.9,1.0,1.0,"Isshin, Obata",1000126682,Right,RIK,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,147.35227,-1.722752,-3.181602,1951.336631,211.112394,1:00,1.710101,0.465575,1.991921,-44.3837,38.3215,21.5487,0.783738,-0.209347,134.77597,-5.062585,-1.64343,0.410697,87.651,15.721915,5.634972,2036.482784,,,,31.45479,31.389239,1.573747,1.540342,-13.5664,22.1295,-0.399335,15.24,1.671286,2.150426,-40.516783,-1.365864,-2.913176,8.67722,-5.054681,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,7bf56af0-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,147.70029,3.057277,,12.57629,,,,16.447879,-40.774646,4.33861,1.709644,-1.215653,-2.52734,-0.464526,2.236997,-1.456588,0.240491,0.793753,0.208451,114.157672,0.240492,23.323299,-2.38232,0.32852,-0.044974,-0.018066,0.020729,-0.009303,0.001663,0.793752,6.597429,-4.976921,0.27383,-0.045336,0.024847,-0.016467,0.007573,-0.001402,0.208451,2.301281,-1.576433,0.331879,-0.075903,-0.004092,0.019442,-0.011069,0.002174,,,,,,,,,,,,,,,,,,,,,,,fc7dcadd-58cf-420c-9008-e4a38d8d019a,2023-10-08T11:00:40.9484350+09:00,2023-10-08T02:00:40.9484350Z,NoShift,28.19216057,23.47223154,44.99424809,14.34021513,24.60507338,-17.25971608,44.78795693,-11.51269643,74.57076094,-40.72972981,88.92595601,-4.860193241,73.08095977,40.07261584,1696730441,浅田 祐太朗,1.0,2023/10/8,1.0,449.9710591,449.9710591,1696730445,Normal,1.0,1.0,1,Top,0,0,0,1,尾瀬,Left,小畠,Left,,,,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,"鬼頭,平野",6.0,,尾瀬,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,遊ゴロ,0:05:07,305,https://youtu.be/l5XYrbHbpQw&t=305,1053,https://youtu.be/wXMNs5o_QCw&t=1053,2328003000,23A
1,2.0,2023/10/8,01:14.6,2023/10/8,01:14.6,2.0,1.0,"Isshin, Obata",1000126682,Right,RIK,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,1,0.0,0.0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,114.43586,2.090707,-0.125343,2354.424065,55.678569,7:45,1.807534,0.342639,1.777885,-161.6828,-21.5599,-37.6113,0.783289,-0.068985,105.98047,-9.538969,-2.78491,0.534576,,,,,,,,,,,,19.0692,-11.0632,-0.336894,15.24,1.848156,0.222815,-31.510286,0.575739,2.480987,5.162725,-11.246016,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,9016c4c0-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,113.47319,,,8.45538,,,,16.663251,-31.742619,2.581363,1.810859,1.081831,-5.623008,-0.344409,0.111166,1.240493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a61291e-4731-4bb9-9304-e3725b7f4d82,2023-10-08T11:01:14.5603134+09:00,2023-10-08T02:01:14.5603134Z,NoShift,28.2446489,23.03227284,46.9198019,11.96053521,27.18043173,-21.6831005,43.85527655,-12.2193143,78.11638081,-42.0802971,90.34548598,-0.935868359,69.69512803,39.12713349,1696730475,浅田 祐太朗,2.0,2023/10/8,2.0,483.9852121,483.9852121,1696730479,Normal,2.0,1.0,1,Top,1,0,0,2,中村将,Right,小畠,Left,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,,0:05:41,339,https://youtu.be/l5XYrbHbpQw&t=339,1074,https://youtu.be/wXMNs5o_QCw&t=1074,2328003001,23A
2,3.0,2023/10/8,01:25.0,2023/10/8,01:25.1,2.0,2.0,"Isshin, Obata",1000126682,Right,RIK,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,1,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.50872,-3.345274,-2.863243,1941.235077,219.848975,1:15,1.71277,0.448217,1.990141,-47.3166,38.6328,29.9987,0.302013,-0.05304,132.77334,-6.880397,-0.719656,0.418674,,,,,,,,,,,,-17.7306,23.4098,-0.389046,15.24,1.639319,1.84782,-39.708592,-2.479183,-3.666958,8.122055,-4.965155,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,96419870-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,144.88601,,,11.73538,,,,16.44984,-39.955288,4.061028,1.71233,-2.328373,-2.482577,-0.446863,1.959199,-1.833479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c904cd0f-b0aa-4020-8cd7-9e222bd99ba7,2023-10-08T11:01:25.0536510+09:00,2023-10-08T02:01:25.0536510Z,NoShift,28.0228057,22.98093462,47.05265532,12.20659383,27.193929,-21.80227435,44.0390612,-12.24364618,76.09183642,-43.98158817,90.32353881,-1.67691655,69.04269573,38.57898118,1696730485,浅田 祐太朗,3.0,2023/10/8,3.0,494.1132953,494.1132953,1696730489,Normal,2.0,2.0,1,Top,1,0,1,2,中村将,Right,小畠,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,,0:05:51,349,https://youtu.be/l5XYrbHbpQw&t=349,1084,https://youtu.be/wXMNs5o_QCw&t=1084,2328003002,23A
3,4.0,2023/10/8,01:40.2,2023/10/8,01:40.2,2.0,3.0,"Isshin, Obata",1000126682,Right,RIK,"Masaki, Nakamura",1000089877,Right,WAS_EDA,Undefined,1,Top,1,1.0,1.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,148.20277,-1.929083,-3.068817,2200.736505,220.712831,1:15,1.697293,0.474428,2.070568,-42.758,37.8721,30.4732,0.732066,-0.075407,136.0593,-5.157982,-0.881877,0.405511,155.64129,-8.480989,-18.709213,,,,,4.992839,4.542838,-15.934919,0.109544,-18.2726,22.1583,-0.41499,15.24,1.65709,2.048708,-40.784957,-1.508277,-3.990623,8.487582,-4.967399,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,9f511580-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,149.5889,0.699472,,12.14347,,,,16.369554,-41.01935,4.243791,1.696848,-1.371097,-2.483699,-0.473089,2.158913,-1.995311,0.357934,0.699472,0.133926,180.0,0.356908,40.559584,,,,,,,,0.699634,-6.385321,,,,,,,,0.134273,-13.735932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e12d5f73-f34f-4b73-8ca9-24a38ef89984,2023-10-08T11:01:40.1686590+09:00,2023-10-08T02:01:40.1686590Z,NoShift,27.97764575,23.10245324,46.86055083,12.60803737,27.44016887,-21.89280614,44.30119631,-12.47793305,76.04821512,-44.22505132,90.09018702,-1.291242528,69.21974977,38.28207554,1696730500,浅田 祐太朗,4.0,2023/10/8,4.0,509.3545833,509.3545833,1696730504,Normal,2.0,3.0,1,Top,1,1,1,2,中村将,Right,小畠,Left,,,,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,"鬼頭,平野",6.0,,中村将,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,遊ゴロ,0:06:06,364,https://youtu.be/l5XYrbHbpQw&t=364,1099,https://youtu.be/wXMNs5o_QCw&t=1099,2328003003,23A
4,5.0,2023/10/8,02:17.2,2023/10/8,02:17.2,3.0,1.0,"Isshin, Obata",1000126682,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,2,0.0,0.0,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.48634,-2.444467,-2.367428,1557.596616,245.903478,2:15,1.714895,0.453936,1.921756,-72.4954,21.53,41.7811,0.302535,0.206598,127.77795,-7.755286,0.610529,0.437902,,,,,,,,,,,,-23.3729,13.7386,-0.403315,15.24,1.656003,1.384798,-38.098269,-1.893762,-4.456943,7.360043,-7.186862,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,b56083b0-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,138.52404,,,10.70838,,,,16.518491,-38.344459,3.680021,1.715328,-1.653364,-3.593431,-0.45213,1.533881,-2.228472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef6447b7-e427-4775-a352-b1d6d0df4734,2023-10-08T11:02:17.2471870+09:00,2023-10-08T02:02:17.2471870Z,NoShift,28.63503409,23.28960651,44.55760904,14.52491369,24.96355212,-16.93283615,44.4801174,-11.48826398,77.64610042,-42.76179289,92.4592157,-0.355869334,75.10596044,41.85145136,1696730537,浅田 祐太朗,5.0,2023/10/8,5.0,546.4062428,546.4062428,1696730541,Normal,3.0,1.0,1,Top,2,0,0,3,熊田,Left,小畠,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,,0:06:43,401,https://youtu.be/l5XYrbHbpQw&t=401,1117,https://youtu.be/wXMNs5o_QCw&t=1117,2328003004,23A
5,6.0,2023/10/8,02:31.9,2023/10/8,02:31.9,3.0,2.0,"Isshin, Obata",1000126682,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,2,1.0,0.0,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.6117,-1.133798,-1.207633,1417.904833,261.618993,2:45,1.744066,0.422232,1.855244,-88.2425,8.99,41.3858,0.541842,0.495535,126.08967,-7.550108,1.732467,0.445308,,,,,,,,,,,,-22.0324,6.4058,-0.396297,15.24,1.711882,0.596131,-37.617607,-1.091375,-4.095265,7.188044,-8.615983,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,be1dc210-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,136.22037,,,10.52203,,,,16.584775,-37.873697,3.594022,1.745297,-0.784411,-4.307992,-0.420135,0.742034,-2.047632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c704c783-3e0b-447d-912f-015fc54b9791,2023-10-08T11:02:31.8931518+09:00,2023-10-08T02:02:31.8931518Z,NoShift,28.6258616,23.41462312,45.61101818,14.30707476,25.09015226,-17.43846756,44.97911386,-11.11603114,75.65236591,-44.50351214,92.39408749,-0.519288576,74.53045015,41.37749953,1696730552,浅田 祐太朗,6.0,2023/10/8,6.0,560.9953022,560.9953022,1696730556,Normal,3.0,2.0,1,Top,2,1,0,3,熊田,Left,小畠,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,,0:06:58,416,https://youtu.be/l5XYrbHbpQw&t=416,1132,https://youtu.be/wXMNs5o_QCw&t=1132,2328003005,23A
6,7.0,2023/10/8,02:47.7,2023/10/8,02:47.7,3.0,3.0,"Isshin, Obata",1000126682,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,2,2.0,0.0,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.82845,-3.240719,-2.710234,1544.045924,242.470595,2:00,1.71524,0.42905,1.921835,-73.5094,23.2594,38.8048,0.068169,0.055503,126.05961,-8.619896,0.055341,0.444245,,,,,,,,,,,,-22.2657,15.2639,-0.370682,15.24,1.6384,1.608749,-37.599264,-2.395339,-4.121579,7.402315,-6.981172,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,c783c390-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,136.54635,,,10.76884,,,,16.518546,-37.85014,3.701157,1.715572,-2.158737,-3.490586,-0.427572,1.748435,-2.060789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6131b1cc-8a16-47ef-a948-c2d680353ef0,2023-10-08T11:02:47.7259838+09:00,2023-10-08T02:02:47.7259838Z,NoShift,28.20580684,23.14891822,45.89527076,14.23051843,25.18177523,-17.23112375,44.99587243,-11.49842361,75.62393999,-44.75698502,93.02515659,-1.009836585,75.83832817,41.92084356,1696730568,浅田 祐太朗,7.0,2023/10/8,7.0,576.8800921,576.8800921,1696730572,Normal,3.0,3.0,1,Top,2,2,0,3,熊田,Left,小畠,Left,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,,0:07:14,432,https://youtu.be/l5XYrbHbpQw&t=432,1148,https://youtu.be/wXMNs5o_QCw&t=1148,2328003006,23A
7,8.0,2023/10/8,03:06.4,2023/10/8,03:06.4,3.0,4.0,"Isshin, Obata",1000126682,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,2,3.0,0.0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.34136,-2.151009,-2.859125,2027.685578,219.327397,1:15,1.701342,0.438353,1.985592,-40.4281,43.8775,33.6424,0.694425,-0.025541,133.20282,-5.221006,-0.456896,0.414651,,,,,,,,,,,,-19.6094,25.372,-0.379109,15.24,1.653365,1.844838,-40.217448,-1.634681,-4.129906,8.914409,-4.463093,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,d2b00620-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,146.29162,,,13.13855,,,,16.453713,-40.48558,4.457204,1.700515,-1.500438,-2.231546,-0.436467,1.96906,-2.064953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c0c85f4-8b90-48bd-a1f5-babccab191ed,2023-10-08T11:03:06.4393790+09:00,2023-10-08T02:03:06.4393790Z,NoShift,27.83104937,23.09349798,45.54107648,13.87446724,25.67594464,-17.47146708,44.72184724,-11.80108921,75.36687703,-44.98344733,92.84993826,-1.147982407,75.56717642,41.76761344,1696730586,浅田 祐太朗,8.0,2023/10/8,8.0,595.5234494,595.5234494,1696730590,Normal,3.0,4.0,1,Top,2,3,0,3,熊田,Left,小畠,Left,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,,0:07:32,450,https://youtu.be/l5XYrbHbpQw&t=450,1166,https://youtu.be/wXMNs5o_QCw&t=1166,2328003007,23A
8,9.0,2023/10/8,03:18.9,2023/10/8,03:18.9,3.0,5.0,"Isshin, Obata",1000126682,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,1,Top,2,3.0,1.0,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,147.36044,-1.915091,-2.496387,1987.305135,222.340193,1:30,1.669017,0.446523,1.926586,-43.1239,40.7421,34.5364,0.699473,0.090671,133.88226,-5.168706,-0.038014,0.413568,166.69863,-6.510513,6.182107,,,,,5.718199,5.415544,5.089898,0.121693,-19.8447,23.4868,-0.392783,15.24,1.623823,1.595068,-40.500688,-1.499127,-4.227988,9.240942,-4.802698,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,da177880-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,146.67462,0.71628,,13.47817,,,,16.512979,-40.790106,4.620471,1.668419,-1.348711,-2.401349,-0.444813,1.727485,-2.113994,0.212032,0.71628,-0.094623,331.981549,0.212093,45.732415,-5.524061,,,,,,,0.716321,-5.254841,-5.191805,,,,,,,-0.094626,4.954715,-0.068389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596fe6ec-4902-4e70-bdec-7c7ab09f1a0e,2023-10-08T11:03:18.8773438+09:00,2023-10-08T02:03:18.8773438Z,NoShift,27.79219728,22.66824431,45.65157093,13.91549363,26.34245871,-17.68491886,44.70177744,-11.43407382,75.64022482,-45.39490804,93.03786386,-1.369686541,76.04359808,41.50919999,1696730599,浅田 祐太朗,9.0,2023/10/8,9.0,608.0156541,608.0156541,1696730603,Normal,3.0,5.0,1,Top,2,3,1,3,熊田,Left,小畠,Left,,,,,Undefined,InPlay,GroundBall,Single,Undefined,0,0,桑垣,8.0,,熊田,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,中安,0:07:45,463,https://youtu.be/l5XYrbHbpQw&t=463,1179,https://youtu.be/wXMNs5o_QCw&t=1179,2328003008,23A
9,10.0,2023/10/8,04:00.5,2023/10/8,04:00.5,4.0,1.0,"Isshin, Obata",1000126682,Right,RIK,"Taichi, Inde",1000101222,Right,WAS_EDA,Undefined,1,Top,2,0.0,0.0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,130.21967,-0.666579,-1.375251,2353.027827,90.876287,9:00,1.714013,0.439838,1.752378,-105.3427,4.0028,-33.6568,0.471379,-0.28704,119.54153,-8.270324,-3.749461,0.472232,,,,,,,,,,,,16.1441,3.5924,-0.402545,15.24,1.689452,1.016537,-35.812456,-0.83347,2.694363,7.107913,-9.207099,RIK,WAS_EDA,JinguStadium,TeamExclusive,Team,20231008-JinguStadium-1,f2efa3a0-657e-11ee-8a98-034635833aab,41c7f7ee-a5b3-42ec-bf6f-efa61b434793,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,128.45393,,,10.67814,,,,16.687563,-36.098619,3.553957,1.715546,-0.462794,-4.603549,-0.441286,0.908062,1.347181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4628fe82-e910-4e8c-bc35-a0f242b7fd1c,2023-10-08T11:04:00.5024318+09:00,2023-10-08T02:04:00.5024318Z,NoShift,19.16630201,18.21149702,44.39265917,11.68784102,25.56428633,-21.19295072,41.05562837,-8.397488178,78.2393262,-45.27429876,92.36917422,-1.04519037,78.18790797,42.57690829,1696730641,浅田 祐太朗,10.0,2023/10/8,10.0,649.6872611,649.6872611,1696730644,Normal,4.0,1.0,1,Top,2,0,0,4,印出,Right,小畠,Left,1,熊田,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,平野,柴田,吉野,鬼頭,鈴木唯,桑垣,菅谷,,0:08:27,505,https://youtu.be/l5XYrbHbpQw&t=505,1202,https://youtu.be/wXMNs5o_QCw&t=1202,2328003009,23A
