count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,n_time,n_URL,c_time,c_URL,playid,season
0,1.0,2023/10/16,00:55.0,2023/10/16,00:55.0,1.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yuga, Horiuchi",1000089814,Left,MEI_MEI,Undefined,1,Top,0,0.0,0.0,Cutter,Slider,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,137.24434,0.441374,-0.921208,2326.38483,160.332464,11:15,1.550565,0.323069,1.785449,-77.8096,19.6121,-5.945,0.897475,0.00273,125.81641,-5.244853,-1.341074,0.445741,115.21148,13.289931,-155.104787,1945.95168,,,,40.112606,21.055982,-157.484155,1.478565,2.4038,10.6329,-0.29987,15.24,1.556031,0.636102,-37.768697,-0.016565,0.449264,7.425384,-7.819395,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,9af109e0-6bd8-11ee-88cf-9f14c1f43907,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,136.08801,3.169981,,11.42793,,,,16.654234,-38.045721,3.712692,1.551208,0.27516,-3.909698,-0.323289,0.619341,0.224632,0.209418,0.774884,0.099354,62.929512,0.209425,-28.252934,2.203847,-0.209532,0.271122,-0.358828,0.286713,-0.117343,0.018644,0.774888,7.356298,-5.928932,0.419337,0.079068,-0.180855,0.149975,-0.059068,0.008763,0.099359,-13.112041,1.93497,-0.189879,0.225005,-0.295774,0.23633,-0.096804,0.015394,,,,,,,,,,,,,,,,,,,,,,,e59c0f50-c25a-4af8-94f2-0ad4bcb26b34,2023-10-16T13:00:55.0320000+09:00,2023-10-16T04:00:55.0320000Z,NoShift,23.95530912,19.63878737,39.70922791,13.06366081,20.95351146,-16.47698988,40.44150791,-11.25031893,69.21900578,-41.43607542,88.79749462,-3.303695888,74.54313814,39.36316432,1697428855,御手洗 悠,1.0,2023/10/16,1.0,481.8496029,481.8496158,1697428882,Normal,1.0,1.0,1,Top,0,0,0,1,堀内,Left,外丸,Right,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,,0:04:05,,1044,https://youtu.be/st4YAxiQSQI&t=1044,243,https://youtu.be/4_HHMo67ibg&t=243,2328811000,23A
1,2.0,2023/10/16,01:10.0,2023/10/16,01:10.0,1.0,2.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yuga, Horiuchi",1000089814,Left,MEI_MEI,Undefined,1,Top,0,0.0,1.0,Curveball,Curveball,InPlay,Undefined,FlyBall,LineDrive,Out,1,0,,112.45619,2.991445,1.40809,2738.675372,56.732632,8:00,1.554205,0.28277,1.632682,-180.5094,-29.0585,-52.8218,0.605235,0.157127,101.70921,-9.952109,-2.293222,0.555764,139.9781,24.003581,-13.519243,2682.955717,32.027686,12.342466,-9.916967,88.343758,85.88522,-22.720919,3.755012,27.6955,-15.5864,-0.316628,15.24,1.620791,-0.530486,-30.844946,0.938062,3.36987,6.075865,-11.70314,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,a3e70b80-6bd8-11ee-88cf-9f14c1f43907,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,109.14699,14.318429,,10.74698,,,,16.808075,-31.152295,3.037932,1.558366,1.530069,-5.85157,-0.285482,-0.700952,1.684935,0.49438,0.61438,-0.161176,140.924342,0.494248,34.539054,-6.582605,1.530597,-0.341997,0.081767,-0.019232,0.003025,-0.0002,0.61453,15.814054,-4.80829,0.11483,0.040293,-0.026559,0.008761,-0.001283,6.3e-05,-0.16111,-8.306638,-0.90899,0.408318,-0.083039,0.003325,0.002281,-0.000511,3.6e-05,,,,,,,,,,,,,,,,,,,,,,,eca00b86-b7e1-4ec8-b0b4-99448d842b07,2023-10-16T13:01:09.9760000+09:00,2023-10-16T04:01:09.9760000Z,NoShift,24.54853051,20.34214282,39.87723242,13.26701581,21.50413001,-16.78860969,40.43473006,-11.35697707,67.27022652,-41.75906881,88.79610866,-3.668437709,73.17776485,38.78900632,1697428870,御手洗 悠,2.0,2023/10/16,2.0,496.2933187,496.2933218,1697428896,Normal,1.0,2.0,1,Top,0,0,1,1,堀内,Left,外丸,Right,,,,,Undefined,InPlay,FlyBall,Out,Undefined,1,0,齋藤來,7.0,,堀内,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,左飛,0:04:20,,1052,https://youtu.be/st4YAxiQSQI&t=1052,258,https://youtu.be/4_HHMo67ibg&t=258,2328811001,23A
2,3.0,2023/10/16,01:42.1,2023/10/16,01:42.1,2.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,1,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,141.13714,-0.612186,-2.689558,2146.114228,222.244594,1:30,1.558129,0.310948,1.818068,-54.5152,39.2992,32.4849,0.839771,-0.124854,126.5674,-4.703188,-0.393577,0.437411,,,,,,,,,,,,-18.7395,21.6372,-0.247967,15.24,1.539724,1.650425,-38.716623,-0.606884,-3.60444,9.331606,-5.64485,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,b6fff600-6bd8-11ee-88cf-9f14c1f43907,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.67973,,,14.56974,,,,16.620183,-39.047863,4.665803,1.55771,-0.406511,-2.822425,-0.308822,1.77837,-1.80222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68017868-e136-4e89-8bbe-af7648a585b0,2023-10-16T13:01:42.1110000+09:00,2023-10-16T04:01:42.1110000Z,NoShift,21.3714738,17.7034999,37.76119775,11.14426457,18.94021715,-15.37135077,38.46035753,-11.7777148,59.35454283,-37.99780938,81.51445417,-9.611918335,70.26392921,32.90712165,1697428902,御手洗 悠,3.0,2023/10/16,3.0,528.2175529,528.2175701,1697428928,Normal,2.0,1.0,1,Top,1,0,0,2,飯森,Left,外丸,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,,0:04:52,,1070,https://youtu.be/st4YAxiQSQI&t=1070,290,https://youtu.be/4_HHMo67ibg&t=290,2328811002,23A
3,4.0,2023/10/16,01:50.1,2023/10/16,01:50.1,2.0,2.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,1,Top,1,0.0,1.0,Slider,Slider,InPlay,Undefined,FlyBall,LineDrive,Single,0,0,,126.82985,1.546753,0.404694,2611.542688,85.914088,8:45,1.556355,0.326262,1.673023,-115.9357,0.7705,-43.0426,0.838157,0.011233,115.59018,-6.82352,-2.615606,0.487867,113.36115,22.685519,-28.564786,3517.523899,27.732032,8.274919,-18.84287,58.516088,58.276928,-38.935633,2.716991,22.012,0.3435,-0.333453,15.24,1.588237,-0.042608,-34.858981,0.474745,3.471878,6.885541,-9.752473,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,bbbf79e0-6bd8-11ee-88cf-9f14c1f43907,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,124.33713,8.302908,,11.23968,,,,16.766982,-35.159305,3.44277,1.558253,0.900115,-4.876237,-0.328292,-0.194039,1.735939,0.278743,0.793194,0.008885,124.096479,0.27872,25.517808,-5.009706,1.035888,-0.197466,0.015881,0.006087,-0.002809,0.000385,0.793203,12.144035,-5.255253,0.320039,-0.055591,0.026358,-0.012302,0.0036,-0.000428,0.00887,-13.890708,-0.278496,0.330468,-0.106048,0.019839,-0.002157,0.000109,-8e-06,,,,,,,,,,,,,,,,,,,,,,,ee8f8f1f-b703-4f2e-b756-423f8b1632a5,2023-10-16T13:01:50.0550000+09:00,2023-10-16T04:01:50.0550000Z,NoShift,21.30810105,17.56962175,38.04829384,11.93307528,19.23571729,-15.61331778,38.46428297,-11.83202825,59.08813965,-37.77856774,81.74118604,-9.709661452,70.27760624,33.11504762,1697428910,御手洗 悠,4.0,2023/10/16,4.0,536.1097147,536.109731,1697428936,Normal,2.0,2.0,1,Top,1,0,1,2,飯森,Left,外丸,Right,,,,,Undefined,InPlay,FlyBall,Single,Undefined,0,0,齋藤來,7.0,,飯森,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,左安,0:05:00,,1078,https://youtu.be/st4YAxiQSQI&t=1078,298,https://youtu.be/4_HHMo67ibg&t=298,2328811003,23A
4,,2023/10/16,0:02:29,2023/10/16,0:02:29,,,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,,1,Top,1,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697428949,御手洗 悠,,2023/10/16,,575.1210449,575.1210628,1697428975,Normal,,,1,Top,1,0,0,3,宗山,Left,外丸,Right,1,飯森,,,,,,,,0,0,"廣瀬,外丸",,PickOff,飯森,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,,0:05:39,,1102,https://youtu.be/st4YAxiQSQI&t=1102,337,https://youtu.be/4_HHMo67ibg&t=337,2328811004,23A
5,,2023/10/16,0:02:38,2023/10/16,0:02:38,,,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,,1,Top,1,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697428959,御手洗 悠,,2023/10/16,,584.6449189,584.6449437,1697428985,Normal,,,1,Top,1,0,0,3,宗山,Left,外丸,Right,1,飯森,,,,,,,,0,0,"廣瀬,外丸",,PickOff,飯森,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,,0:05:48,,1112,https://youtu.be/st4YAxiQSQI&t=1112,346,https://youtu.be/4_HHMo67ibg&t=346,2328811005,23A
6,5.0,2023/10/16,02:50.5,2023/10/16,02:50.5,3.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,0.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,1,136.34701,0.417207,-1.302828,2267.499593,167.09706,11:30,1.517623,0.327731,1.776519,-63.7145,35.4051,-7.3955,0.998719,-0.115423,124.51509,-4.285718,-1.824471,0.449608,,,,,,,,,,,,2.8336,18.7286,-0.294793,15.24,1.523512,0.889132,-37.496003,0.036159,0.520776,7.477716,-6.364594,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,dfc98ce0-6bd8-11ee-88cf-9f14c1f43907,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,134.91739,,,11.83192,,,,16.662594,-37.778641,3.738858,1.517599,0.276724,-3.182297,-0.328028,0.869448,0.260388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48bff893-ae52-4273-bb8c-e4cd851aa7f3,2023-10-16T13:02:50.5430000+09:00,2023-10-16T04:02:50.5430000Z,NoShift,19.69826202,18.37313963,39.81674844,9.433885474,24.39306183,-20.52312223,39.82937995,-6.606508723,77.3925283,-43.57316614,98.4252206,-2.796289295,80.78773702,43.40465751,1697428971,御手洗 悠,5.0,2023/10/16,5.0,596.6354148,596.635427,1697428997,Normal,3.0,1.0,1,Top,1,0,0,3,宗山,Left,外丸,Right,1,飯森,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,,0:06:00,,1124,https://youtu.be/st4YAxiQSQI&t=1124,358,https://youtu.be/4_HHMo67ibg&t=358,2328811006,23A
7,6.0,2023/10/16,03:08.2,2023/10/16,03:08.2,3.0,2.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,1.0,0.0,Fastball,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,1,136.50145,-0.020177,-1.297016,2115.558406,226.491795,1:30,1.499205,0.393564,1.786353,-60.1081,40.7119,38.8348,0.892409,0.414583,122.14415,-4.523576,1.44527,0.453448,128.6111,53.555044,-69.98429,2435.494337,,,,,32.76241,,,-20.8272,21.883,-0.364157,15.24,1.4946,0.653129,-37.464472,-0.224786,-3.737938,8.975192,-5.879236,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,ea512b00-6bd8-11ee-88cf-9f14c1f43907,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,133.77484,26.289215,,14.3573,,,,16.652059,-37.801239,4.487596,1.498895,-0.004186,-2.939618,-0.391295,0.793384,-1.868969,-0.134195,0.846691,-0.429336,,-0.134195,7.264209,-4.18732,1.31443,-0.402285,0.153276,-0.064632,0.019008,-0.002436,0.84669,28.73847,-10.164847,1.597507,-0.383479,0.094135,-0.023781,0.004712,-0.000466,-0.429336,-19.940762,3.13524,-0.614119,0.12085,-0.022852,0.002999,0.000107,-7e-05,,,,,,,,,,,,,,,,,,,,,,,cccf11f2-be32-4a4b-8e0d-6afd944dfd8a,2023-10-16T13:03:08.2050000+09:00,2023-10-16T04:03:08.2050000Z,NoShift,19.66934544,18.39412818,40.16698983,8.689233793,24.49704921,-20.49822358,39.72195792,-6.517075442,77.51696182,-43.32075104,97.25197403,-2.859759535,80.55497283,42.6512985,1697428988,御手洗 悠,6.0,2023/10/16,6.0,614.2128377,614.2128677,1697429014,Normal,3.0,2.0,1,Top,1,1,0,3,宗山,Left,外丸,Right,1,飯森,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,,0:06:18,,1141,https://youtu.be/st4YAxiQSQI&t=1141,376,https://youtu.be/4_HHMo67ibg&t=376,2328811007,23A
8,,2023/10/16,0:03:30,2023/10/16,0:03:30,,,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,,1,Top,1,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697429010,御手洗 悠,,2023/10/16,,636.567277,636.5672939,1697429037,Normal,,,1,Top,1,1,1,3,宗山,Left,外丸,Right,1,飯森,,,,,,,,0,0,"廣瀬,外丸",,PickOff,飯森,,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,,0:06:40,,1154,https://youtu.be/st4YAxiQSQI&t=1154,398,https://youtu.be/4_HHMo67ibg&t=398,2328811008,23A
9,7.0,2023/10/16,03:44.3,2023/10/16,03:44.3,3.0,3.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,1,1.0,1.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,1,141.34307,-1.008888,-1.622515,2161.154588,212.916326,1:00,1.521794,0.366513,1.80532,-49.3152,43.7146,26.1477,0.743153,0.168969,127.57154,-4.713144,0.225815,0.435578,152.47741,5.021783,-2.447388,1243.228289,,,,39.595829,39.595829,-5.28823,1.077348,-14.6879,24.167,-0.328719,15.24,1.493877,0.967993,-38.825202,-0.855708,-2.856821,8.978683,-5.106142,KEI_KEI,MEI_MEI,JinguStadium,TeamExclusive,Team,20231016-JinguStadium-1,ffd34d50-6bd8-11ee-88cf-9f14c1f43907,5c3475c5-b939-49f5-b195-565a4b24cef7,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.26332,1.555372,,13.77153,,,,16.633716,-39.146184,4.489342,1.521205,-0.673166,-2.553071,-0.36515,1.070122,-1.428411,0.07275,0.737229,-0.180557,119.405804,0.121526,41.529891,-4.721195,,,,,,,0.747763,3.575848,-3.971945,,,,,,,-0.160952,-2.055427,-1.112306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22bf7687-8a5f-4529-998f-e5c56bb1be69,2023-10-16T13:03:44.2970000+09:00,2023-10-16T04:03:44.2970000Z,NoShift,19.71458753,18.48448269,40.36367106,8.441625488,24.67173915,-20.67224237,39.66773317,-6.875713034,76.60316489,-43.07377298,97.81837612,-2.532578029,80.95166833,42.56702525,1697429024,御手洗 悠,7.0,2023/10/16,7.0,650.2936728,650.2936907,1697429050,Normal,3.0,3.0,1,Top,1,1,1,3,宗山,Left,外丸,Right,1,飯森,,,Undefined,InPlay,GroundBall,Single,Undefined,0,0,吉川,8.0,,"飯森,宗山",,,宮崎,廣瀬,斎藤快,本間,水鳥,齋藤來,吉川,栗林泰,中安,0:06:54,,1168,https://youtu.be/st4YAxiQSQI&t=1168,412,https://youtu.be/4_HHMo67ibg&t=412,2328811009,23A
