count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,c_time,c_URL,n_time,n_URL,season
0,1.0,2023/10/30,01:33.7,2023/10/30,01:33.7,1.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,StolenBase,0,0,,140.82448,-2.202533,-1.803374,2172.757032,210.512571,1:00,1.531867,0.328167,1.918096,-40.718,51.2003,28.3271,0.505466,0.10477,127.97493,-5.299418,0.212757,0.432968,,,,,,,,,,,,-16.0289,29.1707,-0.289266,15.24,1.480027,1.083081,-38.705222,-1.60912,-3.11905,8.437096,-4.130338,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,046ac130-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.10279,,,12.84956,,,,16.52114,-38.983489,4.218548,1.530852,-1.472895,-2.065169,-0.326684,1.185951,-1.559525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d829336a-72a7-4cff-82b9-ecce576e35ff,2023-10-30T13:01:33.6615508+09:00,2023-10-30T04:01:33.6615508Z,NoShift,28.96002106,22.58308971,42.592702,15.00722827,22.77946436,-17.69192555,42.31395324,-12.21069292,76.09235253,-42.45348084,95.92883784,0.106685638,76.7503028,40.38571297,1698638494,青木 秀憲,1.0,2023/10/30,1.0,1966.391301,1966.391663,1698638547,Normal,1.0,1.0,1,Top,0,0,0,1,吉川,Left,加藤,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:10:43,641,https://youtu.be/TALLGon6rJg&t=641,1072,https://youtu.be/Rl1c_yU0qMo&t=1072,23A
1,2.0,2023/10/30,01:46.4,2023/10/30,01:46.4,1.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,141.03921,-1.251524,-1.619618,2203.601635,211.626801,1:00,1.528144,0.311476,1.905106,-40.0755,51.9366,30.0084,0.775402,0.156181,127.6057,-4.315198,0.514477,0.433189,154.28368,41.346034,-76.125607,3378.282278,,,,,35.208733,,,-16.9115,28.9177,-0.276546,15.24,1.497425,0.95442,-38.777678,-0.966112,-3.288435,8.796673,-4.183614,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,0bfbdba0-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.03137,29.294435,,13.43351,,,,16.534411,-39.07021,4.398337,1.52724,-0.826986,-2.091807,-0.310103,1.063776,-1.644217,,,,,1.390498,7.715108,-8.008265,1.829,-0.398031,0.0879,-0.019918,0.004166,-0.000562,11.10852,28.311272,-1.812466,-0.564887,0.197042,-0.056571,0.014957,-0.003177,0.00038,-14.995783,-31.235161,2.63353,-0.403031,0.044817,-0.002276,-8.6e-05,-0.000397,0.000222,,,,,,,,,,,,,,,,,,,,,,,2d571e4a-f91f-4725-b248-339d4e2e88b0,2023-10-30T13:01:46.3867476+09:00,2023-10-30T04:01:46.3867476Z,NoShift,29.20930435,22.97446026,42.81863119,14.75708179,23.24775669,-18.28482002,41.99891933,-12.75306896,75.14521519,-42.60134126,95.63831058,0.493752552,75.49852703,40.57532535,1698638506,青木 秀憲,2.0,2023/10/30,2.0,1979.060571,1979.060578,1698638560,Normal,1.0,2.0,1,Top,0,0,1,1,吉川,Left,加藤,Right,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:10:56,654,https://youtu.be/TALLGon6rJg&t=654,1084,https://youtu.be/Rl1c_yU0qMo&t=1084,23A
2,3.0,2023/10/30,02:17.2,2023/10/30,02:17.2,1.0,3.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.00619,-1.695798,-0.945041,2235.801728,213.666763,1:00,1.499494,0.401963,1.923333,-41.6305,48.2654,29.9352,0.606854,0.435951,128.64725,-4.87763,1.187182,0.428178,,,,,,,,,,,,-16.2681,27.4237,-0.382446,15.24,1.459191,0.500837,-39.290591,-1.28714,-3.225933,9.531892,-4.368576,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,1e591740-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,141.66998,,,14.35893,,,,16.515425,-39.5988,4.765946,1.498527,-1.145884,-2.184288,-0.400327,0.605146,-1.612966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c5d77a62-2af8-47ed-91eb-12be216acb55,2023-10-30T13:02:17.1651668+09:00,2023-10-30T04:02:17.1651668Z,NoShift,29.34770028,22.78852963,43.83299664,12.85842465,24.32813347,-19.70769929,41.84774725,-12.8801122,74.44375793,-44.44509125,95.22347303,-0.223748009,75.06845254,40.95998374,1698638537,青木 秀憲,3.0,2023/10/30,3.0,2009.783808,2009.783822,1698638590,Normal,1.0,3.0,1,Top,0,0,2,1,吉川,Left,加藤,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:11:26,684,https://youtu.be/TALLGon6rJg&t=684,1106,https://youtu.be/Rl1c_yU0qMo&t=1106,23A
3,4.0,2023/10/30,02:36.0,2023/10/30,02:36.0,1.0,4.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,2.0,1.0,ChangeUp,Changeup,HitByPitch,Undefined,Undefined,,Undefined,0,0,,124.77528,-0.585408,-4.147709,1361.176173,245.006827,2:15,1.528085,0.327881,2.18306,-93.8476,20.1097,34.5855,0.427467,-0.474025,113.39537,-7.608925,-1.650075,0.482087,,,,,,,,,,,,-21.9794,12.4167,-0.254987,15.24,1.514297,2.361471,-34.294159,-0.611822,-3.337333,6.97262,-7.921318,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,2991b5e0-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,125.82782,,,11.37992,,,,16.256729,-34.500259,3.48631,1.528921,-0.37768,-3.960659,-0.326247,2.460118,-1.668667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f7b890a-d85f-4ce6-a9db-b6f0e03650f2,2023-10-30T13:02:35.9667284+09:00,2023-10-30T04:02:35.9667284Z,NoShift,28.9680719,22.63062745,43.56039791,13.33436348,24.73069839,-20.03782333,41.58382281,-13.1640313,74.01165555,-43.64288644,94.35724017,0.055711021,73.32269076,40.59987945,1698638556,青木 秀憲,4.0,2023/10/30,4.0,2028.736158,2028.736177,1698638609,Normal,1.0,4.0,1,Top,0,1,2,1,吉川,Left,加藤,Right,,,,,Undefined,HitByPitch,Undefined,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,死球,0:11:45,703,https://youtu.be/TALLGon6rJg&t=703,1125,https://youtu.be/Rl1c_yU0qMo&t=1125,23A
4,5.0,2023/10/30,03:22.1,2023/10/30,03:22.1,2.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,1,139.86707,0.612836,-2.490958,2100.818718,231.507386,1:45,1.537742,0.267255,1.869025,-60.1283,34.7402,39.2432,1.109276,-0.042505,125.33396,-3.897301,0.291667,0.439861,,,,,,,,,,,,-22.1679,18.4003,-0.211518,15.24,1.548321,1.473664,-38.391451,0.199589,-4.190948,9.202992,-6.327991,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,4508f5e0-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,137.90712,,,14.53312,,,,16.569509,-38.708842,4.601496,1.537674,0.417828,-3.163996,-0.264834,1.618201,-2.095474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db2e60b1-c082-4384-9087-92154396ba4d,2023-10-30T13:03:22.0642900+09:00,2023-10-30T04:03:22.0642900Z,NoShift,19.64661798,18.13768683,33.41840166,11.64759626,19.44534913,-15.31098554,40.95700473,-7.723268209,70.4780885,-42.07598879,88.41659097,-0.421293163,67.31228468,38.36823036,1698638602,青木 秀憲,5.0,2023/10/30,5.0,2074.720454,2074.72046,1698638655,Normal,2.0,1.0,1,Top,0,0,0,2,本間,Right,加藤,Right,1,吉川,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:12:31,749,https://youtu.be/TALLGon6rJg&t=749,1139,https://youtu.be/Rl1c_yU0qMo&t=1139,23A
5,6.0,2023/10/30,03:50.6,2023/10/30,03:50.6,2.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,0,1.0,0.0,Fastball,Sinker,InPlay,Undefined,Bunt,GroundBall,Sacrifice,1,0,1,139.09553,-0.67587,-2.554085,2042.896312,224.097686,1:30,1.546406,0.290706,1.928001,-50.4193,43.8475,39.3411,0.852305,-0.033264,125.99241,-4.48332,0.245956,0.438464,36.15909,7.830602,19.822082,2801.686702,,,,6.360277,6.312621,18.203882,0.597493,-22.5636,24.323,-0.236073,15.24,1.528475,1.524735,-38.240955,-0.612624,-4.272412,8.462422,-5.201107,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,561399d0-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.34659,0.962016,,13.10312,,,,16.511729,-38.521351,4.231211,1.545918,-0.440289,-2.600553,-0.288939,1.666298,-2.136206,0.617038,0.864116,0.033715,177.738058,0.617659,9.346256,-0.449702,,,,,,,0.865648,1.335108,-4.663757,,,,,,,0.033946,3.36877,-0.168085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,feb8be7b-592b-409d-8ba5-368653a89da5,2023-10-30T13:03:50.6254420+09:00,2023-10-30T04:03:50.6254420Z,NoShift,19.78374125,17.82819329,34.80328573,11.35653162,20.12203602,-15.893895,40.61211736,-7.634268158,68.17602686,-40.84376951,85.02990978,-0.452313118,65.22581803,38.66810851,1698638631,青木 秀憲,6.0,2023/10/30,6.0,2103.248206,2103.248215,1698638684,Normal,2.0,2.0,1,Top,0,1,0,2,本間,Right,加藤,Right,1,吉川,,,Undefined,InPlay,Bunt,Sacrifice,Undefined,1,0,"加藤,田村",1.0,,"吉川,本間",,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,投犠,0:13:00,778,https://youtu.be/TALLGon6rJg&t=778,1168,https://youtu.be/Rl1c_yU0qMo&t=1168,23A
6,7.0,2023/10/30,04:34.6,2023/10/30,04:34.6,3.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,140.62543,-0.768431,-3.490518,2168.139608,221.168104,1:15,1.53786,0.246233,1.92511,-44.1085,47.8783,39.1919,0.880631,-0.342991,127.80709,-4.113462,-0.705583,0.433129,,,,,,,,,,,,-22.7256,26.2804,-0.170319,15.24,1.518058,2.165863,-38.632381,-0.65223,-4.418937,8.182731,-4.696483,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,70445010-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.0506,,,12.81834,,,,16.514021,-38.901295,4.091366,1.536957,-0.497886,-2.348242,-0.243884,2.311085,-2.209468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7df96c23-a67a-486e-b1dc-828ba2e60e64,2023-10-30T13:04:34.5605716+09:00,2023-10-30T04:04:34.5605716Z,NoShift,30.11172431,20.0764676,45.2222268,6.547113219,26.90818849,-21.95731796,40.82493616,-7.537246733,73.33526715,-39.25407814,87.82640659,-0.966523054,72.61001948,39.16903247,1698638675,青木 秀憲,7.0,2023/10/30,7.0,2147.295703,2147.295709,1698638728,Normal,3.0,1.0,1,Top,1,0,0,3,廣瀬,Right,加藤,Right,2,,吉川,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:13:44,822,https://youtu.be/TALLGon6rJg&t=822,1189,https://youtu.be/Rl1c_yU0qMo&t=1189,23A
7,8.0,2023/10/30,05:03.1,2023/10/30,05:03.1,3.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,139.21758,-1.660914,-3.358209,2164.757537,216.970897,1:15,1.523308,0.236029,1.932748,-42.3028,52.049,36.67,0.633283,-0.340688,125.92364,-4.892232,-0.750659,0.438662,,,,,,,,,,,,-21.567,29.2866,-0.163415,15.24,1.483946,2.067689,-38.219161,-1.230136,-4.078174,8.468132,-4.268763,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,81488b60-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.28423,,,13.29394,,,,16.506272,-38.498704,4.234066,1.522228,-1.08922,-2.134381,-0.233894,2.202315,-2.039087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a1d172bd-f9e2-4f58-8650-9b57d2fc84c2,2023-10-30T13:05:03.1499860+09:00,2023-10-30T04:05:03.1499860Z,NoShift,30.2297479,20.45419051,43.60104613,6.818750796,27.24290015,-22.14631911,41.19235378,-9.983750192,72.46752993,-38.70822048,87.46470772,-0.779472703,72.46725886,39.53641422,1698638703,青木 秀憲,8.0,2023/10/30,8.0,2175.960512,2175.960519,1698638757,Normal,3.0,2.0,1,Top,1,1,0,3,廣瀬,Right,加藤,Right,2,,吉川,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:14:12,850,https://youtu.be/TALLGon6rJg&t=850,1217,https://youtu.be/Rl1c_yU0qMo&t=1217,23A
8,9.0,2023/10/30,05:28.6,2023/10/30,05:28.6,3.0,3.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,1.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,141.6825,-1.536733,-3.629673,2193.724422,216.202446,1:15,1.523179,0.236024,1.962019,-41.8177,49.1032,33.5687,0.6736,-0.446309,127.95881,-4.734473,-1.239517,0.430612,,,,,,,,,,,,-20.2873,27.7454,-0.158966,15.24,1.487479,2.305992,-38.888231,-1.164838,-3.965642,8.879385,-4.38314,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,9072fda0-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.86912,,,13.72369,,,,16.476964,-39.16965,4.439693,1.522195,-1.025921,-2.19157,-0.234042,2.431677,-1.982821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e815f9ac-d8f2-4361-9b38-a00aecfdf472,2023-10-30T13:05:28.5925972+09:00,2023-10-30T04:05:28.5925972Z,NoShift,29.99427709,20.71160681,43.7507587,7.164266057,27.06236971,-21.80566422,42.76379402,-10.95447079,72.28379425,-39.27768247,88.24650142,-1.046252814,72.67667024,39.43378066,1698638729,青木 秀憲,9.0,2023/10/30,9.0,2201.25304,2201.253062,1698638782,Normal,3.0,3.0,1,Top,1,1,1,3,廣瀬,Right,加藤,Right,2,,吉川,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:14:38,876,https://youtu.be/TALLGon6rJg&t=876,1243,https://youtu.be/Rl1c_yU0qMo&t=1243,23A
9,10.0,2023/10/30,05:54.6,2023/10/30,05:54.6,3.0,4.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,1,2.0,1.0,Curveball,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,2,115.67722,3.717069,-1.070575,1975.135103,23.744119,6:45,1.557409,0.285458,1.778341,-170.1717,-31.3107,-15.7672,0.910408,-0.175545,105.62491,-8.561561,-2.183442,0.532163,103.47315,-67.103406,-57.64573,,,,,0.777464,0.777464,-9.114965,0.034427,7.2583,-17.6728,-0.257703,15.24,1.637786,0.658436,-31.773312,1.454926,0.950354,5.760555,-12.1206,WAS_EDA,KEI_KEI,JinguStadium,Fall,Team,20231030-JinguStadium-2,9ffec9c0-76d9-11ee-937a-3d5bd086ca9c,2b1dcb58-9677-4ae3-ba0f-3baf6c9d393b,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,113.9876,0.916383,,10.05231,,,,16.662666,-32.030205,2.880277,1.560851,1.995447,-6.0603,-0.286121,0.616055,0.475177,0.560526,0.916383,0.203784,180.0,0.560351,6.016159,,,,,,,,0.917159,-26.617831,,,,,,,,0.204061,-9.496695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4f5c79f-2897-46e4-b806-f6940847e19d,2023-10-30T13:05:54.6012756+09:00,2023-10-30T04:05:54.6012756Z,NoShift,29.33123726,21.1017697,43.15530062,7.042025909,26.92874405,-21.5025459,42.5331744,-11.69063173,72.48016587,-40.00286113,87.9482609,-0.534515544,73.57373503,39.61995514,1698638755,青木 秀憲,10.0,2023/10/30,10.0,2227.436118,2227.436129,1698638808,Normal,3.0,4.0,1,Top,1,2,1,3,廣瀬,Right,加藤,Right,2,,吉川,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,"小澤,田村",5.0,,"吉川,廣瀬",,,印出,田村,山縣,小澤,熊田,中村将,尾瀬,吉納,三ゴロ,0:15:04,902,https://youtu.be/TALLGon6rJg&t=902,1269,https://youtu.be/Rl1c_yU0qMo&t=1269,23A
