count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,n_time,n_URL,season
0.0,1.0,2023/10/31,01:26.6,2023/10/31,01:26.6,1.0,1.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Issa, Kishimoto",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,110.78868,1.841057,2.174421,1847.528733,309.022666,4:15,1.583478,-0.670181,1.662835,-174.8001,-19.2848,30.8052,0.361323,0.25857,100.65812,-10.692781,4.334664,0.563172,,,,,,,,,,,,-13.5511,-9.5353,0.60915,15.24,1.618759,-1.283564,-30.387537,0.346647,-1.5999,5.90824,-10.93243,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,051e22b0-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,107.71129,,,10.13056,,,,16.777084,-30.684937,2.95412,1.58746,0.896946,-5.466215,0.671733,-1.20303,-0.79995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcdcc109-0f55-4dda-b1d0-c3c2b5da104c,2023-10-31T10:01:26.6260000+09:00,2023-10-31T01:01:26.6260000Z,NoShift,26.76371309,23.24661099,42.66921325,17.21645754,23.98826042,-17.90376163,43.92770665,-12.07410824,72.09878808,-40.15012519,87.90676695,-2.416023602,76.64454917,42.593295,1698714087.0,青木 秀憲,1.0,2023/10/31,1.0,484.1259019,484.1259069,1698714087.0,Normal,1.0,1.0,1.0,Top,0.0,0.0,0.0,1.0,岸本,Left,宮城,Left,,,,,Curveball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,110,17.0,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,,,1141.0,https://youtu.be/1kozhDUtX8w&t=1141,23AF
1.0,2.0,2023/10/31,01:36.5,2023/10/31,01:36.5,1.0,2.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Issa, Kishimoto",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,1.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,FlyBall,,Undefined,0.0,0.0,,133.30337,0.358504,2.630469,2101.338708,146.072705,10:45,1.668183,-0.649038,1.809965,-63.5747,39.9949,-24.649,1.133913,-0.15124,121.44159,-4.358352,0.889787,0.45959,142.61037,55.816773,59.194393,4400.508366,,,,,60.87625,,,14.6097,21.2586,0.586778,15.24,1.672621,-1.569108,-36.63984,0.006502,2.557708,7.299164,-6.084934,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,0ae46830-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,131.98716,34.036204,,11.86177,,,,16.629674,-36.915644,3.649582,1.668031,0.236426,-3.042467,0.647894,-1.665753,1.278854,0.56679,1.144149,0.153353,,0.56679,11.398408,-5.154969,1.572511,-0.423265,0.116467,-0.034057,0.008425,-0.001095,1.144149,32.770434,-8.392861,1.020229,-0.191751,0.030306,-0.002714,-0.000546,0.000175,0.153353,19.116563,-3.189691,0.694811,-0.139159,0.028865,-0.006112,0.001074,-0.000109,,,,,,,,,,,,,,,,,,,,,,,5e070e42-1ff2-4260-959e-f0657ffe8858,2023-10-31T10:01:36.4700000+09:00,2023-10-31T01:01:36.4700000Z,NoShift,27.02448159,23.4581256,42.56411867,17.57383956,24.92978344,-18.59364581,43.37192714,-12.07591846,70.73077721,-39.73903164,89.08614245,-1.667876406,76.86875132,42.5521202,1698714096.0,青木 秀憲,2.0,2023/10/31,2.0,494.0692298,494.069236,1698714097.0,Normal,1.0,2.0,1.0,Top,0.0,1.0,0.0,1.0,岸本,Left,宮城,Left,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0.0,0.0,,,,,131,5.0,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,,,1150.0,https://youtu.be/1kozhDUtX8w&t=1150,23AF
2.0,3.0,2023/10/31,01:53.2,2023/10/31,01:53.2,1.0,3.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Issa, Kishimoto",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,1.0,1.0,Curveball,Curveball,FoulBall,Undefined,FlyBall,,Undefined,0.0,0.0,,119.50467,0.651647,1.246087,1992.203191,343.622789,5:30,1.654012,-0.601499,1.675446,-132.4819,-1.2271,1.6237,0.515028,-0.22995,109.52228,-8.874683,1.360143,0.517383,131.73735,17.817156,45.384252,2181.919164,22.148182,6.60934,25.170991,64.861923,64.861923,52.343394,2.366214,0.1159,0.0839,0.568154,15.24,1.660609,-0.721668,-32.849457,-0.12803,0.016253,6.050171,-9.794891,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,14ebd9d0-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,117.24387,6.618209,,9.98239,,,,16.764512,-33.129049,3.025085,1.656067,0.324616,-4.897445,0.601521,-0.722419,0.008127,0.481889,0.542985,0.204048,243.931329,0.481887,24.469345,-4.97114,1.077419,-0.302328,0.124927,-0.049698,0.011727,-0.001153,0.542986,11.196681,-5.551435,0.409358,-0.034169,-0.029814,0.020734,-0.005517,0.000567,0.204049,24.798938,-1.71488,0.180975,0.030526,-0.053184,0.027952,-0.007134,0.000728,,,,,,,,,,,,,,,,,,,,,,,a4d52443-316e-4224-a6ab-8acb7cf3800a,2023-10-31T10:01:53.1920000+09:00,2023-10-31T01:01:53.1920000Z,NoShift,26.29273179,22.64019304,42.44646289,18.93989578,24.23158858,-18.32115222,42.1188532,-12.09203423,71.19749145,-37.32418239,89.12032747,2.568790198,76.40210278,44.50268386,1698714113.0,青木 秀憲,3.0,2023/10/31,3.0,510.6194789,510.6194849,1698714113.0,Normal,1.0,3.0,1.0,Top,0.0,1.0,1.0,1.0,岸本,Left,宮城,Left,,,,,ChangeUp,FoulBall,FlyBall,Undefined,Undefined,0.0,0.0,,,,,119,6.0,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,,,1159.0,https://youtu.be/1kozhDUtX8w&t=1159,23AF
3.0,4.0,2023/10/31,02:11.5,2023/10/31,02:11.5,1.0,4.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Issa, Kishimoto",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,1.0,2.0,Curveball,Curveball,InPlay,Undefined,FlyBall,,Out,1.0,0.0,,119.88924,2.038124,2.415457,1991.383788,317.689702,4:30,1.639071,-0.623297,1.613706,-152.8133,-16.8638,20.5465,0.694964,0.273822,106.53863,-8.972322,3.850169,0.526555,151.79507,13.552313,7.115658,1343.806509,33.381523,6.83126,3.129637,83.398105,81.624439,4.566764,2.873153,-7.824,-8.8038,0.554424,15.24,1.682452,-1.47984,-32.793064,0.559894,-1.057824,7.741039,-10.996951,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,1fd39950-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,115.20173,7.539371,,13.35061,,,,16.825038,-33.165113,3.87052,1.642842,1.088428,-5.498475,0.624326,-1.428999,-0.528912,0.347346,0.708143,-0.287601,158.570735,0.347348,40.675451,-6.807966,1.481896,-0.289121,0.048849,-0.007137,0.000845,-5.2e-05,0.70814,9.88086,-3.432864,-0.222045,0.123416,-0.034555,0.007243,-0.000876,4.4e-05,-0.287599,5.077588,-2.075953,0.769344,-0.222907,0.052587,-0.00985,0.00124,-7.3e-05,,,,,,,,,,,,,,,,,,,,,,,995cff92-8b93-4adb-888a-969ee11a52fc,2023-10-31T10:02:11.4970000+09:00,2023-10-31T01:02:11.4970000Z,NoShift,26.76149508,23.67178628,42.69895954,20.00300344,24.89888757,-18.68318824,44.39252911,-10.22575455,76.19033459,-37.33207908,89.39054637,5.866250992,75.40848307,47.51983799,1698714131.0,青木 秀憲,4.0,2023/10/31,4.0,4.89030385,4.890309095,1698714156.0,Normal,1.0,4.0,1.0,Top,0.0,1.0,2.0,1.0,岸本,Left,宮城,Right,,,,,Splitter,InPlay,FlyBall,Out,Undefined,1.0,0.0,,8.0,,,※,,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,中飛,,1169.0,https://youtu.be/1kozhDUtX8w&t=1169,23AF
4.0,5.0,2023/10/31,02:37.9,2023/10/31,02:37.8,2.0,1.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Syuya, Tomonoh",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,0.0,0.0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,136.07827,-0.936392,5.300099,2144.419854,141.303925,10:45,1.672198,-0.637823,1.880773,-56.3603,43.9528,-32.2461,0.843832,0.536039,122.47434,-5.172057,3.024507,0.452307,,,,,,,,,,,,20.819,24.4941,0.517053,15.24,1.647058,-3.299266,-37.239441,-0.793575,3.721639,8.32633,-5.428028,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,2f7d9bd0-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,134.1124,,,13.60394,,,,16.557789,-37.532928,4.163165,1.671658,-0.602248,-2.714014,0.635658,-3.430446,1.86082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c91c7db-ff38-4a0e-9924-c2c755023b04,2023-10-31T10:02:37.8590000+09:00,2023-10-31T01:02:37.8590000Z,NoShift,25.31341057,21.82286742,43.34974072,13.24126467,23.60627254,-17.71066919,41.98476546,-14.10607718,68.26801885,-37.25216805,82.94338551,-3.806613731,79.50632486,36.34629877,1698714158.0,青木 秀憲,5.0,2023/10/31,5.0,22.54794002,22.54794478,1698714174.0,Normal,2.0,1.0,1.0,Top,1.0,0.0,0.0,2.0,友納,Left,宮城,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,※,,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,,,1182.0,https://youtu.be/1kozhDUtX8w&t=1182,23AF
5.0,6.0,2023/10/31,02:47.8,2023/10/31,02:47.8,2.0,2.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Syuya, Tomonoh",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,1.0,0.0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,136.99943,-1.637338,3.418107,2159.023953,137.932617,10:30,1.689375,-0.626231,1.805453,-53.6338,46.7426,-38.5975,0.688999,-0.044319,122.38477,-5.682999,0.694456,0.45245,,,,,,,,,,,,22.5214,26.415,0.545285,15.24,1.645788,-2.045012,-37.522161,-1.251613,4.04991,9.078619,-5.056574,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,3573f200-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,134.07008,,,14.61466,,,,16.632571,-37.857599,4.539309,1.688581,-1.064782,-2.528287,0.623609,-2.194649,2.024955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26f5724a-b8df-4cfd-8de7-3b2923d6c6a2,2023-10-31T10:02:47.8490000+09:00,2023-10-31T01:02:47.8490000Z,NoShift,25.13750295,21.68125328,43.48240384,13.81281148,23.870344,-17.94881853,42.39800225,-13.857149,70.47149712,-38.27280733,83.37977979,-4.328127973,78.28918832,37.13425962,1698714168.0,青木 秀憲,6.0,2023/10/31,6.0,27.91600394,27.91601086,1698714179.0,Normal,2.0,2.0,1.0,Top,1.0,1.0,0.0,2.0,友納,Left,宮城,Right,,,,,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,134,,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,,,1192.0,https://youtu.be/1kozhDUtX8w&t=1192,23AF
6.0,7.0,2023/10/31,02:57.9,2023/10/31,02:57.9,2.0,3.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Syuya, Tomonoh",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,1.0,1.0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,136.52405,-1.170664,4.065699,2092.372087,142.295497,10:45,1.685235,-0.60347,1.841409,-52.6719,47.4015,-33.7375,0.827273,0.208429,122.63625,-5.144349,1.683338,0.451766,,,,,,,,,,,,20.5363,26.3522,0.508783,15.24,1.653957,-2.491753,-37.405065,-0.93567,3.694774,8.566693,-5.065509,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,3b69abf0-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,134.27292,,,13.8878,,,,16.596937,-37.714557,4.283346,1.684454,-0.752666,-2.532754,0.601214,-2.625235,1.847387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7aa904ca-5945-4ad6-a917-f13100093a34,2023-10-31T10:02:57.8620000+09:00,2023-10-31T01:02:57.8620000Z,NoShift,25.58033198,22.05196175,44.05049945,13.27158566,26.33695031,-20.32242934,42.54545371,-14.14707281,69.10878207,-38.21894361,84.55229863,-4.474127036,76.63665453,38.9719277,1698714178.0,青木 秀憲,7.0,2023/10/31,7.0,34.29414797,34.29415393,1698714185.0,Normal,2.0,3.0,1.0,Top,1.0,1.0,1.0,2.0,友納,Left,宮城,Right,,,,,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0.0,0.0,,,,,※,,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,,,1202.0,https://youtu.be/1kozhDUtX8w&t=1202,23AF
7.0,8.0,2023/10/31,03:07.8,2023/10/31,03:07.8,2.0,4.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Syuya, Tomonoh",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,1.0,2.0,Cutter,Curveball,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,123.3928,-1.657621,3.092856,2082.037984,116.549548,10:00,1.673536,-0.598896,1.656937,-118.6678,5.5689,-2.6653,0.012916,0.258074,113.0543,-10.151958,2.906003,0.503361,,,,,,,,,,,,3.7787,5.172,0.515638,15.24,1.618865,-1.81699,-33.848694,-1.441646,0.5604,6.6478,-9.039623,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,41630f60-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,120.50991,,,10.3385,,,,16.783006,-34.150392,3.3239,1.674982,-1.031399,-4.519812,0.598676,-1.842422,0.2802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a09a9f5-e8c7-4406-b290-855e0e3271ef,2023-10-31T10:03:07.8330000+09:00,2023-10-31T01:03:07.8330000Z,NoShift,25.85296955,22.26969731,43.56836117,12.98957455,26.40412579,-20.56032119,42.98544559,-13.56565318,65.40428029,-39.65212083,84.91265155,-4.657610275,77.46912258,38.64141151,1698714188.0,青木 秀憲,8.0,2023/10/31,8.0,38.57763815,38.57764387,1698714190.0,Normal,2.0,4.0,1.0,Top,1.0,1.0,2.0,2.0,友納,Left,宮城,Right,,,,,Curveball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,※123.0,18.0,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,,,1212.0,https://youtu.be/1kozhDUtX8w&t=1212,23AF
8.0,9.0,2023/10/31,03:23.3,2023/10/31,03:23.3,2.0,5.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Syuya, Tomonoh",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,2.0,2.0,Fastball,Changeup,InPlay,Undefined,GroundBall,,Out,1.0,0.0,,136.09894,-2.347505,3.140333,2124.544658,150.510783,11:00,1.683937,-0.630133,1.781886,-43.5809,58.4865,-30.77,0.581847,-0.047474,121.55402,-5.682347,0.972135,0.456245,94.60274,41.031367,-18.485138,5086.037922,30.358392,13.98518,-14.229985,49.184326,46.581371,-28.136041,3.618452,18.4889,33.0825,0.554393,15.24,1.622685,-1.892901,-37.270924,-1.659795,3.277152,9.023391,-3.942785,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,4a9e0940-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,132.95481,15.02169,,14.54493,,,,16.656706,-37.612348,4.511695,1.682666,-1.510609,-1.971393,0.628362,-2.016901,1.638576,0.374722,0.587983,0.047704,152.871855,0.374587,18.805492,-3.811743,0.981363,-0.264382,0.087308,-0.025075,0.004246,-0.000295,0.588148,17.245273,-5.611479,0.29696,0.023209,-0.043232,0.015883,-0.002598,0.00016,0.04771,-6.285212,-0.12993,0.049136,-0.009759,0.000148,0.000521,-0.000118,8e-06,,,,,,,,,,,,,,,,,,,,,,,317df75a-6b3f-4d2c-a45c-9f8b0dbc625b,2023-10-31T10:03:23.3420000+09:00,2023-10-31T01:03:23.3420000Z,NoShift,26.26809262,22.64247676,44.339776,13.01362395,26.48702961,-20.27984377,42.25722929,-13.95860471,65.60559903,-40.27687695,85.0831867,-4.846553869,75.26268222,37.55820682,1698714203.0,青木 秀憲,9.0,2023/10/31,9.0,52.56693912,52.56694484,1698714204.0,Normal,2.0,5.0,1.0,Top,1.0,2.0,2.0,2.0,友納,Left,宮城,Right,,,,,Splitter,InPlay,GroundBall,Out,Undefined,1.0,0.0,,6.0,,,130,8.0,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,遊ゴロ,,1227.0,https://youtu.be/1kozhDUtX8w&t=1227,23AF
9.0,10.0,2023/10/31,03:52.2,2023/10/31,03:52.2,3.0,1.0,"Konan, Miyagi",1000242757.0,Left,WAS_EDA,"Mizuki, Yoshida",1000126618.0,Left,MEI_MEI,Undefined,1.0,Top,2.0,0.0,0.0,Fastball,Sinker,InPlay,Undefined,GroundBall,,Single,0.0,0.0,,137.93985,-1.759218,3.390019,2173.039261,145.009478,10:45,1.676904,-0.627009,1.808264,-44.0969,55.0282,-35.7331,0.737435,-0.024592,122.9518,-5.136465,0.868768,0.449621,138.53084,16.458429,3.715116,1814.927539,33.526358,7.380539,0.320562,73.70938,73.70938,-3.076724,2.714573,21.3616,30.8829,0.546875,15.24,1.631134,-2.061439,-37.784092,-1.295863,3.885155,9.382119,-4.189812,WAS_EDA,MEI_MEI,JinguStadium,Fall,AL,20231031-JinguStadium-1,5bd38dc0-7789-11ee-b345-35ce48e6e3da,f625daae-8690-4d33-b1e2-d051e5e3cf86,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,134.91366,7.636753,,14.98805,,,,16.630435,-38.127786,4.69106,1.675794,-1.142378,-2.094906,0.624999,-2.203763,1.942578,0.311825,0.728541,0.02701,132.318136,0.311835,36.825799,-5.627727,1.113161,-0.181356,0.015699,0.001077,-0.000454,4.2e-05,0.728521,10.903866,-4.460478,0.153046,-0.056995,0.042079,-0.015736,0.003172,-0.000264,0.027036,2.389295,-2.682306,0.753477,-0.113499,-0.017795,0.014191,-0.003193,0.000271,,,,,,,,,,,,,,,,,,,,,,,64ed0b36-1bce-4e10-a2d2-db19e83fc3b0,2023-10-31T10:03:52.2520000+09:00,2023-10-31T01:03:52.2520000Z,NoShift,26.73610795,22.88618506,44.62857286,14.5432542,26.31076024,-19.73669041,43.64014224,-13.68104769,73.60707386,-36.06497763,89.68901723,6.165055034,77.96675821,42.74685146,1698714232.0,青木 秀憲,10.0,2023/10/31,10.0,,,,Normal,3.0,1.0,1.0,Top,2.0,0.0,0.0,3.0,吉田,Left,宮城,Right,,,,,Undefined,InPlay,GroundBall,Single,Undefined,0.0,0.0,,8.0,,,,,吉田,前田健,渋谷,田村,岩﨑遼,松江,石郷岡,椎名,中安,,1239.0,https://youtu.be/1kozhDUtX8w&t=1239,23AF
