count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,n_time,n_URL,season
0,1.0,2023/11/1,34:36.4,2023/11/1,34:36.4,1.0,1.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Yoshinobu, Enomoto",1000242860.0,Left,TOK,Undefined,1.0,Top,0.0,0.0,0.0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,130.07483,0.331722,-0.478106,3176.22012,60.171951,8:00,1.481348,0.438569,1.850058,-133.8694,-24.8158,-49.6996,0.23622,-0.193281,118.75136,-9.350626,-4.010799,0.471601,,,,,,,,,,,,25.3182,-12.0684,-0.424133,15.24,1.48069,0.520785,-35.798964,-0.313327,4.178248,7.758916,-11.798289,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,94ccfa10-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,128.62565,,,11.32347,,,,16.590695,-36.090521,3.879458,1.484134,0.130017,-5.899145,-0.440753,0.363779,2.089124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9d0ad8d4-626e-45c9-85a4-9695ddb427a5,2023-11-01T12:34:36.4389252+09:00,2023-11-01T03:34:36.4389252Z,NoShift,28.43607268,23.08836463,,,22.59467189,-17.47295962,43.10231515,-12.9508354,65.51650744,-42.35738734,86.86344421,-0.552887792,72.8957293,40.24180491,1698809676.0,安 秀明,1.0,2023/11/1,1.0,887.6770258,887.6770949,1698809676,Normal,1.0,1.0,1,Top,0,0,0,1,榎本,Left,丸山,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1042,https://youtu.be/bwrFRMF9BNE&t=1042,23AF
1,2.0,2023/11/1,34:51.1,2023/11/1,34:51.1,1.0,2.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Yoshinobu, Enomoto",1000242860.0,Left,TOK,Undefined,1.0,Top,0.0,0.0,1.0,Slider,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,132.14727,0.371627,-0.089217,3188.405177,71.151762,8:15,1.49923,0.408081,1.778276,-121.6678,-15.239,-55.08,0.387836,-0.167994,120.55683,-8.413695,-3.984456,0.465891,,,,,,,,,,,,28.1056,-7.0486,-0.401945,15.24,1.499904,0.315978,-36.355842,-0.259201,4.795653,7.841484,-11.009354,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,9d8bbf10-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,130.20211,,,11.59044,,,,16.66226,-36.661322,3.920742,1.501648,0.169689,-5.504677,-0.410616,0.129154,2.397827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96a322d0-4ca6-4a4c-91d9-2279f3083d9c,2023-11-01T12:34:51.1214980+09:00,2023-11-01T03:34:51.1214980Z,NoShift,28.22283911,23.0420855,45.5409439,14.97347863,22.97129767,-17.97845762,42.68798219,-12.66524248,64.72192679,-41.97753563,86.08111279,-0.623171694,72.18854095,40.02442772,1698809691.0,安 秀明,2.0,2023/11/1,2.0,902.324115,902.324126,1698809691,Normal,1.0,2.0,1,Top,0,0,1,1,榎本,Left,丸山,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1057,https://youtu.be/bwrFRMF9BNE&t=1057,23AF
2,3.0,2023/11/1,35:08.5,2023/11/1,35:08.5,1.0,3.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Yoshinobu, Enomoto",1000242860.0,Left,TOK,Undefined,1.0,Top,0.0,0.0,2.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,149.718,-1.36915,-0.794792,2590.342954,225.360834,1:30,1.528454,0.381915,2.126116,-42.8373,35.4551,33.51,0.720399,0.496659,137.4329,-4.61264,1.622978,0.39959,,,,,,,,,,,,-18.3327,20.5799,-0.368027,15.24,1.500844,0.41958,-41.270982,-1.115146,-4.095161,8.78482,-5.209495,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,a7e56f60-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,151.8056,,,12.2851,,,,16.313667,-41.49889,4.39241,1.528022,-0.979994,-2.604748,-0.380291,0.525823,-2.047581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c4080f0-500a-45ff-9674-6f681da2c1f0,2023-11-01T12:35:08.5262212+09:00,2023-11-01T03:35:08.5262212Z,NoShift,28.42286767,23.37319586,44.42797084,14.6786813,23.48265421,-18.50394479,42.74332799,-12.39753216,64.94328096,-42.01366202,86.22712081,-0.499358,71.93420419,39.98770755,1698809709.0,安 秀明,3.0,2023/11/1,3.0,919.9978869,919.9978998,1698809709,Normal,1.0,3.0,1,Top,0,0,2,1,榎本,Left,丸山,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1075,https://youtu.be/bwrFRMF9BNE&t=1075,23AF
3,4.0,2023/11/1,35:25.0,2023/11/1,35:25.0,1.0,4.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Yoshinobu, Enomoto",1000242860.0,Left,TOK,Undefined,1.0,Top,0.0,1.0,2.0,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,,Undefined,0.0,0.0,,133.21593,1.089245,-0.890167,3193.201216,58.41003,8:00,1.480971,0.40145,1.777898,-132.8195,-27.4696,-50.6461,0.461444,-0.357224,120.92019,-8.493138,-4.469879,0.463523,,,,,,,,,,,,25.0822,-13.8253,-0.375754,15.24,1.498766,0.812212,-36.623924,0.141754,4.317653,8.340054,-12.186533,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,b1c18b40-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,130.86716,,,12.29575,,,,16.662586,-36.946457,4.170027,1.484171,0.613041,-6.093266,-0.403935,0.645236,2.158827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb2e6c0a-09a7-47a2-97d9-ef4f0af51b67,2023-11-01T12:35:25.0320772+09:00,2023-11-01T03:35:25.0320772Z,NoShift,28.34374659,23.25458158,,,23.98218806,-18.59491834,42.36219227,-12.84917649,64.16994822,-41.54620893,85.28093943,-0.896854396,71.68118166,40.01541608,1698809725.0,安 秀明,4.0,2023/11/1,4.0,936.2147868,936.214792,1698809725,Normal,1.0,4.0,1,Top,0,1,2,1,榎本,Left,丸山,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Strikeout,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,空三振,,1091,https://youtu.be/bwrFRMF9BNE&t=1091,23AF
4,5.0,2023/11/1,35:54.2,2023/11/1,35:54.2,2.0,1.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Taiyo, Nakayama",1000242863.0,Left,TOK,Undefined,1.0,Top,1.0,0.0,0.0,Slider,Curveball,FoulBall,Undefined,Undefined,,Undefined,0.0,0.0,,132.05346,1.36713,-0.426855,3243.248386,58.522119,8:00,1.486567,0.43959,1.816435,-132.1974,-26.2676,-48.5921,0.551079,-0.166979,120.55793,-8.18791,-3.870016,0.464797,,,,,,,,,,,,24.7201,-13.6683,-0.425967,15.24,1.510759,0.493584,-36.340416,0.33585,4.22058,7.740674,-12.140311,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,c3294350-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,130.50846,,,11.49553,,,,16.624469,-36.634127,3.870337,1.489276,0.796501,-6.070156,-0.441657,0.333439,2.11029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a63a200b-5040-40dd-a89d-dd990c939153,2023-11-01T12:35:54.2349700+09:00,2023-11-01T03:35:54.2349700Z,NoShift,28.13952948,23.03453632,,,23.008772,-17.96862391,43.5659835,-13.36795746,65.37413286,-41.38847778,86.7154402,-1.198844267,71.61078169,41.04903835,1698809754.0,安 秀明,5.0,2023/11/1,5.0,965.4041429,965.4041579,1698809754,Normal,2.0,1.0,1,Top,1,0,0,2,中山,Left,丸山,Right,,,,,Undefined,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1105,https://youtu.be/bwrFRMF9BNE&t=1105,23AF
5,6.0,2023/11/1,36:16.5,2023/11/1,36:16.5,2.0,2.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Taiyo, Nakayama",1000242863.0,Left,TOK,Undefined,1.0,Top,1.0,0.0,1.0,Fastball,Cutter,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,144.75254,-0.178856,-0.676514,2796.897675,172.720512,11:45,1.532253,0.399031,2.091213,-54.728,29.2948,-3.4233,0.935276,0.176826,132.93878,-4.284585,-0.922922,0.413955,,,,,,,,,,,,1.3515,16.4704,-0.385794,15.24,1.52634,0.486533,-39.902983,-0.301333,0.282561,8.114948,-6.36312,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,d06bbbb0-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,146.53763,,,11.81377,,,,16.348334,-40.127749,4.057474,1.532246,-0.125089,-3.18156,-0.399162,0.478706,0.14128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52841f21-9adf-4b15-afa4-ac1c8aa983ec,2023-11-01T12:36:16.4933508+09:00,2023-11-01T03:36:16.4933508Z,NoShift,28.00913562,23.1961267,,,23.13459312,-18.16779772,42.82613327,-13.16550816,66.793118,-41.18800391,86.32405201,-1.190730258,71.20289661,40.84951221,1698809776.0,安 秀明,6.0,2023/11/1,6.0,987.6060488,987.6060607,1698809776,Normal,2.0,2.0,1,Top,1,0,1,2,中山,Left,丸山,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1114,https://youtu.be/bwrFRMF9BNE&t=1114,23AF
6,7.0,2023/11/1,36:33.5,2023/11/1,36:33.5,2.0,3.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Taiyo, Nakayama",1000242863.0,Left,TOK,Undefined,1.0,Top,1.0,0.0,2.0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,132.13942,1.567688,1.562196,3255.155913,53.422459,7:45,1.501811,0.410796,1.769757,-134.0412,-27.6884,-42.0571,0.606039,0.433142,120.49418,-8.098954,-1.40969,0.465724,,,,,,,,,,,,22.4625,-13.987,-0.446957,15.24,1.531656,-0.786129,-36.336884,0.429809,3.843372,7.588172,-12.199857,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,da8e2f60-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,130.24868,,,11.64524,,,,16.670747,-36.634446,3.794086,1.505422,0.908213,-6.099929,-0.413175,-0.936843,1.921686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d2184798-db42-413f-b0f8-fa34e0abf223,2023-11-01T12:36:33.4780804+09:00,2023-11-01T03:36:33.4780804Z,NoShift,28.21040409,23.25075326,,,23.13871332,-18.10873093,42.48971747,-13.08446833,66.45615713,-42.02374287,86.83492254,-1.06654592,72.45113171,41.60009416,1698809793.0,安 秀明,7.0,2023/11/1,7.0,1004.681438,1004.681442,1698809793,Normal,2.0,3.0,1,Top,1,0,2,2,中山,Left,丸山,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1131,https://youtu.be/bwrFRMF9BNE&t=1131,23AF
7,8.0,2023/11/1,36:51.6,2023/11/1,36:51.6,2.0,4.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Taiyo, Nakayama",1000242863.0,Left,TOK,Undefined,1.0,Top,1.0,1.0,2.0,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,,Undefined,0.0,0.0,,132.53586,0.901803,-0.247207,3204.284068,47.624992,7:30,1.497976,0.401245,1.827172,-133.0207,-28.5707,-34.9055,0.422506,-0.017634,121.67401,-8.698229,-2.724193,0.461539,,,,,,,,,,,,17.7188,-14.2835,-0.393065,15.24,1.510955,0.319704,-36.494953,0.033471,3.06875,7.428592,-12.280432,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,e55ebd60-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,131.42971,,,10.86186,,,,16.613631,-36.773494,3.714296,1.501067,0.493936,-6.140216,-0.402896,0.204639,1.534375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8b58c648-5b3c-48de-843a-12ba0ed5dabc,2023-11-01T12:36:51.6250500+09:00,2023-11-01T03:36:51.6250500Z,NoShift,28.04850369,23.06971281,,,23.19377716,-18.31510941,42.59482709,-13.13205929,66.5777241,-42.34480409,86.80609566,-0.960778693,71.64739531,41.56216141,1698809812.0,安 秀明,8.0,2023/11/1,8.0,1022.665003,1022.665013,1698809811,Normal,2.0,4.0,1,Top,1,1,2,2,中山,Left,丸山,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Strikeout,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,空三振,,1150,https://youtu.be/bwrFRMF9BNE&t=1150,23AF
8,9.0,2023/11/1,37:18.4,2023/11/1,37:18.4,3.0,1.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Kaiki, Ohara",1000242856.0,Right,TOK,Undefined,1.0,Top,2.0,0.0,0.0,Slider,Curveball,FoulBall,Undefined,Undefined,,Undefined,0.0,0.0,,130.43457,1.047209,-0.075105,3190.468298,47.397349,7:30,1.506967,0.389706,1.874297,-138.9541,-31.0119,-37.6453,0.412381,-0.007898,119.03555,-9.02206,-2.754989,0.469192,,,,,,,,,,,,19.4796,-15.9389,-0.385663,15.24,1.522724,0.213786,-35.905517,0.117877,3.240073,7.685345,-12.457781,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,f54e7b70-7867-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,129.28621,,,11.39902,,,,16.566547,-36.188342,3.842672,1.509951,0.57633,-6.22889,-0.391337,0.094549,1.620036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d49dce0f-034f-4c4d-8a8e-a0f4b9d7ee38,2023-11-01T12:37:18.3769476+09:00,2023-11-01T03:37:18.3769476Z,NoShift,27.78143196,22.62566569,44.42564607,13.59366051,27.05799233,-22.47530275,41.70788999,-13.23485832,67.4063061,-42.38634162,87.31480779,-0.767850651,71.42811895,41.82363679,1698809838.0,安 秀明,9.0,2023/11/1,9.0,1049.497665,1049.497682,1698809838,Normal,3.0,1.0,1,Top,2,0,0,3,大原,Right,丸山,Right,,,,,Undefined,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1160,https://youtu.be/bwrFRMF9BNE&t=1160,23AF
9,10.0,2023/11/1,37:36.9,2023/11/1,37:36.9,3.0,2.0,"Yota, Maruyama",1000242138.0,Right,HOS_HOS,"Kaiki, Ohara",1000242856.0,Right,TOK,Undefined,1.0,Top,2.0,0.0,1.0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,131.61478,2.508221,0.93345,3274.565037,69.287466,8:15,1.506655,0.395155,1.853775,-120.0502,-13.787,-45.8647,1.01398,0.19975,119.50368,-6.237505,-2.319746,0.465528,,,,,,,,,,,,24.1603,-7.8009,-0.414387,15.24,1.558314,-0.374618,-36.18362,1.111733,4.09548,7.580483,-11.129009,HOS_HOS,TOK,JinguStadium,TeamExclusive,PG,20231101-JinguStadium-3,0059c880-7868-11ee-95e4-edcc97ee346e,79ee177d-a0e4-474b-bf4a-9a4f504ad0d5,v3,,,,"Hiroto, Kawasaki",1000242159.0,Right,HOS_HOS,130.30356,,,12.1111,,,,16.586321,-36.464584,3.790242,1.509464,1.52422,-5.564504,-0.397689,-0.526413,2.04774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159e4ed9-2495-4ad3-951e-552e10d5386d,2023-11-01T12:37:36.9127300+09:00,2023-11-01T03:37:36.9127300Z,NoShift,27.42470242,22.23232687,44.63415418,13.8685456,27.22405772,-22.65789019,42.1030841,-13.65921012,67.32886583,-42.52708727,86.8629734,-0.658299736,70.88321104,41.04253822,1698809857.0,安 秀明,10.0,2023/11/1,10.0,1068.013287,1068.013292,1698809857,Normal,3.0,2.0,1,Top,2,0,1,3,大原,Right,丸山,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,川崎,佐藤拓,増田,品川,石黒,池田,浜岡,片山,,,1174,https://youtu.be/bwrFRMF9BNE&t=1174,23AF
