count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,n_time,n_URL,season
0,1.0,2023/11/3,0:34:52,,0:34:52,1.0,1.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Kazuya, Isiguro",1000126364,Right,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,3bc65aa0-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975293,前田 則政,1.0,2023/11/3,1.0,190.8250318,190.8250389,1698975293.0,Normal,1.0,1.0,1,Top,0,0,0,1,石黒,Right,菱川,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1046,https://youtu.be/WqbjLYOy6M8&t=1046,23AF
1,2.0,2023/11/3,0:35:03,,0:35:03,1.0,2.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Kazuya, Isiguro",1000126364,Right,HOS_HOS,Undefined,1,Top,0,0.0,1.0,Fastball,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,43337250-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975304,前田 則政,2.0,2023/11/3,2.0,202.112839,202.1128459,1698975304.0,Normal,1.0,2.0,1,Top,0,0,1,1,石黒,Right,菱川,Right,,,,,Undefined,FoulBall,LineDrive,Undefined,Undefined,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1057,https://youtu.be/WqbjLYOy6M8&t=1057,23AF
2,3.0,2023/11/3,0:35:20,,0:35:20,1.0,3.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Kazuya, Isiguro",1000126364,Right,HOS_HOS,Undefined,1,Top,0,0.0,2.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,4a474670-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975322,前田 則政,3.0,2023/11/3,3.0,219.8515377,219.8515439,1698975322.0,Normal,1.0,3.0,1,Top,0,0,2,1,石黒,Right,菱川,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1067,https://youtu.be/WqbjLYOy6M8&t=1067,23AF
3,4.0,2023/11/3,0:35:37,,0:35:37,1.0,4.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Kazuya, Isiguro",1000126364,Right,HOS_HOS,Undefined,1,Top,0,1.0,2.0,Fastball,,InPlay,Undefined,GroundBall,,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,5201e1e0-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975339,前田 則政,4.0,2023/11/3,4.0,236.87257,236.8725748,1698975339.0,Normal,1.0,4.0,1,Top,0,1,2,1,石黒,Right,菱川,Right,,,,,Undefined,InPlay,GroundBall,Single,Undefined,0.0,0.0,吉田,3.0,,石黒,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,一安,,,1084,https://youtu.be/WqbjLYOy6M8&t=1084,23AF
4,5.0,2023/11/3,0:36:22,,0:36:22,2.0,1.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Riku, Hamaoka",1000126365,Left,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,67e89260-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975384,前田 則政,5.0,2023/11/3,5.0,282.145355,282.1453619,1698975384.0,Normal,2.0,1.0,1,Top,0,0,0,2,浜岡,Left,菱川,Right,1,石黒,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1111,https://youtu.be/WqbjLYOy6M8&t=1111,23AF
5,6.0,2023/11/3,0:36:37,,0:36:37,2.0,2.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Riku, Hamaoka",1000126365,Left,HOS_HOS,Undefined,1,Top,0,0.0,1.0,Slider,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,6aed6df0-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975400,前田 則政,6.0,2023/11/3,6.0,297.688257,297.6882658,1698975400.0,Normal,2.0,2.0,1,Top,0,0,1,2,浜岡,Left,菱川,Right,1,石黒,,,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1127,https://youtu.be/WqbjLYOy6M8&t=1127,23AF
6,7.0,2023/11/3,0:36:59,,0:36:59,2.0,3.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Riku, Hamaoka",1000126365,Left,HOS_HOS,Undefined,1,Top,0,0.0,2.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,7ddb77e0-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975422,前田 則政,7.0,2023/11/3,7.0,319.9907889,319.9907959,1698975422.0,Normal,2.0,3.0,1,Top,0,0,2,2,浜岡,Left,菱川,Right,1,石黒,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1149,https://youtu.be/WqbjLYOy6M8&t=1149,23AF
7,8.0,2023/11/3,0:37:16,,0:37:16,2.0,4.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Riku, Hamaoka",1000126365,Left,HOS_HOS,Undefined,1,Top,0,1.0,2.0,Slider,,FoulBall,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,89b9cc60-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975440,前田 則政,8.0,2023/11/3,8.0,337.6909359,337.6909428,1698975440.0,Normal,2.0,4.0,1,Top,0,1,2,2,浜岡,Left,菱川,Right,1,石黒,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1167,https://youtu.be/WqbjLYOy6M8&t=1167,23AF
8,9.0,2023/11/3,0:37:39,,0:37:39,2.0,5.0,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Riku, Hamaoka",1000126365,Left,HOS_HOS,Undefined,1,Top,0,1.0,2.0,Fastball,,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,98166750-79e9-11ee-b8a2-afcce86f5d08,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975463,前田 則政,9.0,2023/11/3,9.0,360.8687909,360.8687978,1698975463.0,Normal,2.0,5.0,1,Top,0,1,2,2,浜岡,Left,菱川,Right,1,石黒,,,Undefined,StrikeSwinging,Undefined,Undefined,Strikeout,0.0,0.0,,,,,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,空三振,,,1179,https://youtu.be/WqbjLYOy6M8&t=1179,23AF
9,,2023/11/3,0:38:07,,0:38:07,,,"Kazuki, Hishikawa",1000126497,Right,MEI_MEI,"Yuma, Katayama",1000242142,Left,HOS_HOS,,1,Top,1,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20231103-JinguStadium-3,,b8d6435b-7d08-45c1-a049-25e68a7b9595,v3,,,,"Seiya, Fukuhara",1000242807,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698975492,前田 則政,,2023/11/3,,389.6317379,389.6317527,1698975492.0,Normal,,,1,Top,1,0,0,3,片山,Left,菱川,Right,1,石黒,,,,,,,,0.0,0.0,"菱川,吉田",,PickOff,石黒,,,福原,吉田,友納,宮田,三輪,瀨,岸本,今井,,,,1195,https://youtu.be/WqbjLYOy6M8&t=1195,23AF
