count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0,1.0,2023/4/8,08:33.1,2023/4/8,08:33.1,1.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,130.29093,0.567255,0.418121,2745.263692,90.096362,9:00,1.585645,0.295255,1.682343,-106.3648,3.5413,-33.8329,0.683661,0.076083,119.34729,-7.105097,-1.958814,0.473441,,,,,,,,,,,,17.3884,2.4302,-0.303557,15.24,1.592156,-0.098455,-35.835747,-0.08201,2.912766,6.96617,-9.399558,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,0a6ce720-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,128.12589,,,10.94364,,,,16.757592,-36.12955,3.483085,1.587255,0.314423,-4.699779,-0.296814,-0.221303,1.456383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,1.0,2023/4/8,1.0,24.2037468,24.20375299,24.20375514,Normal,1.0,1.0,1,Top,0,0,0,1,武川,Right,外丸,Right,,,,,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,131,8.0,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:05:31,,https://youtu.be/5N_yDUGePss&t=331,1012,https://youtu.be/iP1RmPteSms&t=1012,23S
1,2.0,2023/4/8,08:43.8,2023/4/8,08:43.8,1.0,2.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,0.0,1.0,Splitter,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,137.70346,-0.733961,-0.15704,907.723116,97.627845,9:15,1.593126,0.270833,1.718008,-91.2902,7.7004,-31.6917,0.471507,-0.09074,124.96779,-7.354524,-2.388955,0.449316,,,,,,,,,,,,15.9268,5.5295,-0.264299,15.24,1.567183,0.264342,-37.834846,-0.869917,2.941363,8.536027,-8.78547,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,110ee6a0-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,135.00532,,,12.73567,,,,16.721352,-38.167595,4.268013,1.594419,-0.527445,-4.392735,-0.272369,0.149683,1.470681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,2.0,2023/4/8,2.0,34.92039204,34.92039895,34.9203999,Normal,1.0,2.0,1,Top,0,0,1,1,武川,Right,外丸,Right,,,,,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,138,7.0,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:05:42,,https://youtu.be/5N_yDUGePss&t=342,1023,https://youtu.be/iP1RmPteSms&t=1023,23S
2,3.0,2023/4/8,08:54.9,2023/4/8,08:54.9,1.0,3.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,0.0,2.0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,133.54922,-0.58945,-1.017402,2845.435761,94.102802,9:15,1.588563,0.312116,1.72889,-98.0569,6.8781,-46.3247,0.440461,-0.440271,121.68911,-7.684277,-4.279622,0.46261,,,,,,,,,,,,22.7339,5.0187,-0.282399,15.24,1.56605,0.87687,-36.705487,-0.777174,3.957297,7.939339,-8.933049,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,1759c570-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,131.12559,,,11.86011,,,,16.710861,-37.022265,3.96967,1.589948,-0.420747,-4.466524,-0.314236,0.718975,1.978649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,3.0,2023/4/8,3.0,45.99024391,45.99024701,45.99024916,Normal,1.0,3.0,1,Top,0,0,2,1,武川,Right,外丸,Right,,,,,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,134,17.0,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:05:53,,https://youtu.be/5N_yDUGePss&t=353,1034,https://youtu.be/iP1RmPteSms&t=1034,23S
3,4.0,2023/4/8,09:09.4,2023/4/8,09:09.4,1.0,4.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,2.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,147.57832,-1.097946,-3.358329,2356.636379,224.557347,1:30,1.602487,0.320586,1.876458,-43.6975,40.5118,37.0805,0.855773,-0.255362,133.87888,-4.389103,-0.730501,0.414414,143.47531,22.865402,113.100529,2687.677851,,,,,21.434761,,,-21.6024,22.5802,-0.244961,15.24,1.574318,2.188159,-40.531035,-0.928692,-4.611812,9.212233,-4.986092,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,2000e3c0-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,146.37529,8.92063,,13.69944,,,,16.56288,-40.830603,4.606117,1.601882,-0.766552,-2.493046,-0.318555,2.338128,-2.305906,-0.119572,0.835285,0.185853,,-0.119572,-14.407917,-1.291975,0.786667,-0.308987,0.105173,-0.032859,0.008654,-0.001368,0.835285,15.486072,-5.22717,-0.408872,0.392815,-0.175029,0.062247,-0.017698,0.002966,0.185853,33.778025,-11.798996,3.572976,-0.944625,0.238895,-0.059072,0.013105,-0.001881,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,4.0,2023/4/8,4.0,60.45567179,60.45567489,60.45567608,Normal,1.0,4.0,1,Top,0,1,2,1,武川,Right,外丸,Right,,,,,Fastball,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,147,,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:06:07,,https://youtu.be/5N_yDUGePss&t=367,1049,https://youtu.be/iP1RmPteSms&t=1049,23S
4,5.0,2023/4/8,09:26.5,2023/4/8,09:26.5,1.0,5.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,2.0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,135.25939,-1.187866,-0.41752,2803.389603,91.507702,9:00,1.595461,0.282246,1.733699,-97.9846,4.6208,-38.1542,0.278107,-0.217907,122.84658,-8.278629,-3.108265,0.457446,,,,,,,,,,,,19.0978,4.353,-0.268614,15.24,1.5577,0.457664,-37.160539,-1.174575,3.394433,8.391389,-9.032947,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,2a2d90a0-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,132.6058,,,12.41281,,,,16.705923,-37.490104,4.195694,1.596864,-0.819813,-4.516473,-0.283971,0.32435,1.697216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,5.0,2023/4/8,5.0,77.58633995,77.58634305,77.586344,Normal,1.0,5.0,1,Top,0,1,2,1,武川,Right,外丸,Right,,,,,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,136,,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:06:24,,https://youtu.be/5N_yDUGePss&t=384,1060,https://youtu.be/iP1RmPteSms&t=1060,23S
5,6.0,2023/4/8,09:39.2,2023/4/8,09:39.2,1.0,6.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,2.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,148.7356,-1.181902,-2.506073,2353.994391,223.850893,1:30,1.606699,0.317178,1.831325,-41.6892,42.3274,37.7115,0.855699,-0.013814,133.78668,-4.338965,0.162127,0.41394,117.93603,-6.615975,28.552149,,,,,5.636435,4.072233,27.493083,0.17202,-21.4141,23.5973,-0.259623,15.24,1.575687,1.588522,-40.833186,-0.987737,-4.594891,10.145002,-4.743297,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,31c40240-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,146.54308,0.798752,,14.94892,,,,16.60779,-41.171611,5.072501,1.605998,-0.829507,-2.371648,-0.315171,1.741802,-2.297445,0.184319,0.798752,-0.023347,345.726501,0.184416,28.576757,-3.392269,,,,,,,0.798855,-3.782279,-5.012973,,,,,,,-0.023302,15.550218,-1.678622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,6.0,2023/4/8,6.0,90.30139399,90.3014009,90.30140305,Normal,1.0,6.0,1,Top,0,2,2,1,武川,Right,外丸,Right,,,,,Fastball,InPlay,GroundBall,Out,Undefined,1,0,"外丸,清原",3.0,,武川,※,,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,一ゴロ,0:06:37,,https://youtu.be/5N_yDUGePss&t=397,1073,https://youtu.be/iP1RmPteSms&t=1073,23S
6,7.0,2023/4/8,10:10.8,2023/4/8,10:10.8,2.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,147.12011,-1.172845,-1.333964,2334.468979,218.052231,1:15,1.58803,0.336854,1.867802,-45.8921,39.0613,28.264,0.798536,0.243595,133.13974,-4.623995,0.672174,0.416241,129.09384,41.503288,-67.551085,4155.283463,8.470253,21.139354,-32.440366,79.905569,49.30998,-82.747999,4.179136,-15.6803,21.9757,-0.307524,15.24,1.557859,0.799181,-40.44594,-0.990208,-3.317106,9.567694,-5.157769,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,449b01c0-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,145.73285,22.404012,,13.98037,,,,16.571597,-40.759719,4.783847,1.58756,-0.821055,-2.578885,-0.335518,0.907968,-1.658553,0.278185,0.723762,-0.155469,132.139345,0.270239,10.464163,-5.829207,3.63385,-2.522405,1.256868,-0.370411,0.057159,-0.00354,0.724132,23.754324,-7.593092,0.72985,-0.094911,0.011299,-0.004427,0.001353,-0.000136,-0.155057,-24.833972,2.425764,-0.539892,0.260744,-0.14286,0.048242,-0.008302,0.00056,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,7.0,2023/4/8,7.0,121.909646,121.909652,121.9096541,Normal,2.0,1.0,1,Top,1,0,0,2,鈴木照,Right,外丸,Right,,,,,Fastball,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,,,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:07:09,,https://youtu.be/5N_yDUGePss&t=429,1088,https://youtu.be/iP1RmPteSms&t=1088,23S
7,8.0,2023/4/8,10:26.8,2023/4/8,10:26.8,2.0,2.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,0.0,1.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,147.29357,-0.387035,-1.840969,2299.755392,219.762208,1:15,1.593312,0.339919,1.811423,-39.5511,46.8648,36.2256,1.088318,0.181509,131.47916,-3.413541,0.719998,0.419809,,,,,,,,,,,,-19.9458,25.1812,-0.297518,15.24,1.581257,1.101767,-40.415187,-0.400056,-4.16405,10.478181,-4.549603,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,4e277700-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,144.49438,,,15.81441,,,,16.626694,-40.773121,5.239091,1.592268,-0.244642,-2.274802,-0.337584,1.244011,-2.082025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,8.0,2023/4/8,8.0,137.9836581,137.9836628,137.983665,Normal,2.0,2.0,1,Top,1,0,1,2,鈴木照,Right,外丸,Right,,,,,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:07:25,,https://youtu.be/5N_yDUGePss&t=445,1098,https://youtu.be/iP1RmPteSms&t=1098,23S
8,9.0,2023/4/8,10:38.4,2023/4/8,10:38.4,2.0,3.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,0.0,2.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,147.9864,-1.061847,-0.125982,2281.742453,223.721427,1:30,1.595951,0.347592,1.771621,-43.1462,42.6392,37.6929,0.863507,0.688815,132.67065,-4.319148,2.533561,0.418274,,,,,,,,,,,,-19.1702,23.5266,-0.347061,15.24,1.566423,-0.117349,-40.624416,-0.90663,-4.052457,10.414706,-4.833279,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,551350c0-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,145.02444,,,15.31575,,,,16.666822,-40.988572,5.207353,1.59517,-0.737631,-2.41664,-0.345435,0.024347,-2.026228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,9.0,2023/4/8,9.0,149.463027,149.463033,149.4630349,Normal,2.0,3.0,1,Top,1,0,2,2,鈴木照,Right,外丸,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:07:36,,https://youtu.be/5N_yDUGePss&t=456,1110,https://youtu.be/iP1RmPteSms&t=1110,23S
9,10.0,2023/4/8,10:51.0,2023/4/8,10:51.0,2.0,4.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,1.0,2.0,Fastball,Sinker,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,146.73033,-1.054595,-1.628786,2216.415619,228.834854,1:45,1.589542,0.338868,1.811927,-47.8816,39.077,40.8964,0.812422,0.287225,131.35936,-4.661378,1.263889,0.421125,117.92004,14.980733,-166.869902,1565.053971,,,,39.951519,20.163844,-165.024193,1.454539,-22.3741,21.8904,-0.302088,15.24,1.560783,0.930785,-40.278626,-0.914894,-4.641377,10.37565,-5.265608,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20230408-JinguStadium-2,5c96d6a0-d5cb-11ed-a615-ab8ab2cbd1d5,3a4ca7cd-10b2-4649-83b9-b755a3cea7b5,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,144.04275,3.50304,,15.37097,,,,16.627016,-40.634346,5.187825,1.589055,-0.734367,-2.632804,-0.336727,1.08991,-2.320688,0.513187,0.786211,-0.280362,333.4059,0.513187,-30.815065,2.908945,-0.199806,0.041826,-0.001519,-0.000133,-0.00016,2.8e-05,0.786211,8.467124,-7.001827,0.698364,-0.132153,0.028592,-0.004062,0.000557,-6.4e-05,-0.280362,-7.187957,0.028404,0.143838,-0.030229,0.00861,-0.001473,0.000175,-1.7e-05,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,10.0,2023/4/8,10.0,162.298502,162.2985089,162.2985098,Normal,2.0,4.0,1,Top,1,1,2,2,鈴木照,Right,外丸,Right,,,,,Fastball,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,,,宮崎,清原,本間,廣瀬,齋藤快,橋本駿,古川,栗林泰,,0:07:49,,https://youtu.be/5N_yDUGePss&t=469,1122,https://youtu.be/iP1RmPteSms&t=1122,23S
