count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,count.1,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL
0,1.0,2023/4/8,07:47.8,2023/4/8,07:47.8,1.0,1.0,"Kenichi, Murata",1000089794,Right,MEJ,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,0.0,0.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.35299,-3.153202,-3.293126,2166.034708,227.998478,1:30,1.706173,0.736973,1.834724,-47.0864,43.4219,44.55,0.342732,0.251741,129.54942,-6.685723,-0.141782,0.429634,,,,,,,,,,,,-25.4234,25.7854,-0.661105,15.24,1.627657,2.033568,-39.288614,-2.329567,-5.066406,9.153145,-4.668097,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,ca22f650-d5b1-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,141.18985,,,13.80357,,,,16.604408,-39.605207,4.576573,1.705441,-2.168104,-2.334048,-0.734474,2.208807,-2.533203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,0,1.0,2023/4/8,1.0,2472.421113,2472.421122,2472.421126,Normal,1.0,1.0,1,Top,0,0,0,1,酒井捷,Left,村田,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,17.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:09:12,,https://youtu.be/MsAJIUXfTvI&t=552,1056,https://youtu.be/1GVh8sSKqQE&t=1056
1,2.0,2023/4/8,07:56.5,2023/4/8,07:56.5,1.0,2.0,"Kenichi, Murata",1000089794,Right,MEJ,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,142.08861,-1.876729,-2.436379,2007.830662,216.949966,1:15,1.697759,0.727001,1.843949,-42.678,48.7587,34.2647,0.740779,0.381794,128.66225,-5.106571,-0.010032,0.431832,109.61335,43.317146,-131.878624,3954.926884,-24.958717,15.465552,-22.387158,59.946276,35.25693,-140.734468,3.231163,-19.4752,27.4721,-0.671359,15.24,1.650458,1.488938,-39.019744,-1.416864,-3.840338,8.79136,-4.389395,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,cf4b4e20-d5b1-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,140.47125,15.583068,,13.42636,,,,16.595213,-39.323896,4.39568,1.69685,-1.265006,-2.194697,-0.725169,1.6218,-1.920169,0.073205,0.69557,-0.376065,38.974109,0.073208,-14.787841,-0.631698,0.476241,-0.16407,0.070469,-0.029049,0.007021,-0.000662,0.695497,20.891268,-8.517585,1.083925,-0.269846,0.083067,-0.023779,0.003856,-0.000235,-0.375925,-16.499752,2.962817,-0.857145,0.287218,-0.127274,0.044928,-0.008533,0.000631,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,1,2.0,2023/4/8,2.0,2481.055697,2481.055702,2481.055704,Normal,1.0,2.0,1,Top,0,1,0,1,酒井捷,Left,村田,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,4.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:09:21,,https://youtu.be/MsAJIUXfTvI&t=561,1064,https://youtu.be/1GVh8sSKqQE&t=1064
2,3.0,2023/4/8,08:11.3,2023/4/8,08:11.3,1.0,3.0,"Kenichi, Murata",1000089794,Right,MEJ,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1.0,1.0,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,135.72745,-1.195103,-3.247379,1673.650394,263.04791,2:45,1.637856,0.783322,1.802838,-91.7553,8.0244,40.1049,0.381647,0.264788,124.69312,-7.850335,-0.412338,0.451103,,,,,,,,,,,,-22.8372,5.9205,-0.706662,15.24,1.602356,1.925489,-37.302313,-1.145888,-4.157855,7.335527,-8.728741,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,d82897a0-d5b1-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,134.47034,,,11.03433,,,,16.637273,-37.576083,3.667764,1.639042,-0.820121,-4.36437,-0.78142,2.080665,-2.078928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,2,3.0,2023/4/8,3.0,2495.833935,2495.833941,2495.833943,Normal,1.0,3.0,1,Top,0,1,1,1,酒井捷,Left,村田,Right,,,,,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:09:35,,https://youtu.be/MsAJIUXfTvI&t=575,1073,https://youtu.be/1GVh8sSKqQE&t=1073
3,4.0,2023/4/8,08:23.1,2023/4/8,08:23.1,1.0,4.0,"Kenichi, Murata",1000089794,Right,MEJ,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1.0,2.0,Sinker,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.08642,-0.909528,-2.960279,1721.244409,267.92554,3:00,1.64694,0.783592,1.832385,-93.8839,4.268,38.9128,0.450924,0.336117,125.85754,-7.711902,-0.203424,0.447408,,,,,,,,,,,,-21.9658,3.6901,-0.715284,15.24,1.618998,1.754519,-37.447293,-0.968422,-4.058514,6.907042,-9.124842,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,df369f60-d5b1-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,135.58091,,,10.22888,,,,16.608054,-37.698782,3.453521,1.64821,-0.636182,-4.562421,-0.781857,1.902292,-2.029257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,3,4.0,2023/4/8,4.0,2507.599467,2507.599473,2507.599475,Normal,1.0,4.0,1,Top,0,1,2,1,酒井捷,Left,村田,Right,,,,,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,17.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:09:47,,https://youtu.be/MsAJIUXfTvI&t=587,1084,https://youtu.be/1GVh8sSKqQE&t=1084
4,5.0,2023/4/8,08:35.9,2023/4/8,08:36.0,1.0,5.0,"Kenichi, Murata",1000089794,Right,MEJ,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,2.0,2.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.02783,-3.098103,-4.652678,2092.560941,220.355835,1:15,1.661643,0.737462,1.973744,-44.3294,44.5048,35.2552,0.347503,-0.215098,130.26867,-6.444586,-2.144956,0.425642,,,,,,,,,,,,-21.8545,26.469,-0.639217,15.24,1.592509,3.025233,-39.201055,-2.265553,-4.374178,8.449592,-4.508882,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,e6d2b650-d5b1-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,142.51402,,,12.75916,,,,16.46586,-39.464399,4.224796,1.660928,-2.125027,-2.254441,-0.735627,3.16156,-2.187089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,4,5.0,2023/4/8,5.0,2520.49841,2520.498415,2520.498416,Normal,1.0,5.0,1,Top,0,2,2,1,酒井捷,Left,村田,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,19.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:10:00,,https://youtu.be/MsAJIUXfTvI&t=600,1095,https://youtu.be/1GVh8sSKqQE&t=1095
5,6.0,2023/4/8,08:46.4,2023/4/8,08:46.4,1.0,6.0,"Kenichi, Murata",1000089794,Right,MEJ,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,3.0,2.0,Fastball,Sinker,FoulBall,Undefined,Undefined,,Undefined,0,0,,144.62806,-2.560431,-3.836656,2170.899399,228.263728,1:30,1.635994,0.762596,1.883507,-51.9886,35.5943,36.6194,0.393334,0.047285,131.86411,-6.42714,-1.241131,0.422634,,,,,,,,,,,,-21.8078,21.185,-0.676362,15.24,1.573719,2.48243,-39.686017,-1.965785,-4.47515,8.63143,-5.459291,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,ed1530b0-d5b1-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,143.52845,,,12.76394,,,,16.556275,-39.971272,4.315715,1.635704,-1.785364,-2.729645,-0.760847,2.630327,-2.237575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,5,6.0,2023/4/8,6.0,2530.962986,2530.962993,2530.962994,Normal,1.0,6.0,1,Top,0,3,2,1,酒井捷,Left,村田,Right,,,,,Fastball,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,,8.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:10:11,,https://youtu.be/MsAJIUXfTvI&t=611,1107,https://youtu.be/1GVh8sSKqQE&t=1107
6,7.0,2023/4/8,09:00.9,2023/4/8,09:00.9,1.0,7.0,"Kenichi, Murata",1000089794,Right,MEJ,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,3.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,143.4056,-2.527121,-3.756091,2081.28952,222.297757,1:30,1.648365,0.720446,1.94824,-44.4165,43.8068,37.2,0.493771,0.037967,130.81008,-5.874737,-1.109254,0.424176,155.77443,-7.079875,27.054049,,,,,4.338055,4.195821,25.498166,0.096249,-22.1199,25.5617,-0.640064,15.24,1.590388,2.408549,-39.371253,-1.88272,-4.473345,8.394633,-4.637268,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,f5bd3960-d5b1-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,143.00659,0.513829,,12.59553,,,,16.491484,-39.637193,4.197316,1.647705,-1.735812,-2.318634,-0.718611,2.550263,-2.236673,0.231104,0.513829,-0.01423,180.0,0.230513,38.280214,,,,,,,,0.513911,-5.338555,,,,,,,,-0.014532,19.550251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,6,7.0,2023/4/8,7.0,2545.432816,2545.432822,2545.432823,Normal,1.0,7.0,1,Top,0,3,2,1,酒井捷,Left,村田,Right,,,,,Fastball,InPlay,GroundBall,Single,Undefined,0,0,瀨,9.0,,酒井捷,,,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,右安,0:10:25,,https://youtu.be/MsAJIUXfTvI&t=625,1115,https://youtu.be/1GVh8sSKqQE&t=1115
7,8.0,2023/4/8,09:36.2,2023/4/8,09:36.2,2.0,1.0,"Kenichi, Murata",1000089794,Right,MEJ,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,0,0.0,0.0,Slider,Curveball,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,124.13675,1.189413,-2.485135,1998.405782,101.516682,9:30,1.687829,0.757976,1.860625,-112.8312,7.6602,-16.2215,0.895136,-0.105152,112.11339,-7.080093,-3.634188,0.495716,,,,,,,,,,,,6.2712,4.167,-0.698744,15.24,1.708696,1.548805,-34.080858,0.311374,0.934281,7.254266,-9.185856,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,0ad4da10-d5b2-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,122.36854,,,12.02337,,,,16.578635,-34.364611,3.627133,1.689489,0.670683,-4.592928,-0.758612,1.51226,0.46714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,7,8.0,2023/4/8,8.0,2580.744979,2580.744984,2580.744986,Normal,2.0,1.0,1,Top,0,0,0,2,矢追,Right,村田,Right,1,酒井捷,,,Slider,InPlay,Bunt,Sacrifice,Undefined,1,0,村田,1.0,,"酒井捷,矢追",,4.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,投犠,0:11:00,,https://youtu.be/MsAJIUXfTvI&t=660,1133,https://youtu.be/1GVh8sSKqQE&t=1133
8,9.0,2023/4/8,10:14.0,2023/4/8,10:14.0,3.0,1.0,"Kenichi, Murata",1000089794,Right,MEJ,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,1,0.0,0.0,Sinker,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,2,125.85387,2.267602,-2.39789,1592.064776,256.703742,2:30,1.597033,0.847839,1.832905,-104.9448,9.4434,26.5522,1.188736,0.435923,116.28854,-5.366851,-0.5199,0.482998,,,,,,,,,,,,-15.0815,4.5152,-0.792186,15.24,1.64443,1.333404,-34.627605,0.988571,-2.393524,5.634046,-9.090056,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,21535dc0-d5b2-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,125.5906,,,9.56532,,,,16.607174,-34.84934,2.817023,1.598484,1.34632,-4.545028,-0.846517,1.427604,-1.196762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,8,9.0,2023/4/8,9.0,2618.691727,2618.691733,2618.691735,Normal,3.0,1.0,1,Top,1,0,0,3,別府,Left,村田,Right,2,,酒井捷,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,11.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:11:38,,https://youtu.be/MsAJIUXfTvI&t=698,1157,https://youtu.be/1GVh8sSKqQE&t=1157
9,10.0,2023/4/8,10:31.2,2023/4/8,10:31.2,3.0,2.0,"Kenichi, Murata",1000089794,Right,MEJ,"Kotaro, Beppu",1000089944,Left,TOK,Undefined,1,Top,1,1.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,2,143.06914,-2.17448,-3.208644,2201.05304,214.975277,1:15,1.668661,0.728691,1.896963,-44.6719,44.1678,28.9081,0.609157,0.114457,130.86781,-5.526156,-1.156976,0.425655,113.99192,18.793438,-165.144391,1830.9128,-32.464761,3.450882,-8.375909,44.823391,20.441198,-165.713071,1.71272,-17.2486,25.2959,-0.657198,15.24,1.616315,2.064511,-39.308493,-1.643011,-3.487705,8.135356,-4.691752,MEJ,TOK,JinguStadium,Undefined,Team,20230408-JinguStadium-1,2b8e6280-d5b2-11ed-b3f3-5bb1966f33f9,e9e092aa-52a9-411b-b2c8-e5e9d979c358,v3,,,,"Taiga, Kojima",1000126501,Right,MEJ,142.50964,4.493457,,12.20134,,,,16.542754,-39.577194,4.067678,1.668022,-1.488048,-2.345876,-0.727289,2.179706,-1.743852,0.225636,0.544161,-0.098141,15.761736,0.225634,-28.974486,1.94263,0.011184,0.13458,-0.237018,0.222501,-0.100143,0.016941,0.544164,10.200653,-7.049578,0.666405,-0.094024,-0.007317,0.015032,-0.003208,-0.000102,-0.098142,-7.685418,0.928435,-0.147673,0.05548,-0.054479,0.048411,-0.022411,0.003919,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,9,10.0,2023/4/8,10.0,2635.794371,2635.794376,2635.794378,Normal,3.0,2.0,1,Top,1,1,0,3,別府,Left,村田,Right,2,,酒井捷,,Fastball,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,,6.0,小島,加藤,堀内,上田,宗山,飯森,直井,瀨,,0:11:55,,https://youtu.be/MsAJIUXfTvI&t=715,1176,https://youtu.be/1GVh8sSKqQE&t=1176
