count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0.0,1.0,2023/4/9,00:56.1,2023/4/9,00:56.1,1.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Taizo, Kuribayashi",1000089823.0,Right,KEI_KEI,Undefined,1.0,Top,0.0,0.0,0.0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Popup,Out,1.0,0.0,,151.87906,-3.064262,-2.229564,2191.934336,199.847569,12:45,1.675592,0.625089,1.919592,-22.5545,55.7802,19.2546,0.588018,0.191177,139.22465,-4.825209,-0.860223,0.399698,111.44769,63.148349,24.439102,5429.794163,23.272854,23.445554,24.135049,42.540601,38.095178,48.950351,5.180638,-11.617,31.9712,-0.576275,15.24,1.605557,1.530977,-41.758289,-2.292773,-2.658446,8.935081,-2.490324,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,5dcaf650-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.76466,32.900366,,12.65441,,,,16.520628,-42.031414,4.467541,1.674478,-2.21665,-1.245162,-0.624315,1.61224,-1.329223,0.74826,0.62754,-0.205052,195.665961,0.749633,12.701656,-4.414096,1.186672,-0.144637,-0.016146,0.008926,-0.001237,5.9e-05,0.626953,27.627662,-6.947782,0.566373,-0.040252,-0.021143,0.008678,-0.001334,7.3e-05,-0.20526,5.789131,0.111257,0.024767,-0.022704,0.007479,-0.001245,9.8e-05,-3e-06,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,1.0,2023/4/9,1.0,1242.781393,1242.781398,1242.7814,Normal,1.0,1.0,1.0,Top,0.0,0.0,0.0,1.0,栗林泰,Right,篠木,Right,,,,,Fastball,InPlay,FlyBall,Out,Undefined,1.0,0.0,内海貴,3.2,,栗林泰,※,8.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,一飛,0:04:45,,https://youtu.be/z-HknxUmdNk&t=285,1042.0,https://youtu.be/iWAq4TFVgYY&t=1042,23S
1.0,2.0,2023/4/9,01:24.8,2023/4/9,01:24.9,2.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shun, Hashimoto",1000091939.0,Left,KEI_KEI,Undefined,1.0,Top,1.0,0.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0.0,0.0,,154.30039,-1.835971,-1.710296,2356.061378,199.586476,12:45,1.681368,0.635936,1.894926,-22.3259,53.9869,18.3384,0.941305,0.338128,140.70327,-3.586921,-0.407416,0.394506,116.89142,21.120213,-174.018427,884.103975,-33.35813,5.487617,-3.369873,50.702833,20.074551,-174.842039,1.982087,-10.7315,30.0403,-0.59797,15.24,1.638047,1.171836,-42.444503,-1.414362,-2.525674,9.636797,-2.736595,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,6ef975f0-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,153.76202,6.061636,,13.59712,,,,16.544756,-42.739714,4.818398,1.680091,-1.33053,-1.368298,-0.635053,1.249207,-1.262837,0.35621,0.865346,-0.323868,19.094346,0.35621,-30.123818,2.738423,-0.371464,0.083724,-0.013811,0.002818,-0.000515,4.1e-05,0.865346,11.699721,-7.116966,0.694971,-0.14107,0.028621,-0.004508,0.0007,-6.6e-05,-0.323868,-3.156346,0.684863,-0.119424,0.023395,-0.004421,0.000789,-0.000127,1.1e-05,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,2.0,2023/4/9,2.0,1271.563786,1271.563794,1271.563796,Normal,2.0,1.0,1.0,Top,1.0,0.0,0.0,2.0,橋本駿,Left,篠木,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0.0,0.0,,,,,155,3.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:05:14,,https://youtu.be/z-HknxUmdNk&t=314,1062.0,https://youtu.be/iWAq4TFVgYY&t=1062,23S
2.0,3.0,2023/4/9,01:37.0,2023/4/9,01:37.0,2.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shun, Hashimoto",1000091939.0,Left,KEI_KEI,Undefined,1.0,Top,1.0,0.0,1.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,152.1611,-2.159446,-2.351509,2228.968556,201.811814,12:45,1.664064,0.660724,1.914972,-28.8334,49.634,18.8392,0.768307,0.188168,138.66019,-4.378867,-1.012082,0.400036,,,,,,,,,,,,-11.4274,28.0498,-0.608877,15.24,1.613698,1.619722,-41.823973,-1.658698,-2.608971,9.437069,-3.402634,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,762ce000-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.63622,,,13.50091,,,,16.524318,-42.112766,4.718534,1.662864,-1.55457,-1.701317,-0.659665,1.699562,-1.304486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,3.0,2023/4/9,3.0,1285.662631,1285.662637,1285.662639,Normal,2.0,2.0,1.0,Top,1.0,0.0,1.0,2.0,橋本駿,Left,篠木,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,154,3.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:05:26,,https://youtu.be/z-HknxUmdNk&t=326,1072.0,https://youtu.be/iWAq4TFVgYY&t=1072,23S
3.0,4.0,2023/4/9,01:50.1,2023/4/9,01:50.1,2.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shun, Hashimoto",1000091939.0,Left,KEI_KEI,Undefined,1.0,Top,1.0,0.0,2.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Popup,Undefined,0.0,0.0,,153.03415,-1.874954,-2.044246,2291.968217,194.665944,12:30,1.658164,0.663997,1.888995,-21.4606,56.6455,14.1325,0.915477,0.229888,138.77758,-3.577707,-1.040974,0.399114,117.14348,74.194911,-155.407163,,-31.926478,26.691099,-10.238467,44.953266,42.009513,-162.860513,4.934922,-8.8782,31.557,-0.617962,15.24,1.613815,1.427964,-42.062637,-1.423481,-2.039866,9.984175,-2.556107,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,7e02cba0-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.98663,33.389312,,14.25658,,,,16.550495,-42.37256,4.992087,1.656771,-1.344136,-1.278054,-0.663271,1.491284,-1.019933,0.308406,0.892352,-0.222738,5.223701,0.306829,-8.026563,-2.20896,1.287496,-0.470384,0.125718,-0.020673,0.001779,-6.2e-05,0.892804,31.295371,-9.492181,1.168299,-0.074076,-0.056783,0.021482,-0.003141,0.000168,-0.223303,-3.676039,0.160203,0.13516,-0.101048,0.03896,-0.008193,0.000879,-3.8e-05,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,4.0,2023/4/9,4.0,1296.69565,1296.695657,1296.695659,Normal,2.0,3.0,1.0,Top,1.0,0.0,2.0,2.0,橋本駿,Left,篠木,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0.0,0.0,,,,,154,3.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:05:39,,https://youtu.be/z-HknxUmdNk&t=339,1085.0,https://youtu.be/iWAq4TFVgYY&t=1085,23S
4.0,5.0,2023/4/9,02:04.5,2023/4/9,02:04.5,2.0,4.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shun, Hashimoto",1000091939.0,Left,KEI_KEI,Undefined,1.0,Top,1.0,0.0,2.0,Splitter,Changeup,InPlay,Undefined,LineDrive,GroundBall,Single,0.0,0.0,,139.16652,-0.727247,-2.066749,1323.841654,200.60766,12:45,1.648816,0.701812,1.883629,-75.8081,16.614,5.3285,0.685897,0.17313,129.50328,-6.253665,-1.688233,0.434153,123.01805,11.432989,6.759698,1121.520918,33.276314,3.588448,4.100029,53.114691,53.114691,7.413171,1.935518,-3.9961,9.8095,-0.654554,15.24,1.627389,1.359528,-38.349535,-0.777513,-0.780887,6.62356,-7.889757,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,868fd240-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,139.72041,3.76763,,9.66325,,,,16.556717,-38.576282,3.31178,1.649382,-0.507419,-3.944878,-0.701553,1.38626,-0.390444,0.125773,0.657524,-0.16539,189.553015,0.125774,33.2605,-4.553563,0.964871,-0.133022,-0.015709,0.018123,-0.005414,0.000624,0.65752,6.774337,-3.677087,0.013811,-0.090767,0.107111,-0.056059,0.015296,-0.001722,-0.165391,3.942528,-0.177845,0.010823,-0.016154,0.019195,-0.010391,0.002854,-0.000322,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,5.0,2023/4/9,5.0,1311.14713,1311.147137,1311.14714,Normal,2.0,4.0,1.0,Top,1.0,0.0,2.0,2.0,橋本駿,Left,篠木,Right,,,,,Cutter,InPlay,LineDrive,Single,Undefined,0.0,0.0,中津,8.0,,橋本駿,139,5.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,中安,0:05:53,,https://youtu.be/z-HknxUmdNk&t=353,1094.0,https://youtu.be/iWAq4TFVgYY&t=1094,23S
5.0,6.0,2023/4/9,02:34.7,2023/4/9,02:34.7,3.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Sotaro, Homma",1000126437.0,Right,KEI_KEI,Undefined,1.0,Top,1.0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,1,149.24578,-2.264489,-4.128437,2277.225577,204.33421,12:45,1.65576,0.659049,1.956102,-34.4787,45.9306,19.7212,0.674484,-0.302528,137.70964,-4.868625,-2.726876,0.404956,,,,,,,,,,,,-12.8602,26.1285,-0.570104,15.24,1.604348,2.863827,-41.008263,-1.732307,-2.86044,7.960965,-3.994988,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,98a2be70-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,149.79406,,,11.53614,,,,16.4838,-41.249016,3.980482,1.654909,-1.611492,-1.997494,-0.658019,2.950332,-1.43022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,6.0,2023/4/9,6.0,1341.665457,1341.665464,1341.665466,Normal,3.0,1.0,1.0,Top,1.0,0.0,0.0,3.0,本間,Right,篠木,Right,1,橋本駿,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,150,4.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:06:24,,https://youtu.be/z-HknxUmdNk&t=384,1109.0,https://youtu.be/iWAq4TFVgYY&t=1109,23S
6.0,7.0,2023/4/9,02:47.5,2023/4/9,02:47.5,3.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Sotaro, Homma",1000126437.0,Right,KEI_KEI,Undefined,1.0,Top,1.0,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,1,147.19847,-1.681298,-4.073338,2281.99152,198.977002,12:45,1.646091,0.6266,1.935335,-33.0474,49.9189,16.3303,0.84258,-0.354848,135.52107,-4.191208,-2.914449,0.411344,,,,,,,,,,,,-11.0632,27.7901,-0.537228,15.24,1.6068,2.800254,-40.448088,-1.28661,-2.38987,7.885724,-3.803447,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,a0300850-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,147.46767,,,11.6774,,,,16.504312,-40.693831,3.942862,1.645047,-1.168083,-1.901724,-0.625653,2.87473,-1.194935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,7.0,2023/4/9,7.0,1354.100388,1354.100395,1354.100397,Normal,3.0,2.0,1.0,Top,1.0,0.0,1.0,3.0,本間,Right,篠木,Right,1,橋本駿,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,147,11.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:06:36,,https://youtu.be/z-HknxUmdNk&t=396,1122.0,https://youtu.be/iWAq4TFVgYY&t=1122,23S
7.0,,2023/4/9,0:03:01,2023/4/9,0:03:01,,,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Sotaro, Homma",1000126437.0,Right,KEI_KEI,,1.0,Top,1.0,,,,,,,,,,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,,2023/4/9,,1367.749016,1367.749025,1367.749029,Normal,,,1.0,Top,1.0,1.0,1.0,3.0,本間,Right,篠木,Right,1,橋本駿,,,,,,,,0.0,0.0,"篠木,内海貴",,PickOff,橋本駿,,,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:06:50,,https://youtu.be/z-HknxUmdNk&t=410,1134.0,https://youtu.be/iWAq4TFVgYY&t=1134,23S
8.0,8.0,2023/4/9,03:12.9,2023/4/9,03:12.9,3.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Sotaro, Homma",1000126437.0,Right,KEI_KEI,Undefined,1.0,Top,1.0,1.0,1.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,1,147.48042,-2.25833,-2.576015,2051.750226,204.915806,12:45,1.649994,0.6343,1.944691,-30.7012,52.9805,23.2731,0.708782,0.144235,133.73793,-4.63546,-0.918652,0.413114,,,,,,,,,,,,-14.0168,30.1131,-0.578892,15.24,1.598516,1.706378,-40.513415,-1.677953,-2.986097,9.303758,-3.391442,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,af6290e0-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,146.83598,,,13.74249,,,,16.494382,-40.800462,4.651879,1.648671,-1.573318,-1.695721,-0.632959,1.798508,-1.493049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,8.0,2023/4/9,8.0,1379.686145,1379.686152,1379.686154,Normal,3.0,3.0,1.0,Top,1.0,1.0,1.0,3.0,本間,Right,篠木,Right,1,橋本駿,,,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0.0,0.0,,,,,148,2.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:07:02,,https://youtu.be/z-HknxUmdNk&t=422,1147.0,https://youtu.be/iWAq4TFVgYY&t=1147,23S
9.0,9.0,2023/4/9,03:29.4,2023/4/9,03:29.5,3.0,4.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Sotaro, Homma",1000126437.0,Right,KEI_KEI,Undefined,1.0,Top,1.0,1.0,2.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,1,148.88136,-0.010015,-3.216973,2179.857317,198.811851,12:45,1.676875,0.636961,1.854331,-23.3446,60.0271,19.4553,1.440601,-0.076547,134.14101,-1.869078,-1.840902,0.412348,,,,,,,,,,,,-12.431,31.5698,-0.56233,15.24,1.675003,2.192092,-40.862098,-0.049521,-2.68444,9.755979,-2.989217,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20230409-JinguStadium-1,b939a3b0-d67a-11ed-b344-5d34700d429a,ad74249c-f716-49fc-8a9d-021dcb7d20e6,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,147.10878,,,14.74034,,,,16.584111,-41.181759,4.877989,1.675021,0.048423,-1.494608,-0.635597,2.280049,-1.34222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,9.0,2023/4/9,9.0,1398.608221,1398.608228,1398.60823,Normal,3.0,4.0,1.0,Top,1.0,1.0,2.0,3.0,本間,Right,篠木,Right,1,橋本駿,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,149,12.0,吉安,内海貴,高原,武川,今泉,鈴木照,中津,浦,,0:07:18,,https://youtu.be/z-HknxUmdNk&t=438,1164.0,https://youtu.be/iWAq4TFVgYY&t=1164,23S
