count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0.0,1.0,2023/4/17,25:24.3,2023/4/17,25:24.3,1.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Daichi, Saito",1000101292.0,Right,RIK,Undefined,1.0,Top,0.0,0.0,0.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,153.20815,-1.867666,-1.96725,2361.577154,200.578036,12:45,1.716339,0.621293,1.934963,-14.0882,64.8231,23.1626,1.050954,0.300755,136.35481,-3.089018,-0.318031,0.401166,,,,,,,,,,,,-13.6203,35.9626,-0.578865,15.24,1.673911,1.317424,-42.032598,-1.359345,-3.067161,11.567598,-1.708239,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,416f9490-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.20918,,,16.85334,,,,16.502906,-42.378731,5.783799,1.713821,-1.30823,-0.85412,-0.619658,1.409201,-1.533581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,1.0,2023/4/17,1.0,,,,Normal,1.0,1.0,1.0,Top,0.0,0.0,0.0,1.0,齋藤大,Right,篠木,Right,,,,,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:04:39,,https://youtu.be/qFuaXwqx3As&t=279,995.0,https://youtu.be/JdN_pREppKQ&t=995,23S
1.0,2.0,2023/4/17,25:32.7,2023/4/17,25:32.7,1.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Daichi, Saito",1000101292.0,Right,RIK,Undefined,1.0,Top,0.0,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,152.38879,-5.171675,-2.851834,2344.563219,206.458389,1:00,1.674701,0.550141,1.92035,-18.0667,61.7041,29.198,0.035947,0.040599,137.12997,-6.647426,-0.77704,0.403345,,,,,,,,,,,,-17.5947,37.2969,-0.487941,15.24,1.557485,1.928122,-41.691944,-3.802008,-3.934088,10.613213,-1.467226,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,467b1590-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,150.39238,,,15.25882,,,,16.519132,-42.016301,5.306607,1.672996,-3.757167,-0.733613,-0.548705,2.048355,-1.967044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,2.0,2023/4/17,2.0,,,,Normal,1.0,2.0,1.0,Top,0.0,0.0,1.0,1.0,齋藤大,Right,篠木,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:04:47,,https://youtu.be/qFuaXwqx3As&t=287,1004.0,https://youtu.be/JdN_pREppKQ&t=1004,23S
2.0,3.0,2023/4/17,25:42.1,2023/4/17,25:42.1,1.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Daichi, Saito",1000101292.0,Right,RIK,Undefined,1.0,Top,0.0,1.0,1.0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1.0,0.0,,152.46493,-1.833837,-3.240596,2367.895323,209.954273,1:00,1.66938,0.617106,1.9636,-23.9941,54.9047,29.9446,0.914842,0.007997,136.78501,-3.748012,-1.107542,0.401134,133.12656,30.219289,-5.60055,2875.052602,33.432851,17.225112,-2.524135,87.789376,86.567119,-0.225305,4.570641,-18.3075,31.009,-0.548452,15.24,1.62825,2.215449,-41.841589,-1.389362,-4.1165,10.82153,-2.834185,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,4c0849b0-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.22116,20.339626,,15.67992,,,,16.475396,-42.15989,5.410765,1.66789,-1.305998,-1.417092,-0.615397,2.336531,-2.05825,0.286196,0.902257,-0.001899,186.07281,0.286947,31.784862,-5.955076,1.296654,-0.189129,0.00856,0.001541,-8.5e-05,-1.2e-05,0.901947,18.617623,-4.768059,0.143704,0.026721,-0.028981,0.011775,-0.002075,0.000132,-0.001937,-3.117927,0.977852,-0.046455,-0.023441,0.009665,-0.0019,0.000168,-4e-06,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,3.0,2023/4/17,3.0,,,,Normal,1.0,3.0,1.0,Top,0.0,1.0,1.0,1.0,齋藤大,Right,篠木,Right,,,,,Fastball,InPlay,FlyBall,Out,Undefined,1.0,0.0,中津,8.0,,齋藤大,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,中飛,0:04:57,,https://youtu.be/qFuaXwqx3As&t=297,1013.0,https://youtu.be/JdN_pREppKQ&t=1013,23S
3.0,4.0,2023/4/17,26:06.8,2023/4/17,26:06.8,2.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shinnosuke, Sugaya",1000101300.0,Left,RIK,Undefined,1.0,Top,1.0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,152.45724,-2.246146,-2.554977,2361.183675,204.237858,12:45,1.696501,0.609398,1.940402,-18.565,60.4064,25.8832,0.879918,0.151153,136.99996,-3.767965,-0.712481,0.401319,,,,,,,,,,,,-15.4335,33.9568,-0.554358,15.24,1.645708,1.730308,-41.846721,-1.66073,-3.478876,10.63494,-2.152427,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,5abe2830-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.15167,,,15.45728,,,,16.498206,-42.16527,5.31747,1.694486,-1.596259,-1.076213,-0.607747,1.834511,-1.739438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,4.0,2023/4/17,4.0,,,,Normal,2.0,1.0,1.0,Top,1.0,0.0,0.0,2.0,菅谷,Left,篠木,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:05:22,,https://youtu.be/qFuaXwqx3As&t=322,1029.0,https://youtu.be/JdN_pREppKQ&t=1029,23S
4.0,5.0,2023/4/17,26:14.8,2023/4/17,26:14.8,2.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shinnosuke, Sugaya",1000101300.0,Left,RIK,Undefined,1.0,Top,1.0,0.0,1.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0.0,0.0,,153.74791,-3.236431,-2.060409,2354.82851,199.984173,12:45,1.653576,0.600391,1.913009,-16.6635,61.1283,21.2002,0.576106,0.233269,138.58809,-4.609247,-0.553246,0.39831,,,,,,,,,,,,-12.4371,34.7992,-0.555037,15.24,1.579346,1.400453,-42.176588,-2.393791,-2.857923,10.497498,-1.810156,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,5f83eda0-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,152.29334,,,15.15982,,,,16.525192,-42.495261,5.248749,1.651181,-2.33884,-0.905078,-0.598867,1.487211,-1.428962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,5.0,2023/4/17,5.0,,,,Normal,2.0,2.0,1.0,Top,1.0,0.0,1.0,2.0,菅谷,Left,篠木,Right,,,,,Fastball,FoulBall,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:05:30,,https://youtu.be/qFuaXwqx3As&t=330,1037.0,https://youtu.be/JdN_pREppKQ&t=1037,23S
5.0,6.0,2023/4/17,26:26.6,2023/4/17,26:26.6,2.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shinnosuke, Sugaya",1000101300.0,Left,RIK,Undefined,1.0,Top,1.0,0.0,2.0,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0.0,0.0,,151.67018,-0.823206,-2.763499,2333.582841,203.217374,12:45,1.649256,0.610242,1.92133,-23.8495,54.785,22.4421,1.179316,0.058054,138.40749,-2.690712,-1.168245,0.400462,,,,,,,,,,,,-13.5183,29.7087,-0.549594,15.24,1.629292,1.897579,-41.714637,-0.653529,-3.079932,9.116687,-3.038007,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,669c55a0-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.4751,,,13.26269,,,,16.518061,-41.993027,4.558343,1.647832,-0.56076,-1.519004,-0.608975,1.991629,-1.539966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.79155,2.470883,1.421005,1.049878,-0.486791,1.135032,-0.040051,-0.390242,1.719737,-1.164918,20.777432,1.863567,-17.254633,-0.370576,21.425185,-1.212251,1.734534,4.157597,-3.835563,-1.216885,-17.635581,2.225092,青木 秀憲,6.0,2023/4/17,6.0,,,,Normal,2.0,3.0,1.0,Top,1.0,0.0,2.0,2.0,菅谷,Left,篠木,Right,,,,,Fastball,StrikeSwinging,Undefined,Undefined,Strikeout,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,空三振,0:05:41,,https://youtu.be/qFuaXwqx3As&t=341,1047.0,https://youtu.be/JdN_pREppKQ&t=1047,23S
6.0,7.0,2023/4/17,26:44.9,2023/4/17,26:44.9,3.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shintaro, Nishikawa",1000089917.0,Right,RIK,Undefined,1.0,Top,2.0,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,152.08751,-2.850496,-4.643635,2338.888875,199.545602,12:45,1.701778,0.54617,1.938613,-22.117,56.5235,19.1536,0.677738,-0.567712,138.6669,-4.593196,-3.286084,0.400477,,,,,,,,,,,,-13.2017,32.138,-0.444508,15.24,1.637235,3.28792,-41.691616,-2.126293,-3.000369,9.224276,-2.502599,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,71868620-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.46938,,,13.42061,,,,16.500727,-41.969625,4.612138,1.700183,-2.050868,-1.2513,-0.544965,3.378347,-1.500184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,7.0,2023/4/17,7.0,,,,Normal,3.0,1.0,1.0,Top,2.0,0.0,0.0,3.0,西川晋,Right,篠木,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:06:00,,https://youtu.be/qFuaXwqx3As&t=360,1057.0,https://youtu.be/JdN_pREppKQ&t=1057,23S
7.0,8.0,2023/4/17,26:52.8,2023/4/17,26:52.8,3.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shintaro, Nishikawa",1000089917.0,Right,RIK,Undefined,1.0,Top,2.0,1.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,150.87511,-1.33662,-3.057957,2175.490375,198.139047,12:30,1.693435,0.579134,1.95432,-26.4608,52.6361,16.4386,1.053663,-0.114225,137.95824,-3.389394,-1.887733,0.401638,,,,,,,,,,,,-10.6253,29.0595,-0.513272,15.24,1.662643,2.133242,-41.488294,-1.033829,-2.398053,8.895164,-3.248127,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,7633ba80-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,151.0316,,,12.91688,,,,16.485047,-41.754381,4.447582,1.692115,-0.936665,-1.624064,-0.578158,2.204977,-1.199026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,8.0,2023/4/17,8.0,,,,Normal,3.0,2.0,1.0,Top,2.0,1.0,0.0,3.0,西川晋,Right,篠木,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:06:08,,https://youtu.be/qFuaXwqx3As&t=368,1065.0,https://youtu.be/JdN_pREppKQ&t=1065,23S
8.0,9.0,2023/4/17,27:03.5,2023/4/17,27:03.5,3.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shintaro, Nishikawa",1000089917.0,Right,RIK,Undefined,1.0,Top,2.0,2.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,151.32297,-2.263608,-4.193279,2280.786008,202.959641,12:45,1.602712,0.642097,1.905355,-24.2707,55.3626,22.3528,0.7217,-0.31515,137.88902,-4.160634,-2.61022,0.402997,,,,,,,,,,,,-14.5307,31.0501,-0.548255,15.24,1.549764,2.92876,-41.519797,-1.701992,-3.273685,9.189262,-2.81124,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,7c957cb0-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,150.52216,,,13.43395,,,,16.534089,-41.805227,4.594631,1.601274,-1.614671,-1.40562,-0.640805,3.030444,-1.636843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,9.0,2023/4/17,9.0,,,,Normal,3.0,3.0,1.0,Top,2.0,2.0,0.0,3.0,西川晋,Right,篠木,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:06:18,,https://youtu.be/qFuaXwqx3As&t=378,1075.0,https://youtu.be/JdN_pREppKQ&t=1075,23S
9.0,10.0,2023/4/17,27:12.5,2023/4/17,27:12.5,3.0,4.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Shintaro, Nishikawa",1000089917.0,Right,RIK,Undefined,1.0,Top,2.0,2.0,1.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0.0,0.0,,149.8666,-2.212319,-3.37638,2247.760406,201.956818,12:45,1.625571,0.614993,1.901815,-25.4488,55.6174,21.3602,0.747706,-0.121762,136.63359,-4.19487,-1.861402,0.406607,,,,,,,,,,,,-13.4063,31.1194,-0.539449,15.24,1.573605,2.318213,-41.157498,-1.653063,-2.968403,9.014663,-2.916225,HOS_HOS,RIK,JinguStadium,TeamExclusive,AL,20230417-JinguStadium-2,81f649a0-dce0-11ed-a84b-41cda935956e,4164ea21-1aaa-49d7-9ca6-552e199e89a7,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,149.18598,,,13.23301,,,,16.537506,-41.440714,4.507331,1.624101,-1.561443,-1.458112,-0.613746,2.411472,-1.484201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青木 秀憲,10.0,2023/4/17,10.0,,,,Normal,3.0,4.0,1.0,Top,2.0,2.0,1.0,3.0,西川晋,Right,篠木,Right,,,,,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0.0,0.0,,,,,,,吉安,内海,高原,武川,今泉,内海壮,中津,鈴木,,0:06:27,,https://youtu.be/qFuaXwqx3As&t=387,1084.0,https://youtu.be/JdN_pREppKQ&t=1084,23S
