count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0,1.0,2023/4/22,21:27.4,2023/4/22,21:27.4,1.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Daichi, Saito",1000101292,Right,RIK,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,138.2556,-1.469112,-3.016418,2090.673892,218.930749,1:15,1.560732,0.289175,1.873513,-47.8504,48.8646,36.6194,0.667802,-0.194961,124.60364,-5.095078,-0.42032,0.444121,,,,,,,,,,,,-21.1517,27.365,-0.221232,15.24,1.523614,1.818647,-37.938371,-1.122477,-3.925571,8.620624,-4.727943,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,c4e57940-e0bc-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,136.5843,,,13.65196,,,,16.565034,-38.238269,4.310312,1.559802,-0.957999,-2.363971,-0.286875,1.955212,-1.962785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,1.0,2023/4/22,1.0,4.10921979,4.109229088,4.109231949,Normal,1.0,1.0,1,Top,0,0,0,1,齋藤大,Right,加藤,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:06:37,,https://youtu.be/SfIEzSiqYW4&t=397,1119,https://youtu.be/YnhGVvx4Nl4&t=1119,23S
1,2.0,2023/4/22,21:38.5,2023/4/22,21:38.5,1.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Daichi, Saito",1000101292,Right,RIK,Undefined,1,Top,0,0.0,1.0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,130.35181,-0.497184,-2.513792,2029.362942,197.103928,12:30,1.579102,0.294244,1.885766,-81.5633,25.8456,6.8753,0.62341,-0.344905,119.10288,-6.501878,-2.025704,0.468031,,,,,,,,,,,,-5.3973,14.8292,-0.23685,15.24,1.562754,1.542489,-35.835089,-0.596875,-0.902871,7.05024,-7.32598,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,cb835a10-e0bc-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,129.60671,,,11.24892,,,,16.553414,-36.092567,3.52512,1.579667,-0.329327,-3.66299,-0.293784,1.575462,-0.451436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,2.0,2023/4/22,2.0,4.10921979,4.109229088,4.109231949,Normal,1.0,2.0,1,Top,0,0,1,1,齋藤大,Right,加藤,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:06:48,,https://youtu.be/SfIEzSiqYW4&t=408,1130,https://youtu.be/YnhGVvx4Nl4&t=1130,23S
2,3.0,2023/4/22,21:50.5,2023/4/22,21:50.5,1.0,3.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Daichi, Saito",1000101292,Right,RIK,Undefined,1,Top,0,0.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,139.64799,-2.416968,-3.79353,2137.196632,206.710217,1:00,1.57416,0.251485,1.885184,-38.9206,55.9302,26.3906,0.502832,-0.55381,125.92122,-5.402548,-1.924528,0.43982,132.53107,-1.198911,13.829714,1286.514965,,,,8.782319,8.782319,17.639229,0.236392,-16.721,31.8945,-0.165718,15.24,1.516073,2.41142,-38.279706,-1.728704,-3.1594,8.775913,-3.780237,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,d2a0cb20-e0bc-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,137.92,0.451545,,13.72677,,,,16.55388,-38.579747,4.387957,1.572967,-1.599461,-1.890118,-0.250009,2.519437,-1.5797,0.175275,0.451545,0.557966,274.085851,0.175673,35.716807,-4.470889,,,,,,,0.45177,-0.782891,-4.776575,,,,,,,0.557855,8.804289,0.397725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,3.0,2023/4/22,3.0,4.10921979,4.109229088,4.109231949,Normal,1.0,3.0,1,Top,0,0,2,1,齋藤大,Right,加藤,Right,,,,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,"野村,山縣",4.0,,齋藤大,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,二ゴロ,0:07:00,,https://youtu.be/SfIEzSiqYW4&t=420,1142,https://youtu.be/YnhGVvx4Nl4&t=1142,23S
3,4.0,2023/4/22,22:21.5,2023/4/22,22:21.5,2.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Shinnosuke, Sugaya",1000101300,Left,RIK,Undefined,1,Top,1,0.0,0.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,140.2983,-0.679502,-1.668383,2098.764968,214.377709,1:15,1.551931,0.318267,1.807875,-43.8617,50.772,32.3712,0.921069,0.170051,126.18358,-4.013406,0.619807,0.439317,60.37379,-36.385843,50.038519,,,,,1.938241,1.405434,27.00286,0.096576,-18.1197,27.6564,-0.27993,15.24,1.532514,0.964236,-38.539386,-0.599926,-3.459636,9.116666,-4.526148,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,e51f4a60-e0bc-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.07808,0.976543,,14.11472,,,,16.631566,-38.867174,4.558333,1.551158,-0.43719,-2.263074,-0.316835,1.088626,-1.729818,0.875775,0.976543,-0.135738,180.0,0.873565,8.813475,,,,,,,,0.979079,-10.111742,,,,,,,,-0.138375,10.517842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,4.0,2023/4/22,4.0,19.05513906,19.05514693,19.05514812,Normal,2.0,1.0,1,Top,1,0,0,2,菅谷,Left,加藤,Right,,,,,Undefined,InPlay,Bunt,Out,Undefined,1,0,"加藤,野村",1.0,,菅谷,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,投ゴロ,0:07:31,,https://youtu.be/SfIEzSiqYW4&t=451,1161,https://youtu.be/YnhGVvx4Nl4&t=1161,23S
4,5.0,2023/4/22,22:53.3,2023/4/22,22:53.3,3.0,1.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,0.0,0.0,Cutter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,130.38225,-0.513168,-3.538315,2045.370749,217.437304,1:15,1.567275,0.359423,1.802782,-83.9372,25.2416,16.4583,0.582459,-0.478168,118.53466,-6.667134,-2.377547,0.471872,,,,,,,,,,,,-11.0835,14.4815,-0.273981,15.24,1.549063,2.134656,-35.775199,-0.630192,-1.840094,7.292309,-7.402422,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,f82262f0-e0bc-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,128.55189,,,11.84758,,,,16.636023,-36.058637,3.646155,1.567966,-0.342474,-3.701211,-0.358341,2.206177,-0.920047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,5.0,2023/4/22,5.0,40.67895198,40.67895889,40.67895985,Normal,3.0,1.0,1,Top,2,0,0,3,西川晋,Right,加藤,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:08:03,,https://youtu.be/SfIEzSiqYW4&t=483,1183,https://youtu.be/YnhGVvx4Nl4&t=1183,23S
5,6.0,2023/4/22,23:05.8,2023/4/22,23:05.8,3.0,2.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,1.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.97903,0.412572,-2.813729,2056.921324,148.667719,11:00,1.56842,0.350844,1.760459,-94.7614,19.758,-9.5416,0.73796,-0.543225,115.7327,-6.515932,-3.48515,0.483275,,,,,,,,,,,,2.5176,11.0118,-0.279318,15.24,1.572099,1.770684,-35.106922,-0.103105,0.399776,7.430287,-8.058043,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,ff858f90-e0bc-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,125.51863,,,12.24633,,,,16.677966,-35.409956,3.715144,1.569602,0.225531,-4.029022,-0.3512,1.75438,0.199888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,6.0,2023/4/22,6.0,52.94107199,52.94108105,52.94108295,Normal,3.0,2.0,1,Top,2,1,0,3,西川晋,Right,加藤,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:08:15,,https://youtu.be/SfIEzSiqYW4&t=495,1196,https://youtu.be/YnhGVvx4Nl4&t=1196,23S
6,7.0,2023/4/22,23:19.2,2023/4/22,23:19.2,3.0,3.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,2.0,0.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.7988,1.138045,-2.151326,2011.423165,164.599649,11:30,1.57063,0.363601,1.802014,-90.576,23.6438,-5.3859,0.987079,-0.299129,115.27385,-5.529597,-2.531509,0.482642,,,,,,,,,,,,0.9606,12.4605,-0.310661,15.24,1.592424,1.342855,-35.070533,0.368042,0.152185,7.426579,-7.832478,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,07935410-e0bd-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,125.68315,,,12.52495,,,,16.636089,-35.364935,3.71329,1.57168,0.678534,-3.916239,-0.363774,1.336822,0.076093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,7.0,2023/4/22,7.0,66.38984299,66.3898499,66.38985205,Normal,3.0,3.0,1,Top,2,2,0,3,西川晋,Right,加藤,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:08:29,,https://youtu.be/SfIEzSiqYW4&t=509,1209,https://youtu.be/YnhGVvx4Nl4&t=1209,23S
7,8.0,2023/4/22,23:33.4,2023/4/22,23:33.4,3.0,4.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,3.0,0.0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,137.19124,-0.882387,-3.147136,2118.208106,233.648764,1:45,1.534104,0.324116,1.896086,-63.3489,33.7071,41.3802,0.652052,-0.148094,124.82613,-5.591717,-0.208687,0.444904,,,,,,,,,,,,-23.699,19.0952,-0.254635,15.24,1.51017,1.877615,-37.69725,-0.802431,-4.38054,7.907374,-6.27708,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,0ffbbbb0-e0bd-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,136.34416,,,12.36511,,,,16.543344,-37.969656,3.953687,1.534089,-0.586189,-3.13854,-0.321918,2.028523,-2.19027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,8.0,2023/4/22,8.0,80.55431104,80.5543189,80.55432081,Normal,3.0,4.0,1,Top,2,3,0,3,西川晋,Right,加藤,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,,0:08:43,,https://youtu.be/SfIEzSiqYW4&t=523,1223,https://youtu.be/YnhGVvx4Nl4&t=1223,23S
8,9.0,2023/4/22,23:46.6,2023/4/22,23:46.6,3.0,5.0,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Shintaro, Nishikawa",1000089917,Right,RIK,Undefined,1,Top,2,3.0,1.0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,138.469,-0.936454,-2.502916,2106.103483,215.408977,1:15,1.531551,0.325784,1.923912,-46.2022,48.8346,32.4152,0.806334,-0.053232,125.61113,-4.440815,-0.196706,0.440251,126.31055,30.387927,-10.776238,2447.083707,33.053367,16.879719,-5.621412,85.274797,83.896681,-8.625408,4.453392,-18.7633,27.0637,-0.271683,15.24,1.507944,1.513061,-38.065371,-0.763132,-3.527812,8.23321,-4.718228,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,17e24920-e0bd-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,137.78496,19.420259,,12.85788,,,,16.515474,-38.340253,4.116605,1.530793,-0.605605,-2.359114,-0.324165,1.630844,-1.763906,0.351485,0.783324,0.056996,186.797228,0.351782,29.726497,-5.270982,1.182161,-0.204038,0.030282,-0.005224,0.000826,-5.9e-05,0.783288,17.74634,-4.371691,0.015481,0.080588,-0.051491,0.017055,-0.002728,0.000166,0.056904,-5.657224,1.438405,-0.352658,0.065006,-0.009799,0.001476,-0.000203,1.4e-05,,,,,,,,,,,,,,,,,,,,,,,前田 則政,9.0,2023/4/22,9.0,95.56897211,95.56898403,95.56898689,Normal,3.0,5.0,1,Top,2,3,1,3,西川晋,Right,加藤,Right,,,,,Undefined,InPlay,FlyBall,Out,Undefined,1,0,尾瀬,8.0,,西川晋,,,印出,野村,山縣,小澤,熊田,中村将,尾瀬,吉納,中飛,0:08:56,,https://youtu.be/SfIEzSiqYW4&t=536,1237,https://youtu.be/YnhGVvx4Nl4&t=1237,23S
9,10.0,2023/4/22,25:57.8,2023/4/22,25:57.8,1.0,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Bottom,0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.85672,-3.276058,-1.556778,2216.452939,202.089773,12:45,1.769912,0.528379,1.946732,-33.7133,52.0338,19.8928,0.512953,0.290738,132.21833,-5.866344,-0.138315,0.418181,,,,,,,,,,,,-11.5069,30.4929,-0.495242,15.24,1.696032,0.989901,-40.049084,-2.383752,-2.390561,9.254522,-3.471745,WAS_EDA,RIK,JinguStadium,Spring,Team,20230422-JinguStadium-2,6609ea40-e0bd-11ed-9ca0-19061fed8695,f39d7fa8-7186-4b3b-8bd2-7db2ce4f15f0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,145.05675,,,13.63838,,,,16.492159,-40.337395,4.627261,1.768609,-2.275595,-1.735873,-0.527241,1.064376,-1.19528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,10.0,2023/4/22,1.0,229.1470332,229.1470549,229.147058,Normal,1.0,1.0,1,Bottom,0,0,0,1,尾瀬,Left,池田,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,鬼頭,渡辺大,安藤,鈴木唯,,0:11:07,,https://youtu.be/SfIEzSiqYW4&t=667,1348,https://youtu.be/YnhGVvx4Nl4&t=1348,23S
