count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL
0,1.0,2023/4/24,0:23:59,2023/4/24,0:23:59,1.0,1.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Kouta, Yokochi",1000242241,Left,KEI_KEI,Undefined,1,Top,0,0,0,Slider,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,1.0,2023/4/24,1.0,1439.469371,1439.469377,1439.469377,Normal,1.0,1.0,1,Top,0,0,0,1,横地,Left,石原,Left,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,※,16.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:04:12,,https://youtu.be/lLUXM6kLom8&t=252,1013,https://youtu.be/R0mDf2oaip4&t=1013
1,2.0,2023/4/24,0:24:13,2023/4/24,0:24:13,1.0,2.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Kouta, Yokochi",1000242241,Left,KEI_KEI,Undefined,1,Top,0,1,0,Fastball,,InPlay,Undefined,GroundBall,,Out,1,0,,143.87487,-2.219894,3.549733,2263.849097,141.300061,10:45,1.63187,-0.538861,1.82851,-36.8403,53.0751,-39.8765,0.634992,0.066195,129.61305,-5.042055,0.733058,0.428225,159.78505,-4.24783,-2.322985,,,,,6.52667,6.52667,-2.883277,0.144308,23.315,29.9868,0.456244,15.24,1.576117,-2.243774,-39.446504,-1.642942,4.678688,9.307152,-3.789111,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,7b05dcc0-e256-11ed-9d3e-0dc8dd70a69d,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,141.65457,0.602271,,14.26182,,,,16.610669,-39.76859,4.653576,1.630704,-1.511815,-1.894556,0.536694,-2.405686,2.339344,0.2813,0.602271,-0.054569,28.532529,0.281461,44.211646,-6.88157,,,,,,,0.602398,-3.299207,-6.071357,,,,,,,-0.054536,-1.797121,-0.694277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,2.0,2023/4/24,2.0,1453.985426,1453.985506,1453.98551,Normal,1.0,2.0,1,Top,0,1,0,1,横地,Left,石原,Left,,,,,Fastball,InPlay,GroundBall,Out,Undefined,1,0,"堀内,宮田",4.0,,横地,※,,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,二ゴロ,0:04:25,,https://youtu.be/lLUXM6kLom8&t=265,1026,https://youtu.be/R0mDf2oaip4&t=1026
2,3.0,2023/4/24,0:24:34,2023/4/24,0:24:34,2.0,1.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,1,0,0,Slider,,BallCalled,Undefined,Undefined,,Undefined,0,0,,126.47996,0.319746,3.763549,2093.657944,273.554403,3:00,1.658844,-0.605221,1.811664,-113.8136,4.1537,6.7526,0.611302,0.527867,113.514,-7.987207,4.239791,0.490496,,,,,,,,,,,,-0.0094,3.4386,0.513339,15.24,1.659287,-2.310166,-34.636538,-0.235067,-0.001442,7.893996,-9.2812,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,6e655ba0-e254-11ed-910d-99ffcbe63792,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,123.67072,,,12.96596,,,,16.626256,-34.951051,3.946998,1.661286,0.134715,-4.6406,0.605379,-2.310109,-0.000721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,3.0,2023/4/24,3.0,1474.149225,1474.14923,1474.149232,Normal,2.0,1.0,1,Top,1,0,0,2,吉川,Left,石原,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,147,13.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:04:54,,https://youtu.be/lLUXM6kLom8&t=294,1039,https://youtu.be/R0mDf2oaip4&t=1039
3,4.0,2023/4/24,0:24:45,2023/4/24,0:24:45,2.0,2.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,1,1,0,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,140.97474,-3.67406,6.096078,2121.518077,153.381257,11:00,1.668829,-0.59018,1.852314,-36.0303,58.4154,-27.4756,0.265081,0.860736,126.87076,-6.443955,4.166267,0.43888,,,,,,,,,,,,18.9432,33.9546,0.447633,15.24,1.579289,-3.966254,-38.442771,-2.577656,3.608889,8.869339,-3.337902,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,74c19f90-e254-11ed-910d-99ffcbe63792,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,138.21547,,,14.10398,,,,16.586055,-38.752082,4.434669,1.667153,-2.46125,-1.668951,0.588148,-4.092111,1.804445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,4.0,2023/4/24,4.0,1485.018867,1485.018873,1485.018875,Normal,2.0,2.0,1,Top,1,1,0,2,吉川,Left,石原,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,147,4.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:05:05,,https://youtu.be/lLUXM6kLom8&t=305,1052,https://youtu.be/R0mDf2oaip4&t=1052
4,5.0,2023/4/24,0:24:56,2023/4/24,0:24:56,2.0,3.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,1,1,1,ChangeUp,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,121.3941,-1.931655,3.975405,1635.982405,112.393401,9:45,1.675613,-0.598331,1.937479,-102.6229,22.4953,-43.2084,0.105996,0.086574,110.01101,-9.481813,0.897518,0.505144,,,,,,,,,,,,25.8751,14.7156,0.51274,15.24,1.627202,-2.137557,-33.286006,-1.454181,3.679644,6.883188,-7.713979,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,7b797100-e254-11ed-910d-99ffcbe63792,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,120.08466,,,11.38308,,,,16.501831,-33.545925,3.441594,1.676614,-1.162891,-3.85699,0.596081,-2.276506,1.839822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,5.0,2023/4/24,5.0,1496.630155,1496.630157,1496.630158,Normal,2.0,3.0,1,Top,1,1,1,2,吉川,Left,石原,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,146,7.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:05:16,,https://youtu.be/lLUXM6kLom8&t=316,1065,https://youtu.be/R0mDf2oaip4&t=1065
5,6.0,2023/4/24,0:25:11,2023/4/24,0:25:11,2.0,4.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,1,1,2,Curveball,,FoulBall,Undefined,GroundBall,,Undefined,0,0,,120.31501,3.960579,1.162592,2271.951684,333.028426,5:00,1.770158,-0.477994,1.817826,-189.7539,-57.7343,32.2245,0.993944,0.172858,106.68286,-9.798293,3.444478,0.518888,143.10457,4.788831,-62.681582,2569.9346,,,,28.580201,28.580201,-64.635238,0.793286,-15.2246,-31.9145,0.447789,15.24,1.853671,-0.810995,-32.954043,1.559753,-2.06884,8.058757,-14.143447,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,cd536bc0-e254-11ed-9561-dbf7fc420286,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,116.90378,1.458432,,13.63215,,,,16.622602,-33.290435,4.029378,1.776241,2.150135,-7.071724,0.47984,-0.724636,-1.03442,0.584055,1.004217,-0.188054,87.132145,0.584055,18.179572,-5.448416,1.631612,-0.444225,0.104134,-0.02394,0.004915,-0.000631,1.004217,3.318578,-6.229068,0.639316,-0.102288,0.015489,-0.001508,0.000165,-2.8e-05,-0.188054,-35.194511,3.948586,-0.418923,0.001504,0.025424,-0.009769,0.002514,-0.000338,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,6.0,2023/4/24,6.0,1511.537743,1511.537747,1511.537749,Normal,2.0,4.0,1,Top,1,1,2,2,吉川,Left,石原,Left,,,,,Curveball,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,122,12.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:05:31,,https://youtu.be/lLUXM6kLom8&t=331,1079,https://youtu.be/R0mDf2oaip4&t=1079
6,7.0,2023/4/24,0:25:32,2023/4/24,0:25:32,2.0,5.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,1,1,2,Fastball,,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,147.35178,-2.047628,4.924073,2277.598351,142.133078,10:45,1.763073,-0.518448,1.810208,-28.3255,57.8052,-42.48,0.898469,0.452448,132.54054,-4.262694,1.936037,0.419116,,,,,,,,,,,,25.5451,32.0535,0.401315,15.24,1.711196,-3.247741,-40.329811,-1.518438,5.365104,9.629083,-3.074612,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,d9d3cca0-e254-11ed-9561-dbf7fc420286,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,144.73337,,,14.81123,,,,16.628815,-40.66005,4.814541,1.761464,-1.412992,-1.537306,0.515855,-3.431742,2.682552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.22151,,,0.910645,,,,0.651608,1.643546,-0.995004,21.945123,2.242381,-16.087071,0.682481,24.871855,-1.656095,1.655924,4.059349,-3.743578,-1.040249,-18.402131,2.039657,佐伯 謙司郎,7.0,2023/4/24,7.0,1532.522316,1532.522319,1532.522319,Normal,2.0,5.0,1,Top,1,1,2,2,吉川,Left,石原,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Strikeout,0,0,,,,,148,6.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,見三振,0:05:52,,https://youtu.be/lLUXM6kLom8&t=352,1091,https://youtu.be/R0mDf2oaip4&t=1091
7,8.0,2023/4/24,0:26:01,2023/4/24,0:26:01,3.0,1.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,0,0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.96879,-3.196486,5.435072,2200.682426,144.510974,10:45,1.751701,-0.491029,1.79848,-32.4236,56.6461,-38.0981,0.517992,0.670473,131.05565,-5.690172,2.761154,0.426206,,,,,,,,,,,,23.6557,32.3626,0.360099,15.24,1.670765,-3.573156,-39.625184,-2.316513,4.815476,8.988091,-3.218751,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,eae35290-e254-11ed-9561-dbf7fc420286,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,142.32556,,,13.91313,,,,16.640895,-39.941682,4.494045,1.750341,-2.203171,-1.609375,0.488907,-3.742724,2.407738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,8.0,2023/4/24,8.0,1561.113135,1561.11314,1561.113142,Normal,3.0,1.0,1,Top,2,0,0,3,廣瀬,Right,石原,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,146,19.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:06:25,,https://youtu.be/lLUXM6kLom8&t=385,1102,https://youtu.be/R0mDf2oaip4&t=1102
8,9.0,2023/4/24,0:26:14,2023/4/24,0:26:14,3.0,2.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,1,0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.44026,-1.389824,2.756292,2201.030514,142.746001,10:45,1.771128,-0.519463,1.808141,-31.273,56.3827,-40.5458,1.064849,-0.144891,131.4494,-3.807274,-0.106891,0.42281,,,,,,,,,,,,22.7039,30.7283,0.454971,15.24,1.735101,-1.707644,-39.930484,-1.054925,4.690917,9.165445,-3.457783,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,f2b08ba0-e254-11ed-9561-dbf7fc420286,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,143.46883,,,13.99087,,,,16.630806,-40.248457,4.582723,1.769618,-0.934966,-1.728892,0.517036,-1.870384,2.345458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,9.0,2023/4/24,9.0,1574.297502,1574.297507,1574.297509,Normal,3.0,2.0,1,Top,2,1,0,3,廣瀬,Right,石原,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,147,11.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:06:38,,https://youtu.be/lLUXM6kLom8&t=398,1115,https://youtu.be/R0mDf2oaip4&t=1115
9,10.0,2023/4/24,0:26:30,2023/4/24,0:26:30,3.0,3.0,"Yuki, Ishihara",1000089790,Left,MEI_MEI,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,1,Top,2,2,0,Slider,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,128.56591,0.476105,1.731757,2075.210068,309.715868,4:15,1.749838,-0.587452,1.670254,-123.3459,-8.6464,15.3325,0.652224,0.0599,116.5421,-8.403256,2.807856,0.483655,,,,,,,,,,,,-6.2704,-3.5108,0.539859,15.24,1.752591,-1.141303,-35.29268,-0.217689,-1.004139,7.63656,-10.368874,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20230424-JinguStadium-2,fc62b150-e254-11ed-9561-dbf7fc420286,c778e43e-ef53-4405-9cff-16c372cd5439,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,125.42004,,,12.02382,,,,16.769151,-35.622018,3.81828,1.752337,0.229484,-5.184437,0.588145,-1.097998,-0.50207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,10.0,2023/4/24,10.0,1590.59299,1590.592995,1590.592997,Normal,3.0,3.0,1,Top,2,2,0,3,廣瀬,Right,石原,Left,,,,,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,129,7.0,小島,宮田,堀内,上田,宗山,飯森,直井,水谷,,0:06:54,,https://youtu.be/lLUXM6kLom8&t=414,1131,https://youtu.be/R0mDf2oaip4&t=1131
