count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0,1.0,2023/5/1,00:32.3,2023/5/1,00:32.3,1.0,1.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,111.41906,3.943842,0.258592,2254.593394,43.704646,7:30,1.702203,0.347104,1.493862,-181.95,-27.7006,-31.0698,1.021391,0.110951,102.29493,-8.950624,-1.897065,0.560875,,,,,,,,,,,,15.4216,-14.871,-0.351535,15.24,1.801553,0.001551,-30.572809,1.389583,1.882472,5.015374,-11.621912,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,f5528ba0-e7c3-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,108.15235,,,9.12413,,,,16.947172,-30.851594,2.507687,1.706357,2.0356,-5.810956,-0.348713,-0.103089,0.941236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,1.0,2023/5/1,1.0,67.10728312,67.10728908,67.10729003,Normal,1.0,1.0,1,Top,0,0,0,1,酒井捷,Left,谷村,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,112,18.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:04:11,,https://youtu.be/0NHsMo98lx8&t=251,983,https://youtu.be/kEurVFy5q70&t=983,23S
1,2.0,2023/5/1,00:42.3,2023/5/1,00:42.3,1.0,2.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,139.56378,-1.674336,-0.064863,2018.212949,214.894475,1:15,1.651417,0.420003,1.722245,-46.2805,49.0479,32.0644,0.712496,0.722207,127.49986,-5.119839,2.190909,0.440926,,,,,,,,,,,,-16.2024,26.9579,-0.420745,15.24,1.604665,-0.122492,-38.365321,-1.285193,-3.115758,7.868168,-4.622577,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,fb3a3bd0-e7c3-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,137.57406,,,12.06392,,,,16.716864,-38.667018,3.934084,1.650546,-1.107945,-2.311288,-0.418338,-0.003021,-1.557879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,2.0,2023/5/1,2.0,76.94018602,76.94019508,76.94019699,Normal,1.0,2.0,1,Top,0,1,0,1,酒井捷,Left,谷村,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,140,17.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:04:21,,https://youtu.be/0NHsMo98lx8&t=261,993,https://youtu.be/kEurVFy5q70&t=993,23S
2,3.0,2023/5/1,00:52.4,2023/5/1,00:52.4,1.0,3.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,2.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,138.80714,-2.374072,-2.754632,2057.660343,223.286334,1:30,1.673382,0.402115,1.789331,-50.8081,45.2092,39.5518,0.492016,0.017169,126.54977,-6.155735,0.036713,0.442516,,,,,,,,,,,,-22.1931,25.8085,-0.336875,15.24,1.611223,1.637583,-38.110456,-1.760061,-4.201159,7.936286,-4.921092,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,01328dd0-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,137.0797,,,12.25737,,,,16.650127,-38.402985,3.968143,1.672755,-1.578672,-2.460546,-0.40009,1.792436,-2.100579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,3.0,2023/5/1,3.0,86.98859406,86.98860097,86.98860312,Normal,1.0,3.0,1,Top,0,2,0,1,酒井捷,Left,谷村,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,139,8.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:04:31,,https://youtu.be/0NHsMo98lx8&t=271,1003,https://youtu.be/kEurVFy5q70&t=1003,23S
3,4.0,2023/5/1,01:02.8,2023/5/1,01:02.8,1.0,4.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,2.0,1.0,Fastball,Sinker,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,140.54199,-1.605925,-2.614146,1990.967378,224.971926,1:30,1.65159,0.392052,1.789277,-53.7967,39.4471,36.4167,0.658377,0.015613,128.49679,-5.59041,-0.043865,0.436078,128.43645,-24.127956,53.51831,,,,,1.75402,1.739945,41.121983,0.047293,-20.5539,22.2379,-0.330136,15.24,1.608211,1.584366,-38.626765,-1.28275,-4.009478,7.923238,-5.468685,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,076d4000-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.10341,0.691432,,12.0452,,,,16.650592,-38.915034,3.961619,1.651261,-1.083784,-2.734342,-0.390433,1.730242,-2.004739,0.403495,0.691432,-0.087647,,0.403128,19.407127,,,,,,,,0.691708,-14.620069,,,,,,,,-0.088142,26.244764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,4.0,2023/5/1,4.0,97.0081079,97.0081141,97.00811625,Normal,1.0,4.0,1,Top,0,2,1,1,酒井捷,Left,谷村,Right,,,,,Fastball,InPlay,GroundBall,Out,Undefined,1,0,吉川,3.0,,酒井捷,140,8.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,一ゴロ,0:04:42,,https://youtu.be/0NHsMo98lx8&t=282,1013,https://youtu.be/kEurVFy5q70&t=1013,23S
4,5.0,2023/5/1,01:33.7,2023/5/1,01:33.7,2.0,1.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,0.0,0.0,Curveball,Curveball,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,,112.38668,2.088843,-0.870941,2264.952186,38.098623,7:15,1.692233,0.350281,1.536982,-177.7534,-27.6413,-25.2311,0.515606,-0.152456,104.03081,-10.494701,-2.629734,0.553302,79.66647,-4.592064,51.724629,,,,,4.882836,4.871253,47.853171,0.204503,11.9968,-14.1116,-0.322393,15.24,1.735654,0.578287,-30.901663,0.441554,1.497621,5.07555,-11.568274,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,19ec0d60-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,109.63264,0.54692,,8.35587,,,,16.90431,-31.173825,2.537775,1.695346,1.06187,-5.784137,-0.351249,0.497981,0.74881,0.606751,0.54692,0.138043,269.74617,0.606961,13.650365,-2.920928,,,,,,,0.547055,-1.780444,-4.377727,,,,,,,0.138091,17.313794,-1.400853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,5.0,2023/5/1,5.0,128.472357,128.472363,128.4723639,Normal,2.0,1.0,1,Top,1,0,0,2,矢追,Right,谷村,Right,,,,,Slider,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,※,8.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:05:12,,https://youtu.be/0NHsMo98lx8&t=312,1037,https://youtu.be/kEurVFy5q70&t=1037,23S
5,6.0,2023/5/1,01:59.8,2023/5/1,01:59.8,2.0,2.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,0.0,1.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,112.76555,3.924373,-1.192373,2261.826213,17.915888,6:30,1.709227,0.336737,1.537795,-186.2464,-36.0974,-13.2095,0.977031,-0.138214,103.3909,-9.294465,-2.11116,0.55337,,,,,,,,,,,,5.6199,-19.0704,-0.300786,15.24,1.805541,0.703466,-30.939175,1.385424,0.700708,5.259725,-12.184427,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,2976c810-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,109.61915,,,9.37464,,,,16.903318,-31.220662,2.629862,1.713948,2.037504,-6.092214,-0.33743,0.665966,0.350354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,6.0,2023/5/1,6.0,154.6543541,154.6543572,154.6543579,Normal,2.0,2.0,1,Top,1,0,1,2,矢追,Right,谷村,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,114,12.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:05:38,,https://youtu.be/0NHsMo98lx8&t=338,1050,https://youtu.be/kEurVFy5q70&t=1050,23S
6,7.0,2023/5/1,02:10.1,2023/5/1,02:10.1,2.0,3.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,1.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,140.14095,-0.327309,-2.35422,2065.555547,206.150968,12:45,1.676873,0.396168,1.798715,-50.1376,44.5088,20.2169,1.082808,-0.068156,126.53005,-4.092973,-0.927123,0.439346,,,,,,,,,,,,-12.1094,23.9512,-0.339801,15.24,1.665424,1.478379,-38.47771,-0.392465,-2.31836,8.661753,-5.22115,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,2f85d660-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.06889,,,13.6109,,,,16.639782,-38.791537,4.330877,1.676217,-0.203296,-2.610575,-0.394886,1.562376,-1.15918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,7.0,2023/5/1,7.0,164.701813,164.7018201,164.7018232,Normal,2.0,3.0,1,Top,1,1,1,2,矢追,Right,谷村,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,140,12.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:05:49,,https://youtu.be/0NHsMo98lx8&t=349,1061,https://youtu.be/kEurVFy5q70&t=1061,23S
7,8.0,2023/5/1,02:21.5,2023/5/1,02:21.5,2.0,4.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,2.0,1.0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,138.67195,-0.713139,-1.947673,2056.700505,213.636777,1:00,1.639924,0.452891,1.720929,-54.995,42.2269,25.8786,0.887099,0.157735,125.74282,-4.796841,-0.128354,0.445284,,,,,,,,,,,,-14.5244,22.9064,-0.404493,15.24,1.617352,1.161438,-38.08422,-0.678337,-2.734399,8.219013,-5.494239,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,365b9010-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,136.22782,,,12.92913,,,,16.717909,-38.401846,4.109506,1.639463,-0.466011,-2.747119,-0.451419,1.26711,-1.367199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,8.0,2023/5/1,8.0,176.203289,176.2032959,176.2032981,Normal,2.0,4.0,1,Top,1,2,1,2,矢追,Right,谷村,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,140,4.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:06:00,,https://youtu.be/0NHsMo98lx8&t=360,1072,https://youtu.be/kEurVFy5q70&t=1072,23S
8,9.0,2023/5/1,02:34.0,2023/5/1,02:34.0,2.0,5.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,2.0,2.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,140.43266,-0.874994,-2.432088,2010.251057,211.332551,1:00,1.653788,0.411738,1.83862,-53.607,39.4407,22.1533,0.87051,-0.053596,127.93298,-4.869063,-0.864121,0.43562,128.83725,18.661681,54.823217,4500.444273,18.47181,7.167038,27.98066,57.301362,55.221702,56.368771,2.576345,-13.1612,21.8459,-0.355237,15.24,1.629459,1.530917,-38.600816,-0.780285,-2.555908,8.142834,-5.564178,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,3dc48910-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,139.24988,7.170826,,12.49968,,,,16.600708,-38.886798,4.071417,1.653432,-0.584867,-2.782089,-0.41058,1.620683,-1.277954,-0.105433,0.787908,0.014975,230.938532,-0.105472,19.535562,-4.736995,1.363512,-0.438845,0.157366,-0.053502,0.011781,-0.001093,0.787949,11.449402,-5.775651,0.64507,-0.050666,-0.046318,0.030606,-0.00769,0.000697,0.014896,27.7185,-4.417244,0.523715,-0.196967,0.13899,-0.06849,0.016759,-0.001572,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,9.0,2023/5/1,9.0,188.614413,188.6144211,188.614424,Normal,2.0,5.0,1,Top,1,2,2,2,矢追,Right,谷村,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,141,4.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,,0:06:13,,https://youtu.be/0NHsMo98lx8&t=373,1085,https://youtu.be/kEurVFy5q70&t=1085,23S
9,10.0,2023/5/1,03:02.0,2023/5/1,03:02.0,2.0,6.0,"Zen, Tanimura",1000089830,Right,KEI_KEI,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,2.0,2.0,Cutter,Slider,InPlay,Undefined,LineDrive,LineDrive,Out,1,0,,124.02336,1.541646,-1.386175,2193.77602,83.894233,8:45,1.631677,0.441834,1.758789,-117.3833,2.6715,-9.8314,0.895354,-0.049735,113.76917,-6.960565,-2.079252,0.494817,141.30524,22.122754,-20.539575,1578.44244,31.174693,11.696811,-12.339423,91.607181,89.024082,-25.154383,3.681732,4.0366,1.339,-0.406178,15.24,1.661976,0.868776,-34.110102,0.477279,0.613744,6.207894,-9.60306,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20230501-JinguStadium-1,4e841a40-e7c4-11ed-989f-5f38fad1cd9b,46994a75-0a4a-4759-b345-b85eafab6838,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,122.59081,13.611888,,10.2542,,,,16.681196,-34.371393,3.103947,1.633382,0.881473,-4.80153,-0.442201,0.842943,0.306872,0.299938,0.872428,0.058691,166.063323,0.29988,34.051513,-5.998271,1.377779,-0.29532,0.068205,-0.015596,0.002413,-0.000159,0.872461,14.781719,-4.420691,0.041218,0.045065,-0.025328,0.008332,-0.001249,6.3e-05,0.058614,-12.754831,1.460906,-0.459004,0.096837,-0.014531,0.001992,-0.000279,2.1e-05,,,,,,,,,,,,,,,,,,,,,,,御手洗 悠,10.0,2023/5/1,10.0,216.724803,216.7248101,216.724812,Normal,2.0,6.0,1,Top,1,2,2,2,矢追,Right,谷村,Right,,,,,Slider,InPlay,FlyBall,Out,Undefined,1,0,齋藤來,7.0,,矢追,125,1.0,宮崎,吉川,廣瀬,本間,斎藤快,齋藤來,横地,栗林,左直,0:06:41,,https://youtu.be/0NHsMo98lx8&t=401,1113,https://youtu.be/kEurVFy5q70&t=1113,23S
