count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL
0,1.0,2023/5/8,0:06:37,2023/5/8,0:06:37,1.0,1.0,"Masamune, Oki",1000101282,Right,RIK,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,131.34996,0.669086,-4.861565,2158.883191,235.599876,1:45,1.167462,1.04045,1.865558,-86.4622,20.2985,24.4375,0.492064,-0.08836,119.43482,-5.681545,-3.136976,0.466617,,,,,,,,,,,,-16.2034,11.0634,-0.928238,15.24,1.177772,2.951095,-36.008561,0.109357,-2.732488,7.220377,-7.940952,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,24ffb410-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,129.99961,,,11.91514,,,,16.57375,-36.275016,3.610188,1.168329,0.402404,-3.970476,-1.039003,3.051932,-1.366244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2023/5/8,1.0,397.5731299,409.4740069,409.4740109,Normal,1.0,1.0,1,Top,0,0,0,1,酒井捷,Left,沖,Right,,,,,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,132,9,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:04:31,,https://youtu.be/hySP8_GxUmE&t=271,1036,https://youtu.be/JkyOkL8riPs&t=1036
1,2.0,2023/5/8,0:06:47,2023/5/8,0:06:47,1.0,2.0,"Masamune, Oki",1000101282,Right,RIK,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,0,1,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,136.42988,-0.768646,-2.213826,2048.606757,230.163969,1:45,1.574107,0.872212,1.728431,-66.6854,32.1112,35.0205,0.688649,0.592996,125.79203,-5.637856,0.249851,0.448875,,,,,,,,,,,,-19.1636,17.7118,-0.817905,15.24,1.549279,1.277498,-37.534156,-0.765297,-3.562174,6.841257,-6.514351,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,2b269020-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,135.13776,,,10.63785,,,,16.711379,-37.801389,3.420628,1.574204,-0.510833,-3.257176,-0.870525,1.416644,-1.781087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2023/5/8,2.0,407.8525851,419.7534621,419.7534637,Normal,1.0,2.0,1,Top,0,0,1,1,酒井捷,Left,沖,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,137,14,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:04:41,,https://youtu.be/hySP8_GxUmE&t=281,1046,https://youtu.be/JkyOkL8riPs&t=1046
2,3.0,2023/5/8,0:07:08,2023/5/8,0:07:08,1.0,3.0,"Masamune, Oki",1000101282,Right,RIK,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,122.7789,0.743591,-0.83928,1954.051978,127.509846,10:15,1.597467,0.810097,1.770721,-109.9455,9.4548,-8.6118,0.708806,0.486081,115.33555,-7.170906,-1.447314,0.493466,,,,,,,,,,,,3.9529,5.4289,-0.788516,15.24,1.608113,0.533027,-33.860389,0.032316,0.607352,4.666217,-8.972509,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,37bdfb70-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,122.92635,,,7.44335,,,,16.669694,-34.056841,2.333109,1.5988,0.410068,-4.486254,-0.810418,0.507457,0.303676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2023/5/8,3.0,428.8674402,440.7683139,440.768317,Normal,1.0,3.0,1,Top,0,1,1,1,酒井捷,Left,沖,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,124,17,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:05:02,,https://youtu.be/hySP8_GxUmE&t=302,1067,https://youtu.be/JkyOkL8riPs&t=1067
3,4.0,2023/5/8,0:07:18,2023/5/8,0:07:18,1.0,4.0,"Masamune, Oki",1000101282,Right,RIK,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,FlyBall,,Out,1,0,,136.23946,-0.197284,-2.729944,2035.551524,208.587018,1:00,1.629961,0.719581,1.879427,-58.5429,40.1668,20.0755,0.988925,0.151174,123.67745,-4.573318,-1.306313,0.448678,131.76762,68.973534,-21.859272,,,,,,9.705645,,,-12.4444,21.9031,-0.657704,15.24,1.621812,1.691268,-37.43833,-0.32643,-2.264946,7.914101,-5.820151,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,3db75ee0-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,135.19724,31.341387,,12.56201,,,,16.559778,-37.716286,3.95705,1.629687,-0.122016,-2.910075,-0.718501,1.770817,-1.132473,0.044749,1.087853,-0.173949,168.057378,0.044749,12.188582,-7.637758,2.626944,-0.736901,0.201518,-0.058738,0.016212,-0.002582,1.087853,34.164965,-8.259997,0.734415,-0.005633,-0.037878,0.011537,-0.000632,-0.000314,-0.173949,-4.889715,-0.754289,0.366695,-0.123864,0.037271,-0.010379,0.00239,-0.000314,,,,,,,,,,,,,,,,,,,,,,,,4.0,2023/5/8,4.0,438.953033,450.8539128,450.8539147,Normal,1.0,4.0,1,Top,0,2,1,1,酒井捷,Left,沖,Right,,,,,Fastball,InPlay,FlyBall,Out,Undefined,1,0,齋藤大,5.0,,酒井捷,※,,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,三飛,0:05:12,,https://youtu.be/hySP8_GxUmE&t=312,1077,https://youtu.be/JkyOkL8riPs&t=1077
4,5.0,2023/5/8,0:07:47,2023/5/8,0:07:47,2.0,1.0,"Masamune, Oki",1000101282,Right,RIK,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,123.64814,-0.868784,-2.385025,2040.473562,203.811749,12:45,1.585744,0.807005,1.723304,-112.2342,7.8742,1.9931,0.216207,0.148573,115.15844,-8.918414,-2.244716,0.494927,,,,,,,,,,,,-2.5246,5.4825,-0.745571,15.24,1.554625,1.408691,-34.028891,-0.940949,-0.386387,5.523402,-8.96756,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,4ed9d090-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,122.56347,,,8.4897,,,,16.717151,-34.267816,2.761701,1.586938,-0.55304,-4.48378,-0.806868,1.425405,-0.193193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2023/5/8,5.0,467.6025028,479.503382,479.5033839,Normal,2.0,1.0,1,Top,1,0,0,2,矢追,Right,沖,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,124,18,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:05:41,,https://youtu.be/hySP8_GxUmE&t=341,1100,https://youtu.be/JkyOkL8riPs&t=1100
5,6.0,2023/5/8,0:07:58,2023/5/8,0:07:58,2.0,2.0,"Masamune, Oki",1000101282,Right,RIK,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,,134.8375,-1.335409,-3.922354,2096.793445,218.546124,1:15,1.593337,0.763012,1.906926,-59.7074,40.0983,29.4451,0.619987,-0.046667,123.58568,-5.773094,-1.833789,0.451162,129.93184,22.22426,62.870179,5375.245955,11.829916,10.000139,31.371637,70.780939,60.954246,76.493776,3.181542,-18.0169,22.7025,-0.675892,15.24,1.559521,2.407366,-37.041217,-1.064412,-3.240193,7.113533,-5.723801,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,551e94e0-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,134.45291,10.316746,,11.25182,,,,16.532835,-37.288672,3.556766,1.593084,-0.865302,-2.8619,-0.761596,2.520081,-1.620096,-0.03984,0.539985,0.003028,237.244654,-0.039909,15.238159,-6.141648,1.825803,-0.518039,0.140485,-0.033637,0.005246,-0.000351,0.540067,13.64829,-5.107192,0.186964,0.084768,-0.057494,0.019676,-0.003246,0.000197,0.002941,29.738142,-3.791859,0.570624,-0.107672,0.041996,-0.016095,0.003316,-0.000256,,,,,,,,,,,,,,,,,,,,,,,,6.0,2023/5/8,6.0,478.2702012,490.1710789,490.171082,Normal,2.0,2.0,1,Top,1,1,0,2,矢追,Right,沖,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,135,6,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:05:52,,https://youtu.be/hySP8_GxUmE&t=352,1110,https://youtu.be/JkyOkL8riPs&t=1110
6,7.0,2023/5/8,0:08:12,2023/5/8,0:08:12,2.0,3.0,"Masamune, Oki",1000101282,Right,RIK,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,122.04247,1.405999,-2.033818,2035.123813,69.47494,8:15,1.660738,0.741001,1.688673,-128.718,-3.6427,-19.9576,0.774413,-0.038184,112.28151,-7.845093,-3.434152,0.505057,,,,,,,,,,,,8.61,-1.5663,-0.685653,15.24,1.687699,1.281877,-33.547507,0.323382,1.267377,5.955364,-10.037202,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,5daab120-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,120.10524,,,9.76097,,,,16.751255,-33.814721,2.977682,1.663085,0.773747,-5.018601,-0.741895,1.225011,0.633689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2023/5/8,7.0,492.5873621,504.4883399,504.4884739,Normal,2.0,3.0,1,Top,1,1,1,2,矢追,Right,沖,Right,,,,,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,※,9,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:06:06,,https://youtu.be/hySP8_GxUmE&t=366,1125,https://youtu.be/JkyOkL8riPs&t=1125
7,8.0,2023/5/8,0:08:22,2023/5/8,0:08:22,2.0,4.0,"Masamune, Oki",1000101282,Right,RIK,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,126.96215,-0.291085,-4.431489,2076.791551,94.034734,9:15,1.55049,0.848533,1.745824,-109.4611,3.1163,-6.7513,0.373,-0.479456,119.62912,-8.105827,-4.904997,0.47916,,,,,,,,,,,,1.1151,2.5274,-0.735156,15.24,1.534801,2.735818,-34.921931,-0.601214,0.182251,4.960602,-9.393577,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,639b8910-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,126.59659,,,7.33304,,,,16.695059,-35.128012,2.480301,1.551672,-0.210973,-4.696789,-0.848654,2.728247,0.091125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2023/5/8,8.0,502.4336061,514.3344839,514.334486,Normal,2.0,4.0,1,Top,1,1,2,2,矢追,Right,沖,Right,,,,,Slider,StrikeCalled,Undefined,Undefined,Strikeout,0,0,,,,,※,19,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,見三振,0:06:16,,https://youtu.be/hySP8_GxUmE&t=376,1135,https://youtu.be/JkyOkL8riPs&t=1135
8,9.0,2023/5/8,0:08:45,2023/5/8,0:08:45,3.0,1.0,"Masamune, Oki",1000101282,Right,RIK,"Shunya, Fujita",1000126400,Right,TOK,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,104.65039,3.841795,-1.468746,1847.132817,47.759285,7:30,1.647615,0.740674,1.660775,-190.4369,-18.6536,-26.5085,0.841521,0.056385,96.22207,-9.792763,-3.324888,0.591896,,,,,,,,,,,,12.1992,-10.4683,-0.698911,15.24,1.735446,0.841369,-28.7212,1.280057,1.3104,4.544337,-10.931119,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,718f01f0-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,102.48429,,,8.42832,,,,16.779926,-28.963826,2.272168,1.651523,1.863679,-5.465559,-0.741965,0.771405,0.6552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2023/5/8,9.0,525.9484961,537.8493738,537.8493769,Normal,3.0,1.0,1,Top,2,0,0,3,藤田,Right,沖,Right,,,,,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,108,6,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:06:39,,https://youtu.be/hySP8_GxUmE&t=399,1150,https://youtu.be/JkyOkL8riPs&t=1150
9,10.0,2023/5/8,0:08:59,2023/5/8,0:08:59,3.0,2.0,"Masamune, Oki",1000101282,Right,RIK,"Shunya, Fujita",1000126400,Right,TOK,Undefined,1,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,124.54876,-0.294558,-1.948617,2084.514492,44.154503,7:30,1.674702,0.731566,1.64432,-135.4153,-14.4857,-17.7101,0.236362,-0.002353,114.95512,-9.943194,-3.190857,0.496616,,,,,,,,,,,,7.5506,-6.1094,-0.677002,15.24,1.655154,1.246032,-34.244854,-0.724597,1.154561,6.383934,-10.740832,RIK,TOK,JinguStadium,TeamExclusive,Team,20230508-JinguStadium-1,795cfe50-ed44-11ed-81cd-cb2707bac50d,36b2aa95-1e36-4e44-80ac-24f7934a6d92,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,122.14663,,,9.59364,,,,16.796223,-34.533747,3.191967,1.676946,-0.238541,-5.370416,-0.732206,1.193784,0.57728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2023/5/8,10.0,539.03564,550.936522,550.9365258,Normal,3.0,2.0,1,Top,2,0,1,3,藤田,Right,沖,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,126,18,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,鈴木唯,山形,,0:06:53,,https://youtu.be/hySP8_GxUmE&t=413,1163,https://youtu.be/JkyOkL8riPs&t=1163
