count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0.0,1.0,2023/5/9,00:19.4,2023/5/9,00:19.4,1.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1.0,Top,0.0,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,151.46861,-2.495798,-0.545265,2269.499015,197.170891,12:30,1.674428,0.554607,1.887956,-19.8253,59.9294,17.6758,0.773411,0.577929,137.37163,-4.084045,0.710581,0.403304,,,,,,,,,,,,-9.4597,33.5331,-0.543062,15.24,1.615758,0.301817,-41.626744,-1.844021,-2.129327,9.751529,-2.258553,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,409c15f0-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,150.40759,,,14.09697,,,,16.550861,-41.932703,4.875765,1.672504,-1.773158,-1.129276,-0.55358,0.368626,-1.064664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,1.0,2023/5/9,1.0,5.40950489,5.409510136,5.409511805,Normal,1.0,1.0,1.0,Top,0.0,0.0,0.0,1.0,尾瀬,Left,篠木,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,152,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:04:42,,https://youtu.be/87vLfr8H7Zg&t=282,1023.0,https://youtu.be/V_0QL60DrzQ&t=1023,23S
1.0,2.0,2023/5/9,00:26.9,2023/5/9,00:26.8,1.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1.0,Top,0.0,1.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,151.39335,-2.35846,-0.528302,2092.969284,200.335621,12:45,1.656904,0.616421,1.922853,-26.6282,52.5115,18.5015,0.728013,0.653096,137.95236,-4.422701,0.789285,0.401746,,,,,,,,,,,,-9.8925,29.6501,-0.605552,15.24,1.602493,0.286955,-41.633996,-1.77994,-2.237196,9.385304,-3.101267,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,4513bb60-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,150.9908,,,13.44099,,,,16.516085,-41.920669,4.692652,1.655414,-1.685212,-1.550633,-0.615361,0.35529,-1.118598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,2.0,2023/5/9,2.0,12.52329898,12.52330399,12.52330589,Normal,1.0,2.0,1.0,Top,0.0,1.0,0.0,1.0,尾瀬,Left,篠木,Right,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,151,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:04:50,,https://youtu.be/87vLfr8H7Zg&t=290,1031.0,https://youtu.be/V_0QL60DrzQ&t=1031,23S
2.0,3.0,2023/5/9,00:35.2,2023/5/9,00:35.2,1.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Yudai, Ose",1000126636.0,Left,WAS_EDA,Undefined,1.0,Top,0.0,2.0,0.0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,LineDrive,Out,1.0,0.0,,151.27657,-1.90758,-2.553196,2162.207835,176.133164,11:45,1.663304,0.602198,1.946406,-18.8597,60.3017,-3.9012,0.939153,-0.153123,137.70422,-3.424265,-2.830805,0.401801,88.57813,25.57452,-7.94256,2723.730032,32.777454,5.350503,-7.054356,43.899674,41.178922,-13.75331,2.490624,0.1586,33.6105,-0.546002,15.24,1.620257,1.873977,-41.586746,-1.414404,0.035743,9.468438,-2.232157,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,4a085900-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,150.97009,6.979358,,13.57235,,,,16.493063,-41.871071,4.734219,1.661723,-1.347376,-1.116078,-0.602259,1.872904,0.017872,0.155341,0.921999,0.168107,140.080721,0.155292,21.984099,-2.808026,0.56796,-0.232326,0.143376,-0.066728,0.01678,-0.001671,0.922032,10.619816,-4.896928,0.202525,0.052597,-0.073756,0.039029,-0.009639,0.000902,0.168102,-3.066556,-0.73207,0.170959,-0.051581,0.020329,-0.007933,0.001934,-0.000194,,,,,,,,,,,,,,,,,,,,,,,前田 則政,3.0,2023/5/9,3.0,21.28080893,21.28081417,21.28081608,Normal,1.0,3.0,1.0,Top,0.0,2.0,0.0,1.0,尾瀬,Left,篠木,Right,,,,,Fastball,InPlay,Popup,Out,Undefined,1.0,0.0,今泉,6.0,,尾瀬,151,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,遊飛,0:04:58,,https://youtu.be/87vLfr8H7Zg&t=298,1039.0,https://youtu.be/V_0QL60DrzQ&t=1039,23S
3.0,4.0,2023/5/9,00:57.4,2023/5/9,00:57.3,2.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Masaki, Nakamura",1000089877.0,Right,WAS_EDA,Undefined,1.0,Top,1.0,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,149.88334,-2.066616,-1.730768,2136.320751,195.398508,12:30,1.648067,0.604386,1.835973,-23.5993,58.4474,15.3219,0.828158,0.268868,135.81562,-3.924832,-0.646271,0.409058,,,,,,,,,,,,-9.0875,32.2547,-0.564022,15.24,1.59707,1.160796,-41.169197,-1.535307,-2.000584,9.547922,-2.705879,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,5741f7c0-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,148.29178,,,14.06773,,,,16.602625,-41.484012,4.773961,1.646221,-1.446088,-1.35294,-0.603383,1.22676,-1.000292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,4.0,2023/5/9,4.0,43.46132207,43.46132803,43.46132922,Normal,2.0,1.0,1.0,Top,1.0,0.0,0.0,2.0,中村将,Right,篠木,Right,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,150,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:05:20,,https://youtu.be/87vLfr8H7Zg&t=320,1050.0,https://youtu.be/V_0QL60DrzQ&t=1050,23S
4.0,5.0,2023/5/9,01:05.0,2023/5/9,01:05.0,2.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Masaki, Nakamura",1000089877.0,Right,WAS_EDA,Undefined,1.0,Top,1.0,0.0,1.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,,142.72858,-1.461213,-1.611308,2379.502767,98.425507,9:15,1.602268,0.63749,1.869995,-83.1145,5.9905,-22.5322,0.359245,-0.04186,131.65633,-7.4987,-3.211867,0.426291,,,,,,,,,,,,10.5874,4.8964,-0.598631,15.24,1.563102,1.212818,-39.288618,-1.338403,2.142301,7.995916,-8.815887,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,5bd7faa0-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,142.29731,,,11.07225,,,,16.570178,-39.558406,3.997958,1.603243,-1.040948,-4.407943,-0.638333,1.140535,1.07115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,5.0,2023/5/9,5.0,51.10679603,51.10680199,51.10680294,Normal,2.0,2.0,1.0,Top,1.0,0.0,1.0,2.0,中村将,Right,篠木,Right,,,,,Cutter,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,143,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:05:28,,https://youtu.be/87vLfr8H7Zg&t=328,1057.0,https://youtu.be/V_0QL60DrzQ&t=1057,23S
5.0,6.0,2023/5/9,01:15.0,2023/5/9,01:15.0,2.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Masaki, Nakamura",1000089877.0,Right,WAS_EDA,Undefined,1.0,Top,1.0,1.0,1.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0.0,0.0,,150.49243,-1.806731,-2.038984,2125.945405,190.435471,12:15,1.628721,0.575436,1.892274,-26.2543,53.2426,9.3815,0.85743,0.095417,138.62259,-3.822937,-1.372859,0.402652,102.54213,43.019152,112.354267,5043.458842,,,,,17.412667,,,-6.1674,29.4897,-0.529352,15.24,1.585714,1.427711,-41.426812,-1.380497,-1.397476,8.274754,-3.124502,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,61cb4390-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,150.65117,13.420776,,11.86983,,,,16.547672,-41.687194,4.137377,1.627607,-1.282179,-1.562251,-0.57497,1.471685,-0.698738,0.036067,0.831031,-0.084723,309.476494,0.036067,-7.920481,-1.369716,0.51677,-0.382203,0.748323,-0.972942,0.643054,-0.170371,0.831031,19.432945,-6.55927,0.561692,-0.065341,-0.097388,0.153147,-0.104122,0.027902,-0.084723,19.260334,-2.759421,0.584786,-0.22019,0.327251,-0.415429,0.272671,-0.072031,,,,,,,,,,,,,,,,,,,,,,,前田 則政,6.0,2023/5/9,6.0,61.07215095,61.07215619,61.07215691,Normal,2.0,3.0,1.0,Top,1.0,1.0,1.0,2.0,中村将,Right,篠木,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0.0,0.0,,,,,151,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:05:38,,https://youtu.be/87vLfr8H7Zg&t=338,1067.0,https://youtu.be/V_0QL60DrzQ&t=1067,23S
6.0,7.0,2023/5/9,01:28.3,2023/5/9,01:28.3,2.0,4.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Masaki, Nakamura",1000089877.0,Right,WAS_EDA,Undefined,1.0,Top,1.0,1.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0.0,0.0,,151.26589,-3.424358,-2.289234,2259.269348,190.143017,12:15,1.646365,0.514746,1.886612,-21.9545,58.6247,9.9699,0.461246,-0.030116,136.65786,-5.168952,-1.581871,0.405383,72.4908,-61.126613,9.432888,,,,,0.482985,0.336139,13.740793,0.023504,-6.9683,33.8778,-0.462738,15.24,1.5662,1.606873,-41.494008,-2.528114,-1.550518,10.124004,-2.268554,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,69acc7f0-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,149.63612,0.416497,,14.60803,,,,16.552505,-41.813017,5.062002,1.644735,-2.456632,-1.134277,-0.514141,1.65573,-0.775259,0.242601,0.416497,0.077083,,0.242422,9.639128,,,,,,,,0.416825,-17.720041,,,,,,,,0.077053,1.601432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,7.0,2023/5/9,7.0,74.33903885,74.33904409,74.33904505,Normal,2.0,4.0,1.0,Top,1.0,1.0,2.0,2.0,中村将,Right,篠木,Right,,,,,Fastball,InPlay,GroundBall,Single,Undefined,0.0,0.0,藤森康,4.4,,中村将,149,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,二安,0:05:51,,https://youtu.be/87vLfr8H7Zg&t=351,1081.0,https://youtu.be/V_0QL60DrzQ&t=1081,23S
7.0,8.0,2023/5/9,02:02.5,2023/5/9,02:02.5,3.0,1.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Toyo, Kumada",1000089879.0,Left,WAS_EDA,Undefined,1.0,Top,1.0,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,1,149.53915,-0.854819,-2.304821,2222.199749,196.776765,12:30,1.664634,0.592226,1.852831,-26.1039,56.7005,16.1923,1.162321,0.103835,134.47332,-2.911432,-1.158166,0.410943,,,,,,,,,,,,-10.0925,30.5574,-0.538849,15.24,1.642689,1.564349,-41.053865,-0.670235,-2.193063,10.105326,-3.166641,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,7e11e180-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,147.61175,,,15.06583,,,,16.585361,-41.383698,5.052663,1.662879,-0.566878,-1.583321,-0.591077,1.635929,-1.096531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,8.0,2023/5/9,8.0,108.5690889,108.5690951,108.569097,Normal,3.0,1.0,1.0,Top,1.0,0.0,0.0,3.0,熊田,Left,篠木,Right,1,中村将,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,150,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:06:25,,https://youtu.be/87vLfr8H7Zg&t=385,1097.0,https://youtu.be/V_0QL60DrzQ&t=1097,23S
8.0,9.0,2023/5/9,02:12.7,2023/5/9,02:12.7,3.0,2.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Toyo, Kumada",1000089879.0,Left,WAS_EDA,Undefined,1.0,Top,1.0,1.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,1,149.95559,-2.939588,-3.303687,2206.950933,205.576996,12:45,1.622713,0.633323,1.916336,-28.1044,53.4706,24.2131,0.513859,-0.053558,135.69773,-5.125366,-1.584285,0.407881,,,,,,,,,,,,-15.0463,30.8049,-0.560383,15.24,1.554828,2.249108,-41.130633,-2.185525,-3.29781,9.740269,-3.054887,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,84253590-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,148.71992,,,14.25785,,,,16.522642,-41.433266,4.870134,1.621258,-2.090608,-1.527444,-0.631855,2.351572,-1.648905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,9.0,2023/5/9,9.0,118.7433929,118.7433982,118.7433991,Normal,3.0,2.0,1.0,Top,1.0,1.0,0.0,3.0,熊田,Left,篠木,Right,1,中村将,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,147,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:06:35,,https://youtu.be/87vLfr8H7Zg&t=395,1108.0,https://youtu.be/V_0QL60DrzQ&t=1108,23S
9.0,10.0,2023/5/9,02:24.1,2023/5/9,02:24.1,3.0,3.0,"Kentaro, Shinogi",1000101178.0,Right,HOS_HOS,"Toyo, Kumada",1000089879.0,Left,WAS_EDA,Undefined,1.0,Top,1.0,1.0,1.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,1,109.8242,4.685384,0.313962,2081.984079,24.083974,6:45,1.592316,0.611494,1.801246,-189.1578,-35.766,-18.1653,1.029223,0.518661,100.5426,-8.966663,-0.969703,0.559314,,,,,,,,,,,,9.4039,-19.7654,-0.617996,15.24,1.694549,-0.091716,-30.151418,1.818274,1.112824,5.025333,-12.145616,HOS_HOS,WAS_EDA,JinguStadium,TeamExclusive,Team,20230509-JinguStadium-1,8b10e840-ee0d-11ed-bb77-ebd34094f921,e4787047-b96c-40bc-a368-90c70615ffde,v3,,,,"Ryoya, Yoshiyasu",1000101184.0,Right,HOS_HOS,108.45425,,,9.28161,,,,16.639946,-30.383851,2.512667,1.597459,2.380036,-6.072808,-0.612564,-0.143187,0.556412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前田 則政,10.0,2023/5/9,10.0,130.3506191,130.3506241,130.350626,Normal,3.0,3.0,1.0,Top,1.0,1.0,1.0,3.0,熊田,Left,篠木,Right,1,中村将,,,Curveball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,111,,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,西村,,0:06:47,,https://youtu.be/87vLfr8H7Zg&t=407,1119.0,https://youtu.be/V_0QL60DrzQ&t=1119,23S
