count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0,1.0,2023/5/13,29:09.3,2023/5/13,29:09.3,1.0,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,145.25369,-2.396661,-2.117593,2257.951899,196.366398,12:30,1.727378,0.546831,1.958624,-31.8485,54.9685,15.1998,0.736606,0.105305,130.71004,-4.878924,-1.033778,0.420782,116.18225,36.410041,-149.572406,3360.885953,,,,,23.029469,,,-9.6709,31.5799,-0.501606,15.24,1.673468,1.400455,-39.881452,-1.748337,-1.977852,9.742086,-3.348041,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,b526d860-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,144.16019,11.829113,,14.54366,,,,16.480212,-40.183264,4.871043,1.726025,-1.644614,-1.674021,-0.545942,1.46173,-0.988926,0.219945,0.705785,-0.092924,31.011045,0.219946,-22.395808,1.264497,-0.185673,0.217927,-0.410418,0.481583,-0.283226,0.065393,0.705788,19.155368,-8.772957,0.986464,0.202294,-0.92312,1.121261,-0.64352,0.143356,-0.092923,-13.154064,2.428474,-0.365744,0.207471,-0.303598,0.3524,-0.211096,0.04991,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,1.0,2023/5/13,1.0,116.5573592,823.5756629,823.575665,Normal,1.0,1.0,1,Top,0,0,0,1,吉川,Left,池田,Right,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:03:53,,https://youtu.be/IGrIsCY6k5Y&t=233,1113,https://youtu.be/hR9FRwp5es8&t=1113,23S
1,2.0,2023/5/13,29:24.3,2023/5/13,29:24.3,1.0,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.04253,-1.015321,-1.238515,2233.206043,208.694288,1:00,1.740575,0.535087,1.996395,-41.4943,43.6405,22.2165,1.041759,0.411038,131.63862,-4.189787,0.350844,0.416685,,,,,,,,,,,,-12.4887,24.4989,-0.50992,15.24,1.716937,0.757114,-40.149952,-0.832779,-2.59497,9.682909,-4.716127,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,be20f8b0-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,145.57751,,,14.40392,,,,16.441877,-40.438769,4.841454,1.739679,-0.692109,-2.358063,-0.533657,0.834515,-1.297485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,2.0,2023/5/13,2.0,129.4206581,836.438956,836.4389598,Normal,1.0,2.0,1,Top,0,0,1,1,吉川,Left,池田,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:04:08,,https://youtu.be/IGrIsCY6k5Y&t=248,1127,https://youtu.be/hR9FRwp5es8&t=1127,23S
2,3.0,2023/5/13,29:34.0,2023/5/13,29:34.0,1.0,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,1.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.46659,-1.192626,-1.472009,2227.02357,203.141251,12:45,1.734995,0.544419,1.983749,-45.2805,39.518,15.5906,0.948435,0.28849,132.09106,-4.631305,-0.357605,0.415862,,,,,,,,,,,,-9.274,22.4993,-0.513791,15.24,1.707181,0.957026,-40.260124,-0.981238,-1.937419,9.7436,-5.106371,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,c3ebab00-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,145.86584,,,14.37553,,,,16.454705,-40.553036,4.8718,1.734372,-0.82773,-2.553185,-0.543436,1.015269,-0.968709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,3.0,2023/5/13,3.0,145.214196,852.2324948,852.2324979,Normal,1.0,3.0,1,Top,0,1,1,1,吉川,Left,池田,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:04:18,,https://youtu.be/IGrIsCY6k5Y&t=258,1136,https://youtu.be/hR9FRwp5es8&t=1136,23S
3,4.0,2023/5/13,29:45.6,2023/5/13,29:45.6,1.0,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,1.0,2.0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,138.3911,-1.829213,-2.762554,1443.437955,250.038144,2:15,1.662554,0.616386,1.829425,-78.3052,17.7751,40.2134,0.362138,0.237743,126.50547,-7.549466,0.085895,0.442662,,,,,,,,,,,,-22.5936,11.4941,-0.552689,15.24,1.613566,1.637711,-38.01944,-1.522827,-4.253698,7.946395,-7.642652,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,cad1b860-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,137.03469,,,11.88563,,,,16.610113,-38.304735,3.973198,1.663314,-1.248437,-3.821326,-0.614229,1.79043,-2.126849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,4.0,2023/5/13,4.0,150.5669851,857.5852821,857.585283,Normal,1.0,4.0,1,Top,0,1,2,1,吉川,Left,池田,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:04:29,,https://youtu.be/IGrIsCY6k5Y&t=269,1148,https://youtu.be/hR9FRwp5es8&t=1148,23S
4,5.0,2023/5/13,29:58.8,2023/5/13,29:58.8,1.0,5.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Kaito, Yoshikawa",1000089827,Left,KEI_KEI,Undefined,1,Top,0,2.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,146.17345,-1.444834,-1.649681,2181.461393,199.932863,12:45,1.725131,0.556838,1.985461,-40.0893,44.507,15.0986,0.919884,0.246303,132.63624,-4.500104,-0.570609,0.415365,150.99263,-10.39445,-16.87918,,,,,4.705807,4.705807,-18.308016,0.107446,-9.1757,25.286,-0.522518,15.24,1.692264,1.085928,-40.207348,-1.13533,-1.923719,9.230491,-4.505346,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,d2b27970-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,146.04012,0.865602,,13.53722,,,,16.453842,-40.485053,4.615245,1.724382,-0.999783,-2.252673,-0.556059,1.143804,-0.961859,0.245767,0.865602,-0.192521,91.162096,0.245771,39.476348,-1.709404,,,,,,,0.865608,-7.568219,-4.542545,,,,,,,-0.192521,-11.978307,0.114873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,5.0,2023/5/13,5.0,163.8928201,870.9111187,870.9111209,Normal,1.0,5.0,1,Top,0,2,2,1,吉川,Left,池田,Right,,,,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,"菅谷,鬼頭",6.0,,吉川,,,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,遊ゴロ,0:04:43,,https://youtu.be/IGrIsCY6k5Y&t=283,1161,https://youtu.be/hR9FRwp5es8&t=1161,23S
5,6.0,2023/5/13,30:27.6,2023/5/13,30:27.6,2.0,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,1,0.0,0.0,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,133.23948,-0.052745,-2.402168,1977.175297,143.331753,10:45,1.684727,0.602958,1.923799,-83.5788,17.8377,-11.0586,0.834117,-0.182463,122.81064,-6.182171,-3.188863,0.454788,110.40684,44.567672,138.697446,4693.741086,,,,,21.994965,,,4.1643,10.2107,-0.548707,15.24,1.678725,1.58665,-36.681027,-0.331189,0.73589,6.841902,-8.002272,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,e3ded630-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,133.38082,15.619933,,10.42884,,,,16.516272,-36.918316,3.420951,1.685399,-0.053657,-4.001136,-0.603293,1.561128,0.367945,0.363269,0.791021,0.191736,318.531719,0.363269,-16.413602,-0.184883,0.398923,-0.189477,0.186791,-0.188429,0.110291,-0.025987,0.791021,21.521786,-8.216251,0.989879,-0.267275,0.16524,-0.153801,0.088185,-0.020462,0.191736,14.421157,-2.978416,0.548627,-0.158422,0.126651,-0.130819,0.07606,-0.017711,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,6.0,2023/5/13,6.0,192.64978,899.6680751,899.668076,Normal,2.0,1.0,1,Top,1,0,0,2,本間,Right,池田,Right,,,,,Cutter,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,135,3.0,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:05:11,,https://youtu.be/IGrIsCY6k5Y&t=311,1180,https://youtu.be/hR9FRwp5es8&t=1180,23S
6,7.0,2023/5/13,30:43.4,2023/5/13,30:43.4,2.0,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,1,0.0,1.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,146.51037,-1.603529,-2.636017,2197.112591,188.463224,12:15,1.722358,0.528444,2.008684,-37.8966,46.1441,6.443,0.894965,-0.143836,133.00927,-4.501796,-2.175532,0.413999,120.43245,63.587885,116.170941,5479.160037,,,,,16.659318,,,-5.4088,26.3387,-0.473793,15.24,1.686919,1.82409,-40.27837,-1.238001,-1.138396,9.235151,-4.263154,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,ed4091f0-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,146.52202,25.856498,,13.5011,,,,16.430684,-40.550455,4.617575,1.721542,-1.1124,-2.131577,-0.528029,1.857629,-0.569198,0.425391,0.880904,0.143877,332.760663,0.425386,-6.562527,-2.36542,1.126171,-0.462285,0.206823,-0.011575,-0.050241,0.017744,0.880903,29.961665,-9.409288,1.290736,-0.275515,0.034891,0.038783,-0.034886,0.008827,0.143876,13.355512,-3.062492,0.63154,-0.136519,0.020594,0.027578,-0.026723,0.007019,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,7.0,2023/5/13,7.0,208.2536302,915.2719259,915.2719281,Normal,2.0,2.0,1,Top,1,0,1,2,本間,Right,池田,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,143,2.0,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:05:27,,https://youtu.be/IGrIsCY6k5Y&t=327,1193,https://youtu.be/hR9FRwp5es8&t=1193,23S
7,8.0,2023/5/13,31:01.1,2023/5/13,31:01.1,2.0,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,1,0.0,2.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,127.92517,-2.043684,-3.479424,2138.196329,80.649294,8:45,1.65543,0.564702,1.859347,-110.0124,1.2603,-12.0483,-0.022092,-0.537795,118.90721,-9.959225,-4.333533,0.476375,,,,,,,,,,,,3.9241,2.8894,-0.482282,15.24,1.600398,2.188371,-35.160957,-1.658505,0.636835,6.31837,-9.33773,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,f7d6fd20-f146-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,127.33661,,,9.01796,,,,16.581186,-35.401146,3.159185,1.656698,-1.303538,-4.668865,-0.565011,2.164162,0.318418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,8.0,2023/5/13,8.0,227.1844943,934.2027929,934.202795,Normal,2.0,3.0,1,Top,1,0,2,2,本間,Right,池田,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,127,19.0,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:05:45,,https://youtu.be/IGrIsCY6k5Y&t=345,1205,https://youtu.be/hR9FRwp5es8&t=1205,23S
8,9.0,2023/5/13,31:22.4,2023/5/13,31:22.4,2.0,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,1,1.0,2.0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.07695,-0.80814,-3.764793,1978.390574,119.392635,10:00,1.661102,0.569879,1.845571,-96.9003,12.4248,-16.4449,0.463592,-0.658254,119.56341,-7.825315,-4.926556,0.472188,,,,,,,,,,,,5.9801,7.9525,-0.479577,15.24,1.635693,2.406585,-35.475412,-0.858054,0.989957,6.303539,-8.490166,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,048f8500-f147-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,128.46587,,,9.51354,,,,16.594377,-35.715257,3.15177,1.662196,-0.535009,-4.245083,-0.570429,2.368918,0.494979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,9.0,2023/5/13,9.0,247.4768453,954.4951429,954.4951448,Normal,2.0,4.0,1,Top,1,1,2,2,本間,Right,池田,Right,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,128,19.0,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:06:06,,https://youtu.be/IGrIsCY6k5Y&t=366,1227,https://youtu.be/hR9FRwp5es8&t=1227,23S
9,10.0,2023/5/13,31:37.1,2023/5/13,31:37.1,2.0,5.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,1,2.0,2.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,146.93867,-1.324024,-2.529431,2226.468938,199.239148,12:45,1.686463,0.574271,1.986358,-33.6266,49.5933,16.3816,0.979479,0.030219,134.09323,-3.904614,-1.359884,0.411973,118.46359,73.252113,134.395339,5283.123474,,,,,7.259883,,,-10.4352,27.7982,-0.521373,15.24,1.656498,1.70897,-40.427862,-1.029835,-2.227421,8.767558,-3.873033,RIK,KEI_KEI,JinguStadium,TeamExclusive,Team,20230513-JinguStadium-3,0d445ef0-f147-11ed-adf5-0585fe7de792,f91f13d4-dfc2-4f33-afe7-ea8a90b10cf5,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,147.24282,20.733792,,12.84544,,,,16.453433,-40.690167,4.383779,1.685575,-0.913963,-1.936517,-0.573498,1.775609,-1.113711,0.489586,0.969078,-0.034622,345.064972,0.489587,-6.634198,-2.068056,0.92658,-0.318619,0.691468,-1.298007,1.112916,-0.362664,0.969079,31.510627,-9.640003,1.340381,-0.328869,0.38362,-0.618812,0.503359,-0.15962,-0.034622,6.775482,-1.77415,0.175013,-0.009985,-0.038045,0.10199,-0.099702,0.03463,,,,,,,,,,,,,,,,,,,,,,,水沼 大輔,10.0,2023/5/13,10.0,262.0300801,969.0483778,969.0483799,Normal,2.0,5.0,1,Top,1,2,2,2,本間,Right,池田,Right,,,,,Fastball,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,146,2.0,戸丸,菅谷,西川晋,齋藤大,鬼頭,西川侑,桑垣,鈴木唯,,0:06:21,,https://youtu.be/IGrIsCY6k5Y&t=381,1241,https://youtu.be/hR9FRwp5es8&t=1241,23S
