count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0,1.0,2023/5/21,00:55.3,2023/5/21,00:55.3,1.0,1.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,0.0,0.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,115.26501,5.629471,1.671673,2826.778363,351.661768,5:45,1.726703,-0.600218,1.79797,-202.8181,-59.4582,9.5494,1.297255,-0.031575,102.73318,-9.036491,2.345406,0.540715,,,,,,,,,,,,-3.2024,-33.0757,0.558631,15.24,1.851954,-0.961975,-31.517895,2.346379,-0.402939,6.80235,-13.968303,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,546e5b70-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,112.18474,,,12.53183,,,,16.642811,-31.819216,3.401175,1.734313,2.965128,-6.984152,0.600848,-0.944126,-0.20147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,1.0,2023/5/21,1.0,119.474503,119.333962,120.292341,Normal,1.0,1.0,1,Top,0,0,0,1,酒井捷,Left,尾﨑,Left,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,116,12.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:10:13,,https://youtu.be/TEBQVrpkxvg&t=613,1032,https://youtu.be/wDISifzhZgE&t=1032,23S
1,2.0,2023/5/21,01:08.6,2023/5/21,01:08.6,1.0,2.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,144.99298,-2.72602,3.401353,2352.649165,155.123086,11:15,1.692304,-0.630652,1.847024,-35.7107,53.1669,-23.0715,0.564241,0.099292,130.03207,-5.473972,1.770181,0.425746,,,,,,,,,,,,14.6931,30.587,0.551527,15.24,1.625371,-2.241049,-39.715608,-1.996912,2.972368,9.857902,-3.619014,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,5c505500-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,142.47924,,,14.96092,,,,16.591473,-40.049655,4.928951,1.690961,-1.874277,-1.809507,0.629174,-2.341771,1.486184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,2.0,2023/5/21,2.0,132.5810909,132.4405582,133.3989367,Normal,1.0,2.0,1,Top,0,1,0,1,酒井捷,Left,尾﨑,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,146,7.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:10:26,,https://youtu.be/TEBQVrpkxvg&t=626,1045,https://youtu.be/wDISifzhZgE&t=1045,23S
2,3.0,2023/5/21,01:18.7,2023/5/21,01:18.7,1.0,3.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1.0,1.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,144.93182,-1.85828,2.85931,2350.14287,168.595265,11:30,1.70216,-0.637812,1.846967,-30.2705,58.3474,-11.1012,0.87439,0.058468,130.1125,-4.222613,2.07417,0.425124,,,,,,,,,,,,7.8891,32.0745,0.570686,15.24,1.655881,-1.922352,-39.722084,-1.355115,1.602541,9.570533,-3.291214,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,6259be00-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,142.68789,,,14.81932,,,,16.5898,-40.045981,4.785266,1.699858,-1.24373,-1.645607,0.636662,-1.976587,0.80127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,3.0,2023/5/21,3.0,142.3457069,142.205168,143.1635468,Normal,1.0,3.0,1,Top,0,1,1,1,酒井捷,Left,尾﨑,Left,,,,,Fastball,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,147,4.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:10:36,,https://youtu.be/TEBQVrpkxvg&t=636,1055,https://youtu.be/wDISifzhZgE&t=1055,23S
3,4.0,2023/5/21,01:33.4,2023/5/21,01:33.4,1.0,4.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,1.0,2.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,118.05373,4.23835,0.197981,2853.249766,343.964209,5:30,1.732712,-0.554843,1.926126,-190.5287,-57.6357,17.9804,1.019406,-0.319461,106.36291,-9.62596,1.480219,0.520602,,,,,,,,,,,,-9.0309,-31.6086,0.549542,15.24,1.817222,-0.187477,-32.411569,1.718356,-1.209493,6.867144,-14.039934,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,6b25f080-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,116.51899,,,11.69082,,,,16.515072,-32.680606,3.433572,1.739127,2.268404,-7.019967,0.555959,-0.140092,-0.604747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,4.0,2023/5/21,4.0,157.8505242,157.7099841,158.6683619,Normal,1.0,4.0,1,Top,0,1,2,1,酒井捷,Left,尾﨑,Left,,,,,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,118,16.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:10:51,,https://youtu.be/TEBQVrpkxvg&t=651,1064,https://youtu.be/wDISifzhZgE&t=1064,23S
4,5.0,2023/5/21,01:46.3,2023/5/21,01:46.3,1.0,5.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Suguru, Sakai",1000126414,Left,TOK,Undefined,1,Top,0,2.0,2.0,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,147.4294,-1.950343,4.372501,2420.104938,163.832018,11:30,1.703873,-0.646509,1.857799,-30.0844,55.1419,-15.1107,0.851381,0.437454,133.17152,-4.280141,3.306211,0.416909,,,,,,,,,,,,11.1684,30.7504,0.544622,15.24,1.655997,-3.01005,-40.395288,-1.458871,2.358539,9.482546,-3.312808,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,72d98710-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,145.49932,,,14.25788,,,,16.580997,-40.708862,4.741273,1.702429,-1.349321,-1.656404,0.645449,-3.088043,1.17927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.32465,,,1.035693,,,,-0.021606,1.715128,-1.310188,21.055664,1.176234,-16.976364,-0.009856,21.552207,-1.167558,1.729275,3.865743,-4.243492,-1.330873,-16.808491,1.637703,上野 達也,5.0,2023/5/21,5.0,170.3697331,170.229192,171.1875699,Normal,1.0,5.0,1,Top,0,2,2,1,酒井捷,Left,尾﨑,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Strikeout,0,0,,,,,147,4.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,見三振,0:11:04,,https://youtu.be/TEBQVrpkxvg&t=664,1076,https://youtu.be/wDISifzhZgE&t=1076,23S
5,6.0,2023/5/21,02:10.5,2023/5/21,02:10.5,2.0,1.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,0.0,0.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,145.28018,-2.518551,2.574105,2338.312811,162.431263,11:30,1.703276,-0.670829,1.842311,-31.2605,55.9529,-16.7791,0.678797,-0.111758,132.04048,-4.921578,1.386963,0.421742,,,,,,,,,,,,10.5196,31.5074,0.610746,15.24,1.641343,-1.707643,-39.887583,-1.843171,2.177759,8.824598,-3.284006,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,81367020-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,143.83216,,,13.2397,,,,16.596855,-40.186647,4.412299,1.701922,-1.731877,-1.642003,0.669869,-1.781447,1.08888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,6.0,2023/5/21,6.0,194.9439549,194.803416,195.7617939,Normal,2.0,1.0,1,Top,1,0,0,2,矢追,Right,尾﨑,Left,,,,,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,140,8.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:11:28,,https://youtu.be/TEBQVrpkxvg&t=688,1089,https://youtu.be/wDISifzhZgE&t=1089,23S
6,7.0,2023/5/21,02:19.7,2023/5/21,02:19.7,2.0,2.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,0.0,1.0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,110.7737,4.068555,-0.391288,2760.812139,338.562948,5:15,1.730012,-0.590002,1.887422,-207.8756,-56.2935,24.3032,0.798092,-0.457079,100.2317,-11.012498,1.339692,0.556005,,,,,,,,,,,,-12.7705,-30.5279,0.597644,15.24,1.811629,0.111276,-30.418526,1.458399,-1.506327,6.052234,-13.407532,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,86c774d0-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,109.09975,,,10.542,,,,16.554119,-30.678876,3.026117,1.736487,2.035153,-6.703766,0.591463,0.176074,-0.753164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,7.0,2023/5/21,7.0,207.154079,207.0135381,207.9719167,Normal,2.0,2.0,1,Top,1,0,1,2,矢追,Right,尾﨑,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,※,12.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:11:37,,https://youtu.be/TEBQVrpkxvg&t=697,1098,https://youtu.be/wDISifzhZgE&t=1098,23S
7,8.0,2023/5/21,02:29.9,2023/5/21,02:29.9,2.0,3.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,1.0,1.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,145.57657,-1.855259,2.821325,2368.294235,164.129763,11:30,1.676748,-0.604974,1.814801,-28.8944,58.3408,-15.7394,0.862567,0.035767,132.0296,-4.094384,1.71017,0.421794,97.77217,36.035602,118.60529,4062.25465,-20.304731,10.012962,26.680305,47.219689,21.873171,131.115293,2.89124,10.1758,32.159,0.537645,15.24,1.629804,-1.888258,-39.9675,-1.372571,2.112139,8.967431,-3.131555,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,8cca7530-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,143.81422,11.209729,,13.54697,,,,16.624331,-40.276902,4.483715,1.675298,-1.264523,-1.565778,0.604052,-1.961133,1.05607,0.091488,0.817155,-0.052077,303.121197,0.091487,-10.514568,-0.832776,0.489631,-0.132155,0.016741,0.002782,-0.001161,0.000117,0.817174,15.97642,-6.834139,0.641247,-0.089446,-0.01261,0.01284,-0.003274,0.000296,-0.052039,19.280681,-3.37927,0.591824,-0.151161,0.065705,-0.035254,0.009865,-0.001013,,,,,,,,,,,,,,,,,,,,,,,上野 達也,8.0,2023/5/21,8.0,213.6562171,213.5156779,214.474057,Normal,2.0,3.0,1,Top,1,1,1,2,矢追,Right,尾﨑,Left,,,,,Fastball,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,141,4.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:11:48,,https://youtu.be/TEBQVrpkxvg&t=708,1109,https://youtu.be/wDISifzhZgE&t=1109,23S
8,9.0,2023/5/21,02:47.6,2023/5/21,02:47.6,2.0,4.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Shunsuke, Yaoi",1000091930,Right,TOK,Undefined,1,Top,1,1.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,143.51627,-2.680678,2.459809,2292.855982,162.830179,11:30,1.670392,-0.634931,1.851339,-38.5649,52.2673,-15.0483,0.527469,-0.091254,128.39388,-5.640014,1.394167,0.430402,122.23983,-44.497215,-10.984157,,,,,0.663655,0.284923,-1.180702,0.020875,9.8846,30.2489,0.577831,15.24,1.604653,-1.613028,-39.33251,-1.957164,1.953548,9.960814,-3.828379,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,97543630-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,140.93794,0.497809,,15.12239,,,,16.587077,-39.672186,4.980407,1.669169,-1.826612,-1.91419,0.633973,-1.679646,0.976774,0.166172,0.497809,0.082856,,0.16601,23.824669,,,,,,,,0.497972,-23.847041,,,,,,,,0.082887,-4.62421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,9.0,2023/5/21,9.0,231.5114009,231.3708611,232.3292389,Normal,2.0,4.0,1,Top,1,1,2,2,矢追,Right,尾﨑,Left,,,,,Fastball,InPlay,GroundBall,Out,Undefined,1,0,今泉,6.0,,矢追,※,8.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,遊ゴロ,0:12:05,,https://youtu.be/TEBQVrpkxvg&t=725,1118,https://youtu.be/wDISifzhZgE&t=1118,23S
9,10.0,2023/5/21,03:13.6,2023/5/21,03:13.6,3.0,1.0,"Kanta, Ozaki",1000089950,Left,HOS_HOS,"Atsuto, Ooi",1000101213,Left,TOK,Undefined,1,Top,2,0.0,0.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.91737,-0.650515,3.41613,2330.0462,158.176776,11:15,1.694308,-0.628716,1.867197,-33.7478,54.098,-20.2786,1.173213,0.132136,129.91743,-3.282498,1.981121,0.423268,,,,,,,,,,,,13.3851,29.3077,0.550186,15.24,1.676964,-2.279887,-39.985905,-0.542606,2.729405,10.42333,-3.830412,HOS_HOS,TOK,JinguStadium,TeamExclusive,Team,20230521-JinguStadium-4,a6caf3b0-f77b-11ed-b7e0-959827bc1312,9bff1eaf-a9c1-45b4-bf65-036c5cccd7a9,v3,,,,"Ryoya, Yoshiyasu",1000101184,Right,HOS_HOS,143.31359,,,15.99994,,,,16.570686,-40.33129,5.211665,1.692841,-0.415682,-1.915206,0.62723,-2.370328,1.364703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,10.0,2023/5/21,10.0,257.6007769,257.4602351,258.4186139,Normal,3.0,1.0,1,Top,2,0,0,3,大井,Left,尾﨑,Left,,,,,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,147,12.0,吉安,内海貴,藤森康,武川,今泉,内海壮,中津,姫木,,0:12:31,,https://youtu.be/TEBQVrpkxvg&t=751,1132,https://youtu.be/wDISifzhZgE&t=1132,23S
