count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,n_time,n_URL,season
0.0,1.0,2023/6/19,03:03.0,2023/6/19,03:03.0,1.0,1.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Nanato, Sakakibara",1000242816.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,0.0,0.0,Curveball,,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136520.0,榊原 啓資,1.0,2023/6/19,1.0,183.0376282,183.0376341,183.0376351,Normal,1.0,1.0,1.0,Top,0.0,0.0,0.0,1.0,榊原,Right,中澤,Left,,,,,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,100,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1061.0,https://youtu.be/c4QiwNeQb6w&t=1061,23SF
1.0,2.0,2023/6/19,03:13.0,2023/6/19,03:13.0,1.0,2.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Nanato, Sakakibara",1000242816.0,Left,MEI_MEI,Undefined,1.0,Top,0.0,0.0,1.0,Slider,,InPlay,Undefined,LineDrive,,Double,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136530.0,榊原 啓資,2.0,2023/6/19,2.0,193.4231741,193.4231822,193.4231842,Normal,1.0,2.0,1.0,Top,0.0,0.0,1.0,1.0,榊原,Right,中澤,Left,,,,,Slider,InPlay,LineDrive,Double,Undefined,0.0,0.0,椎名,9.0,,榊原,119,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,右2,,,1072.0,https://youtu.be/c4QiwNeQb6w&t=1072,23SF
2.0,3.0,2023/6/19,03:49.0,2023/6/19,03:49.0,2.0,1.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Seiya, Fukuhara",1000242807.0,Right,MEI_MEI,Undefined,1.0,Top,0.0,0.0,0.0,Slider,,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136566.0,榊原 啓資,3.0,2023/6/19,3.0,229.3639681,229.3639753,229.363977,Normal,2.0,1.0,1.0,Top,0.0,0.0,0.0,2.0,福原,Right,中澤,Left,2,,榊原,,Slider,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,112,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1108.0,https://youtu.be/c4QiwNeQb6w&t=1108,23SF
3.0,4.0,2023/6/19,04:08.0,2023/6/19,04:08.0,2.0,2.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Seiya, Fukuhara",1000242807.0,Right,MEI_MEI,Undefined,1.0,Top,0.0,0.0,1.0,Slider,,BallinDirt,Undefined,Undefined,,Undefined,0.0,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136585.0,榊原 啓資,4.0,2023/6/19,4.0,248.4580023,248.4580081,248.4580102,Normal,2.0,2.0,1.0,Top,0.0,0.0,1.0,2.0,福原,Right,中澤,Left,2,,榊原,,Slider,BallinDirt,Undefined,Undefined,Undefined,0.0,0.0,吉田,,WildPitch,榊原,112,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1127.0,https://youtu.be/c4QiwNeQb6w&t=1127,23SF
4.0,5.0,2023/6/19,04:28.0,2023/6/19,04:28.0,2.0,3.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Seiya, Fukuhara",1000242807.0,Right,MEI_MEI,Undefined,1.0,Top,0.0,1.0,1.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136606.0,榊原 啓資,5.0,2023/6/19,5.0,268.9073243,268.90733,268.9073322,Normal,2.0,3.0,1.0,Top,0.0,1.0,1.0,2.0,福原,Right,中澤,Left,3,,,榊原,Fastball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,121,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1147.0,https://youtu.be/c4QiwNeQb6w&t=1147,23SF
5.0,6.0,2023/6/19,04:48.0,2023/6/19,04:48.0,2.0,4.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Seiya, Fukuhara",1000242807.0,Right,MEI_MEI,Undefined,1.0,Top,0.0,2.0,1.0,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136625.0,榊原 啓資,6.0,2023/6/19,6.0,288.1395681,288.1395793,288.1395812,Normal,2.0,4.0,1.0,Top,0.0,2.0,1.0,2.0,福原,Right,中澤,Left,3,,,榊原,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,129,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1166.0,https://youtu.be/c4QiwNeQb6w&t=1166,23SF
6.0,7.0,2023/6/19,05:04.0,2023/6/19,05:04.0,2.0,5.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Seiya, Fukuhara",1000242807.0,Right,MEI_MEI,Undefined,1.0,Top,0.0,2.0,2.0,Fastball,,InPlay,Undefined,FlyBall,,Out,1.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136641.0,榊原 啓資,7.0,2023/6/19,7.0,304.224756,304.2247612,304.2247622,Normal,2.0,5.0,1.0,Top,0.0,2.0,2.0,2.0,福原,Right,中澤,Left,3,,,榊原,Fastball,InPlay,FlyBall,Out,Undefined,1.0,0.0,松江,8.1,,"榊原,福原",130,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,中飛,,,1182.0,https://youtu.be/c4QiwNeQb6w&t=1182,23SF
7.0,8.0,2023/6/19,05:25.0,2023/6/19,05:25.0,3.0,1.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Shogo, Yoshida",1000242800.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,0.0,0.0,Curveball,,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136662.0,榊原 啓資,8.0,2023/6/19,8.0,325.652297,325.6523051,325.652308,Normal,3.0,1.0,1.0,Top,1.0,0.0,0.0,3.0,吉田,Right,中澤,Left,3,,,榊原,Curveball,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,106,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1204.0,https://youtu.be/c4QiwNeQb6w&t=1204,23SF
8.0,9.0,2023/6/19,05:41.0,2023/6/19,05:41.0,3.0,2.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Shogo, Yoshida",1000242800.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,1.0,0.0,Curveball,,StrikeCalled,Undefined,Undefined,,Undefined,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136678.0,榊原 啓資,9.0,2023/6/19,9.0,341.1777971,341.177804,341.1778061,Normal,3.0,2.0,1.0,Top,1.0,1.0,0.0,3.0,吉田,Right,中澤,Left,3,,,榊原,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,105,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1219.0,https://youtu.be/c4QiwNeQb6w&t=1219,23SF
9.0,10.0,2023/6/19,05:54.0,2023/6/19,05:54.0,3.0,3.0,"Kai, Nakazawa",1000126612.0,Left,WAS_EDA,"Shogo, Yoshida",1000242800.0,Left,MEI_MEI,Undefined,1.0,Top,1.0,1.0,1.0,Slider,,BallCalled,Undefined,Undefined,,Undefined,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,MEI_MEI,JinguStadium,TeamExclusive,Team,20230619-JinguStadium-1,,a5ec309e-9d3d-43d5-aef1-265a29fd980b,v3,,,,"Mizuki, Yoshida",1000126618.0,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687136691.0,榊原 啓資,10.0,2023/6/19,10.0,354.5046031,354.5046101,354.5046122,Normal,3.0,3.0,1.0,Top,1.0,1.0,1.0,3.0,吉田,Right,中澤,Left,3,,,榊原,Slider,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,,,,111,,吉田,田村,大内,岡西,岩崎遼,石郷岡,松江,椎名,,,,1233.0,https://youtu.be/c4QiwNeQb6w&t=1233,23SF
