count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa
0,1.0,2024/10/5,0:16:37,2024/10/5,0:16:37,1.0,1.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Suguru, Sakai",1000242175,Left,TOK,Undefined,1,Top,0,0.0,0.0,Undefined,,FoulBall,Undefined,FlyBall,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728103937,深沢 俊一,1.0,1.0,2024/10/5,997.0,624.9570298,1728103937,1.0,1.0,渡辺和,Left,KEI_KEI,1,酒井,Left,TOK,1,Top,0,0,0,Undefined,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,,,,,Undefined,,,,,,2427810000,ファール,,996,https://youtu.be/77hD2rQ6ioc&t=996,1013,https://youtu.be/fFKMQ9HEosc&t=1013,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
1,2.0,2024/10/5,0:16:49,2024/10/5,0:16:49,1.0,2.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Suguru, Sakai",1000242175,Left,TOK,Undefined,1,Top,0,0.0,1.0,Undefined,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728103950,深沢 俊一,2.0,2.0,2024/10/5,1009.914154,637.8711839,1728103950,1.0,2.0,渡辺和,Left,KEI_KEI,1,酒井,Left,TOK,1,Top,0,0,1,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427810001,見逃し,,1009,https://youtu.be/77hD2rQ6ioc&t=1009,1022,https://youtu.be/fFKMQ9HEosc&t=1022,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
2,3.0,2024/10/5,0:16:57,2024/10/5,0:16:57,1.0,3.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Suguru, Sakai",1000242175,Left,TOK,Undefined,1,Top,0,0.0,2.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728103958,深沢 俊一,3.0,3.0,2024/10/5,1017.913575,645.870604,1728103958,1.0,3.0,渡辺和,Left,KEI_KEI,1,酒井,Left,TOK,1,Top,0,0,2,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427810002,ボール,,1017,https://youtu.be/77hD2rQ6ioc&t=1017,1030,https://youtu.be/fFKMQ9HEosc&t=1030,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
3,4.0,2024/10/5,0:17:07,2024/10/5,0:17:07,1.0,4.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Suguru, Sakai",1000242175,Left,TOK,Undefined,1,Top,0,1.0,2.0,Undefined,,FoulBall,Undefined,FlyBall,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728103968,深沢 俊一,4.0,4.0,2024/10/5,1027.182733,655.1397619,1728103968,1.0,4.0,渡辺和,Left,KEI_KEI,1,酒井,Left,TOK,1,Top,0,1,2,Undefined,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,,,,,Undefined,,,,,,2427810003,ファール,,1027,https://youtu.be/77hD2rQ6ioc&t=1027,1040,https://youtu.be/fFKMQ9HEosc&t=1040,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
4,5.0,2024/10/5,0:17:36,2024/10/5,0:17:36,1.0,5.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Suguru, Sakai",1000242175,Left,TOK,Undefined,1,Top,0,1.0,2.0,Undefined,,InPlay,Undefined,GroundBall,,Single,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728103997,深沢 俊一,5.0,5.0,2024/10/5,1056.362383,684.3194118,1728103997,1.0,5.0,渡辺和,Left,KEI_KEI,1,酒井,Left,TOK,1,Top,0,1,2,Undefined,InPlay,Undefined,GroundBall,Single,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,,,,,Undefined,,,,9,9,2427810004,右安,,1056,https://youtu.be/77hD2rQ6ioc&t=1056,1052,https://youtu.be/fFKMQ9HEosc&t=1052,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
5,6.0,2024/10/5,0:18:20,2024/10/5,0:18:20,2.0,1.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Shinnosuke, Yamaguchi",1000101217,Left,TOK,Undefined,1,Top,0,0.0,0.0,Undefined,,FoulBall,Undefined,FlyBall,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728104041,深沢 俊一,6.0,6.0,2024/10/5,1100.684822,728.6418519,1728104041,2.0,1.0,渡辺和,Left,KEI_KEI,2,山口真,Left,TOK,1,Top,0,0,0,Undefined,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,1,酒井,,,Undefined,,,,,,2427810005,ファール,,1100,https://youtu.be/77hD2rQ6ioc&t=1100,1078,https://youtu.be/fFKMQ9HEosc&t=1078,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
6,7.0,2024/10/5,0:18:40,2024/10/5,0:18:40,2.0,2.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Shinnosuke, Yamaguchi",1000101217,Left,TOK,Undefined,1,Top,0,0.0,1.0,Undefined,,InPlay,Undefined,FlyBall,,Single,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728104061,深沢 俊一,7.0,7.0,2024/10/5,1120.777966,748.7349958,1728104061,2.0,2.0,渡辺和,Left,KEI_KEI,2,山口真,Left,TOK,1,Top,0,0,1,Undefined,InPlay,Undefined,FlyBall,Single,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,1,酒井,,,Undefined,,,,8,8,2427810006,中安,,1120,https://youtu.be/77hD2rQ6ioc&t=1120,1089,https://youtu.be/fFKMQ9HEosc&t=1089,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
7,8.0,2024/10/5,0:19:24,2024/10/5,0:19:24,3.0,1.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Taiyo, Nakayama",1000242863,Left,TOK,Undefined,1,Top,0,0.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728104104,深沢 俊一,8.0,8.0,2024/10/5,1164.024437,791.9814668,1728104104,3.0,1.0,渡辺和,Left,KEI_KEI,3,中山,Left,TOK,1,Top,0,0,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,"1,2",山口真,酒井,,Nothing,,,,,,2427810007,ボール,,1163,https://youtu.be/77hD2rQ6ioc&t=1163,1113,https://youtu.be/fFKMQ9HEosc&t=1113,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
8,9.0,2024/10/5,0:19:40,2024/10/5,0:19:40,3.0,2.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Taiyo, Nakayama",1000242863,Left,TOK,Undefined,1,Top,0,1.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728104121,深沢 俊一,9.0,9.0,2024/10/5,1180.324887,808.2819169,1728104121,3.0,2.0,渡辺和,Left,KEI_KEI,3,中山,Left,TOK,1,Top,0,1,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,"1,2",山口真,酒井,,Nothing,,,,,,2427810008,ボール,,1180,https://youtu.be/77hD2rQ6ioc&t=1180,1130,https://youtu.be/fFKMQ9HEosc&t=1130,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
9,10.0,2024/10/5,0:19:59,2024/10/5,0:19:59,3.0,3.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Taiyo, Nakayama",1000242863,Left,TOK,Undefined,1,Top,0,2.0,0.0,Undefined,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20241005-JinguStadium-2,,,,,,,"Kei, Watanabe",1000325904,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728104140,深沢 俊一,10.0,10.0,2024/10/5,1199.183139,827.140168,1728104140,3.0,3.0,渡辺和,Left,KEI_KEI,3,中山,Left,TOK,1,Top,0,2,0,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,秋季リーグ戦,Normal,"1,2",山口真,酒井,,Nothing,,,,,,2427810009,見逃し,,1199,https://youtu.be/77hD2rQ6ioc&t=1199,1149,https://youtu.be/fFKMQ9HEosc&t=1149,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地,"小原,吉野,水鳥,清原,横地,佐藤,渡辺憩,斎藤快,渡辺和","酒井,山口真,中山,内田,大原,杉浦,門田,渡辺,小村","渡辺和,渡辺憩,清原,吉野,水鳥,斎藤快,小原,佐藤,横地","渡辺,杉浦,門田,山口真,内田,小村,中山,酒井,大原","R,L,L,L,R,L,R,R,R,L","L,L,L,L,R,R,R,R,R,L"
