count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa
0,1.0,2024/10/5,0:08:20,2024/10/5,0:08:20,1.0,1.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Shinnosuke, Sugaya",1000101300,Left,RIK,Undefined,1,Top,0,0.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093659,瀧口 耕介,1.0,1.0,2024/10/5,500.9994481,500.999449,1728093659,1.0,1.0,伊藤樹,Right,WAS_EDA,1,菅谷,Left,RIK,1,Top,0,0,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427803000,ボール,,1010.0,https://youtu.be/dBOacyrRBAE&t=1010,1009,https://youtu.be/nK8RPMH4XgI&t=1009,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
1,2.0,2024/10/5,0:08:30,2024/10/5,0:08:30,1.0,2.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Shinnosuke, Sugaya",1000101300,Left,RIK,Undefined,1,Top,0,1.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093668,瀧口 耕介,2.0,2.0,2024/10/5,510.8564041,510.856405,1728093668,1.0,2.0,伊藤樹,Right,WAS_EDA,1,菅谷,Left,RIK,1,Top,0,1,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427803001,ボール,,1019.0,https://youtu.be/dBOacyrRBAE&t=1019,1018,https://youtu.be/nK8RPMH4XgI&t=1018,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
2,3.0,2024/10/5,0:08:42,2024/10/5,0:08:42,1.0,3.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Shinnosuke, Sugaya",1000101300,Left,RIK,Undefined,1,Top,0,2.0,0.0,Undefined,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093680,瀧口 耕介,3.0,3.0,2024/10/5,522.2846999,522.2847009,1728093680,1.0,3.0,伊藤樹,Right,WAS_EDA,1,菅谷,Left,RIK,1,Top,0,2,0,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427803002,見逃し,,1031.0,https://youtu.be/dBOacyrRBAE&t=1031,1030,https://youtu.be/nK8RPMH4XgI&t=1030,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
3,4.0,2024/10/5,0:08:54,2024/10/5,0:08:54,1.0,4.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Shinnosuke, Sugaya",1000101300,Left,RIK,Undefined,1,Top,0,2.0,1.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093692,瀧口 耕介,4.0,4.0,2024/10/5,534.2741959,534.2741971,1728093692,1.0,4.0,伊藤樹,Right,WAS_EDA,1,菅谷,Left,RIK,1,Top,0,2,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427803003,ボール,,1043.0,https://youtu.be/dBOacyrRBAE&t=1043,1042,https://youtu.be/nK8RPMH4XgI&t=1042,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
4,5.0,2024/10/5,0:09:06,2024/10/5,0:09:06,1.0,5.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Shinnosuke, Sugaya",1000101300,Left,RIK,Undefined,1,Top,0,3.0,1.0,Undefined,,HitByPitch,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093704,瀧口 耕介,5.0,5.0,2024/10/5,546.1030872,546.1030881,1728093704,1.0,5.0,伊藤樹,Right,WAS_EDA,1,菅谷,Left,RIK,1,Top,0,3,1,Undefined,HitByPitch,Undefined,Undefined,Undefined,0,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427803004,死球,,1055.0,https://youtu.be/dBOacyrRBAE&t=1055,1054,https://youtu.be/nK8RPMH4XgI&t=1054,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
5,6.0,2024/10/5,0:09:41,2024/10/5,0:09:41,2.0,1.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Yuki, Kito",1000101297,Left,RIK,Undefined,1,Top,0,0.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093740,瀧口 耕介,6.0,6.0,2024/10/5,581.9301529,581.9301541,1728093740,2.0,1.0,伊藤樹,Right,WAS_EDA,2,鬼頭,Left,RIK,1,Top,0,0,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,A2B,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,1,菅谷,,,Nothing,,,,,,2427803005,ボール,,1091.0,https://youtu.be/dBOacyrRBAE&t=1091,1071,https://youtu.be/nK8RPMH4XgI&t=1071,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
6,,2024/10/5,0:10:01,2024/10/5,0:10:01,,,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Yuki, Kito",1000101297,Left,RIK,,1,Top,0,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093760,瀧口 耕介,,,2024/10/5,601.9705799,601.970582,1728093760,,,伊藤樹,Right,WAS_EDA,2,鬼頭,Left,RIK,1,Top,0,1,0,,,,,,0,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,1,菅谷,,,PickOff,,,,"1,3","1,3",2427803006,牽制,,1111.0,https://youtu.be/dBOacyrRBAE&t=1111,1091,https://youtu.be/nK8RPMH4XgI&t=1091,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
7,7.0,2024/10/5,0:10:18,2024/10/5,0:10:18,2.0,2.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Yuki, Kito",1000101297,Left,RIK,Undefined,1,Top,0,1.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093776,瀧口 耕介,7.0,7.0,2024/10/5,618.0016119,618.0016131,1728093776,2.0,2.0,伊藤樹,Right,WAS_EDA,2,鬼頭,Left,RIK,1,Top,0,1,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,1,菅谷,,,Nothing,,,,,,2427803007,ボール,,1127.0,https://youtu.be/dBOacyrRBAE&t=1127,1107,https://youtu.be/nK8RPMH4XgI&t=1107,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
8,8.0,2024/10/5,0:10:47,2024/10/5,0:10:47,2.0,3.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Yuki, Kito",1000101297,Left,RIK,Undefined,1,Top,0,2.0,0.0,Undefined,,InPlay,Undefined,Bunt,,FieldersChoice,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093805,瀧口 耕介,8.0,8.0,2024/10/5,647.356498,647.356499,1728093805,2.0,3.0,伊藤樹,Right,WAS_EDA,2,鬼頭,Left,RIK,1,Top,0,2,0,Undefined,InPlay,Undefined,Bunt,FieldersChoice,0,0,A2B,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,1,菅谷,,,Undefined,,,,"5,6,3","5,6,3",2427803008,三野選,,1156.0,https://youtu.be/dBOacyrRBAE&t=1156,1136,https://youtu.be/nK8RPMH4XgI&t=1136,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
9,9.0,2024/10/5,0:11:35,2024/10/5,0:11:35,3.0,1.0,"Tatsuki, Ito",1000126605,Right,WAS_EDA,"Yuito, Suzuki",1000126716,Left,RIK,Undefined,1,Top,0,0.0,0.0,Undefined,,InPlay,Undefined,FlyBall,,Out,1,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS_EDA,RIK,JinguStadium,Team,TeamExclusive,20241005-JinguStadium-1,,,,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728093853,瀧口 耕介,9.0,9.0,2024/10/5,695.076158,695.076159,1728093853,3.0,1.0,伊藤樹,Right,WAS_EDA,3,鈴木唯,Left,RIK,1,Top,0,0,0,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,WAS_EDA,#470004,早稲田,RIK,#101f56,立教,JinguStadium,A,秋季リーグ戦,Normal,"1,2",鬼頭,菅谷,,Undefined,,,,7,7,2427803009,左飛,,1204.0,https://youtu.be/dBOacyrRBAE&t=1204,1168,https://youtu.be/nK8RPMH4XgI&t=1168,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納,"尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,伊藤樹","菅谷,鬼頭,鈴木唯,西川,小林隼,柴田,田中祥,戸丸,小畠","伊藤樹,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","小畠,戸丸,鬼頭,田中祥,柴田,小林隼,西川,鈴木唯,菅谷","R,L,R,L,R,L,L,L,L,R","R,L,L,L,R,R,L,L,R,R"
