count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa
0,1.0,2024/10/6,0:12:23,2024/10/6,0:12:23,1.0,1.0,"Rei, Okoshi",1000242818,Right,RIK,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,0.0,0.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728189879,榊原 啓資,1.0,1.0,2024/10/6,743.174479,743.1744828,1728189879,1.0,1.0,大越,Right,RIK,1,尾瀬,Left,WAS_EDA,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.55,0.473,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427913000,ボール,,819,https://youtu.be/YUioKgjbE8E&t=819,990,https://youtu.be/XHNcaWPWt3I&t=990,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
1,2.0,2024/10/6,0:12:34,2024/10/6,0:12:34,1.0,2.0,"Rei, Okoshi",1000242818,Right,RIK,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,1.0,0.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728189890,榊原 啓資,2.0,2.0,2024/10/6,754.2423599,754.242362,1728189890,1.0,2.0,大越,Right,RIK,1,尾瀬,Left,WAS_EDA,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.17,0.653,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427913001,ボール,,830,https://youtu.be/YUioKgjbE8E&t=830,1001,https://youtu.be/XHNcaWPWt3I&t=1001,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
2,3.0,2024/10/6,0:12:45,2024/10/6,0:12:45,1.0,3.0,"Rei, Okoshi",1000242818,Right,RIK,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,2.0,0.0,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728189901,榊原 啓資,3.0,3.0,2024/10/6,765.491509,765.4915109,1728189901,1.0,3.0,大越,Right,RIK,1,尾瀬,Left,WAS_EDA,1,Top,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.582,0.204,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2427913002,見逃し,,841,https://youtu.be/YUioKgjbE8E&t=841,1012,https://youtu.be/XHNcaWPWt3I&t=1012,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
3,4.0,2024/10/6,0:12:56,2024/10/6,0:12:56,1.0,4.0,"Rei, Okoshi",1000242818,Right,RIK,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,1,Top,0,2.0,1.0,Fastball,,InPlay,Undefined,FlyBall,,Double,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728189912,榊原 啓資,4.0,4.0,2024/10/6,776.0555811,776.0555818,1728189912,1.0,4.0,大越,Right,RIK,1,尾瀬,Left,WAS_EDA,1,Top,0,2,1,Fastball,InPlay,Undefined,FlyBall,Double,0,0,,,0.506,0.1,76.71034586,-37.97160376,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,,,,,Undefined,,,,7,7,2427913003,左2,,852,https://youtu.be/YUioKgjbE8E&t=852,1023,https://youtu.be/XHNcaWPWt3I&t=1023,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
4,,2024/10/6,0:13:44,2024/10/6,0:13:44,,,"Rei, Okoshi",1000242818,Right,RIK,"Syu, Yamagata",1000126593,Right,WAS_EDA,,1,Top,0,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728189960,榊原 啓資,,,2024/10/6,824.3494661,824.349467,1728189960,,,大越,Right,RIK,2,山縣,Right,WAS_EDA,1,Top,0,0,0,,,,,,0,0,,,,,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,2,,尾瀬,,PickOff,,,,"1,6","1,6",2427913004,牽制,,900,https://youtu.be/YUioKgjbE8E&t=900,1047,https://youtu.be/XHNcaWPWt3I&t=1047,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
5,5.0,2024/10/6,0:14:02,2024/10/6,0:14:02,2.0,1.0,"Rei, Okoshi",1000242818,Right,RIK,"Syu, Yamagata",1000126593,Right,WAS_EDA,Undefined,1,Top,0,0.0,0.0,Fastball,,HitByPitch,Undefined,Undefined,,Undefined,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728189979,榊原 啓資,5.0,5.0,2024/10/6,842.7172499,842.7172511,1728189979,2.0,1.0,大越,Right,RIK,2,山縣,Right,WAS_EDA,1,Top,0,0,0,Fastball,HitByPitch,Undefined,Undefined,Undefined,0,0,,,0.75,1.093,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,2,,尾瀬,,Nothing,,,,,,2427913005,死球,,919,https://youtu.be/YUioKgjbE8E&t=919,1066,https://youtu.be/XHNcaWPWt3I&t=1066,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
6,6.0,2024/10/6,0:15:29,2024/10/6,0:15:29,3.0,1.0,"Rei, Okoshi",1000242818,Right,RIK,"Tsubasa, Yoshino",1000101225,Left,WAS_EDA,Undefined,1,Top,0,0.0,0.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728190066,榊原 啓資,6.0,6.0,2024/10/6,929.7191811,929.719182,1728190066,3.0,1.0,大越,Right,RIK,3,吉納,Left,WAS_EDA,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.363,0.467,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,"1,2",山縣,尾瀬,,Nothing,,,,,,2427913006,ボール,,1006,https://youtu.be/YUioKgjbE8E&t=1006,1109,https://youtu.be/XHNcaWPWt3I&t=1109,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
7,7.0,2024/10/6,0:15:50,2024/10/6,0:15:50,3.0,2.0,"Rei, Okoshi",1000242818,Right,RIK,"Tsubasa, Yoshino",1000101225,Left,WAS_EDA,Undefined,1,Top,0,1.0,0.0,Slider,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728190087,榊原 啓資,7.0,7.0,2024/10/6,950.9314742,950.9314749,1728190087,3.0,2.0,大越,Right,RIK,3,吉納,Left,WAS_EDA,1,Top,0,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.642,-0.236,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,"1,2",山縣,尾瀬,,Nothing,,,,,,2427913007,見逃し,,1027,https://youtu.be/YUioKgjbE8E&t=1027,1130,https://youtu.be/XHNcaWPWt3I&t=1130,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
8,8.0,2024/10/6,0:16:10,2024/10/6,0:16:10,3.0,3.0,"Rei, Okoshi",1000242818,Right,RIK,"Tsubasa, Yoshino",1000101225,Left,WAS_EDA,Undefined,1,Top,0,1.0,1.0,Slider,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728190106,榊原 啓資,8.0,8.0,2024/10/6,970.3169022,970.3169031,1728190106,3.0,3.0,大越,Right,RIK,3,吉納,Left,WAS_EDA,1,Top,0,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.642,-0.228,,,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,"1,2",山縣,尾瀬,,Nothing,,,,,,2427913008,見逃し,,1046,https://youtu.be/YUioKgjbE8E&t=1046,1149,https://youtu.be/XHNcaWPWt3I&t=1149,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
9,9.0,2024/10/6,0:16:33,2024/10/6,0:16:33,3.0,4.0,"Rei, Okoshi",1000242818,Right,RIK,"Tsubasa, Yoshino",1000101225,Left,WAS_EDA,Undefined,1,Top,0,1.0,2.0,Fastball,,FoulBall,Undefined,GroundBall,,Undefined,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,WAS_EDA,JinguStadium,Team,TeamExclusive,20241006-JinguStadium-1,,,,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728190129,榊原 啓資,9.0,9.0,2024/10/6,993.4634321,993.4634328,1728190129,3.0,4.0,大越,Right,RIK,3,吉納,Left,WAS_EDA,1,Top,0,1,2,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.538,0.28,15.65924418,-86.7602997,RIK,#101f56,立教,WAS_EDA,#470004,早稲田,JinguStadium,A,秋季リーグ戦,Normal,"1,2",山縣,尾瀬,,Undefined,,,,,,2427913009,ファール,,1069,https://youtu.be/YUioKgjbE8E&t=1069,1172,https://youtu.be/XHNcaWPWt3I&t=1172,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯,"桑垣,齋藤大,小林隼,西川,黄,柴田,鈴木唯,戸丸,大越","尾瀬,山縣,吉納,印出,前田,小澤,梅村,石郷岡,宮城","大越,戸丸,黄,齋藤大,柴田,小林隼,西川,桑垣,鈴木唯","宮城,印出,前田,梅村,小澤,山縣,石郷岡,尾瀬,吉納","L,L,R,R,R,R,L,L,R,R","R,L,R,L,R,L,L,L,L,L"
