count,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,season
0,1.0,2024/11/4,0:18:59,1.0,1.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Kazuya, Isiguro",1000126364,Right,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730692878,佐伯 謙司郎,1.0,1.0,2024/11/4,1139.413753,1139.413762,1730692878,1.0,1.0,藤江,Left,MEI_MEI,1,石黒,Right,HOS_HOS,1,Top,0,0,0,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811000,見逃し,,1052.0,https://youtu.be/9ISumikUlJs&t=1052,1054.748941,https://youtu.be/5HJKh9xmLHI&t=1054,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
1,2.0,2024/11/4,0:19:09,1.0,2.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Kazuya, Isiguro",1000126364,Right,HOS_HOS,Undefined,1,Top,0,0.0,1.0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730692888,佐伯 謙司郎,2.0,2.0,2024/11/4,1149.859944,1149.859945,1730692888,1.0,2.0,藤江,Left,MEI_MEI,1,石黒,Right,HOS_HOS,1,Top,0,0,1,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811001,見逃し,,1062.0,https://youtu.be/9ISumikUlJs&t=1062,1065.325784,https://youtu.be/5HJKh9xmLHI&t=1065,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
2,3.0,2024/11/4,0:19:25,1.0,3.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Kazuya, Isiguro",1000126364,Right,HOS_HOS,Undefined,1,Top,0,0.0,2.0,Undefined,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730692903,佐伯 謙司郎,3.0,3.0,2024/11/4,1165.256813,1165.256814,1730692903,1.0,3.0,藤江,Left,MEI_MEI,1,石黒,Right,HOS_HOS,1,Top,0,0,2,Undefined,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811002,空三振,,1077.0,https://youtu.be/9ISumikUlJs&t=1077,1080.596792,https://youtu.be/5HJKh9xmLHI&t=1080,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
3,4.0,2024/11/4,0:19:49,2.0,1.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Daisho, Suzuki",1000101182,Right,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Undefined,,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730692928,佐伯 謙司郎,4.0,4.0,2024/11/4,1189.988793,1189.988794,1730692928,2.0,1.0,藤江,Left,MEI_MEI,2,鈴木,Right,HOS_HOS,1,Top,1,0,0,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Undefined,,,,8,8,2430811003,中飛,,1102.0,https://youtu.be/9ISumikUlJs&t=1102,1095.696466,https://youtu.be/5HJKh9xmLHI&t=1095,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
4,5.0,2024/11/4,0:20:24,3.0,1.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,2,0.0,0.0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730692963,佐伯 謙司郎,5.0,5.0,2024/11/4,1224.84557,1224.845571,1730692963,3.0,1.0,藤江,Left,MEI_MEI,3,中津,Left,HOS_HOS,1,Top,2,0,0,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811004,見逃し,,1137.0,https://youtu.be/9ISumikUlJs&t=1137,1115.231578,https://youtu.be/5HJKh9xmLHI&t=1115,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
5,6.0,2024/11/4,0:20:34,3.0,2.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,2,0.0,1.0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730692973,佐伯 謙司郎,6.0,6.0,2024/11/4,1234.951248,1234.951249,1730692973,3.0,2.0,藤江,Left,MEI_MEI,3,中津,Left,HOS_HOS,1,Top,2,0,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811005,ボール,,1147.0,https://youtu.be/9ISumikUlJs&t=1147,1125.233588,https://youtu.be/5HJKh9xmLHI&t=1125,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
6,7.0,2024/11/4,0:20:46,3.0,3.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,2,1.0,1.0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730692985,佐伯 謙司郎,7.0,7.0,2024/11/4,1246.892713,1246.892714,1730692985,3.0,3.0,藤江,Left,MEI_MEI,3,中津,Left,HOS_HOS,1,Top,2,1,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811006,ボール,,1159.0,https://youtu.be/9ISumikUlJs&t=1159,1137.335356,https://youtu.be/5HJKh9xmLHI&t=1137,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
7,8.0,2024/11/4,0:21:13,3.0,4.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,2,2.0,1.0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730693011,佐伯 謙司郎,8.0,8.0,2024/11/4,1273.083196,1273.083197,1730693011,3.0,4.0,藤江,Left,MEI_MEI,3,中津,Left,HOS_HOS,1,Top,2,2,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811007,ボール,,1185.0,https://youtu.be/9ISumikUlJs&t=1185,1163.469326,https://youtu.be/5HJKh9xmLHI&t=1163,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
8,9.0,2024/11/4,0:21:32,3.0,5.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,2,3.0,1.0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730693031,佐伯 謙司郎,9.0,9.0,2024/11/4,1292.395007,1292.395008,1730693031,3.0,5.0,藤江,Left,MEI_MEI,3,中津,Left,HOS_HOS,1,Top,2,3,1,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Nothing,,,,,,2430811008,見逃し,,1205.0,https://youtu.be/9ISumikUlJs&t=1205,1182.656966,https://youtu.be/5HJKh9xmLHI&t=1182,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
9,10.0,2024/11/4,0:21:52,3.0,6.0,"Seiga, Fujie",1000101238.0,Left,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,2,3.0,2.0,Undefined,,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20241104-JinguStadium-1,,,,,,,,,,,,,,,,,,,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730693051,佐伯 謙司郎,10.0,10.0,2024/11/4,1312.496555,1312.496556,1730693051,3.0,6.0,藤江,Left,MEI_MEI,3,中津,Left,HOS_HOS,1,Top,2,3,2,Undefined,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,秋季リーグ戦,Normal,,,,,Undefined,,,,,,2430811009,ファール,,1225.0,https://youtu.be/9ISumikUlJs&t=1225,1202.894866,https://youtu.be/5HJKh9xmLHI&t=1202,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原,"直井,飯森,宗山,杉崎,小島河,木本,榊原,宮田,藤江","石黒,鈴木,中津,松下,西村,藤森康,中村騎,中西祐,野崎","藤江,小島河,杉崎,木本,宮田,宗山,飯森,直井,榊原","野崎,中西祐,藤森康,中村騎,松下,石黒,西村,中津,鈴木","L,L,L,L,R,L,R,L,L,L","L,R,R,L,R,R,L,R,R,L",24A
