count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,truetime,season
0,1.0,2024/4/13,04:54.8,2024/4/13,04:54.8,1.0,1.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,123.02374,1.299793,-0.226877,2348.608976,27.668961,7:00,1.68889,0.385112,1.660935,-151.2509,-27.9084,-16.6073,0.547345,0.1543,113.47611,-9.498784,-1.393857,0.501546,,,,,,,,,,,,8.1545,-13.616,-0.377632,15.24,1.711442,0.211274,-33.852377,0.149379,1.221023,6.120822,-11.845452,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,38b59df0-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,120.94596,,,9.54763,,,,16.779801,-34.129652,3.060411,1.692521,0.685981,-5.922726,-0.385949,0.155961,0.610511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,1.0,1.0,2024/4/13,-48.90724492,7.092756987,1712973950,1.0,1.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,ボール,,1241.0,https://youtu.be/8r4HY7lUamw&t=1241,989,https://youtu.be/67wbIPckxQ0&t=989,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:20:41,24S
1,2.0,2024/4/13,05:06.7,2024/4/13,05:06.7,1.0,2.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,1.0,0.0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,123.20421,2.313455,-0.328517,2517.735918,49.527497,7:45,1.686394,0.37779,1.639949,-134.215,-12.0085,-18.0401,1.005608,0.103525,114.15258,-7.282173,-1.591748,0.499231,,,,,,,,,,,,8.8006,-6.2605,-0.36729,15.24,1.738136,0.278778,-33.903962,0.82261,1.337155,5.478248,-10.757866,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,3fcc3130-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,121.50681,,,9.05163,,,,16.800554,-34.155188,2.739124,1.6891,1.315953,-5.378933,-0.378668,0.217457,0.668577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,2.0,2.0,2024/4/13,-40.90724492,7.092756987,1712973958,1.0,2.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,見逃し,,1252.9,https://youtu.be/8r4HY7lUamw&t=1252,1000,https://youtu.be/67wbIPckxQ0&t=1000,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:20:49,24S
2,3.0,2024/4/13,05:18.9,2024/4/13,05:18.9,1.0,3.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,1.0,1.0,TwoSeamFastBall,Splitter,FoulBallFieldable,Undefined,Undefined,LineDrive,Undefined,0,0,,128.5003,-0.507515,-0.815965,1106.447721,270.540001,3:00,1.751435,0.330385,1.736661,-108.0757,2.9252,23.0666,0.52651,0.329277,119.29656,-8.280141,0.811414,0.475793,126.73809,26.162012,-50.206665,4884.803746,18.218272,11.38382,-28.146333,70.054376,62.779751,-64.38526,3.217278,-12.3007,2.7573,-0.311281,15.24,1.730295,0.399041,-35.392363,-0.740224,-2.033209,6.075548,-9.350894,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,47140da0-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,127.49243,11.705664,,9.20374,,,,16.703758,-35.64275,3.037774,1.75286,-0.354853,-4.675447,-0.329453,0.482834,-1.016604,0.039947,0.48269,-0.338487,122.963812,0.039822,20.228191,-6.047434,1.61666,-0.474398,0.149209,-0.042068,0.007304,-0.00053,0.482775,15.519175,-5.91262,0.396537,0.017016,-0.044129,0.018343,-0.00336,0.000228,-0.338398,-24.282129,1.71217,-0.023702,-0.009552,-0.022025,0.013702,-0.003122,0.000254,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,3.0,3.0,2024/4/13,-32.90724492,7.092756987,1712973966,1.0,3.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,1,1,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,ファール,,1265.1,https://youtu.be/8r4HY7lUamw&t=1265,1013,https://youtu.be/67wbIPckxQ0&t=1013,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:20:57,24S
3,4.0,2024/4/13,05:39.2,2024/4/13,05:39.2,1.0,4.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,1.0,2.0,Fastball,Sinker,FoulBallFieldable,Undefined,Undefined,,Undefined,0,0,,142.87369,-0.251526,-1.563159,2438.584222,229.128885,1:45,1.71375,0.412447,1.895,-54.6639,34.1468,36.2504,1.096338,0.335179,130.60911,-4.322143,1.013826,0.425586,122.2006,25.207547,-146.959071,2000.626976,,,,,23.57204,,,-19.8264,18.716,-0.37883,15.24,1.704706,0.896484,-39.3274,-0.368167,-4.01106,8.17634,-6.020229,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,531f3e80-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,142.53288,7.864663,,12.26458,,,,16.54464,-39.597711,4.08817,1.713587,-0.169137,-3.010114,-0.41066,1.02909,-2.00553,-0.398984,1.00655,-0.347988,22.425819,-0.398984,-25.745377,1.345021,0.027326,-0.018986,0.012252,-0.003785,0.001224,-0.000336,1.00655,14.456958,-8.018452,0.997318,-0.2023,0.042187,-0.005646,0.000494,5.8e-05,-0.347988,-16.745403,1.848497,0.086123,-0.038723,0.020693,-0.006266,0.002067,-0.000561,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,4.0,4.0,2024/4/13,-24.90724492,7.092756987,1712973974,1.0,4.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,1,2,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,ファール,,1285.4,https://youtu.be/8r4HY7lUamw&t=1285,1024,https://youtu.be/67wbIPckxQ0&t=1024,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:21:05,24S
4,5.0,2024/4/13,05:57.4,2024/4/13,05:57.4,1.0,5.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,1.0,2.0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,130.99006,0.043736,-0.15251,1184.103396,299.78994,4:00,1.732556,0.355119,1.711061,-122.8758,-15.0312,31.8929,0.51624,0.630663,120.96197,-8.762458,2.095254,0.46898,,,,,,,,,,,,-16.1998,-6.5134,-0.353604,15.24,1.724252,-0.057898,-36.062234,-0.489437,-2.759647,6.784325,-10.916201,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,5dfd6110-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,129.34466,,,10.0281,,,,16.729378,-36.341348,3.392162,1.735149,-0.040334,-5.458101,-0.353558,0.055636,-1.379823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,5.0,5.0,2024/4/13,-16.90724492,7.092756987,1712973982,1.0,5.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,ボール,,1303.6,https://youtu.be/8r4HY7lUamw&t=1303,1037,https://youtu.be/67wbIPckxQ0&t=1037,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:21:13,24S
5,6.0,2024/4/13,06:10.7,2024/4/13,06:10.7,1.0,6.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,2.0,2.0,Slider,Slider,FoulBallFieldable,Undefined,Undefined,FlyBall,Undefined,0,0,,125.59722,1.747723,0.344958,2511.053029,66.804895,8:15,1.649118,0.432139,1.71614,-126.9678,-8.4144,-28.878,0.876634,0.241463,114.38506,-7.423925,-1.687642,0.491713,133.07351,39.325912,-47.358161,6510.301862,18.227633,21.189208,-28.140294,69.747376,37.109379,-68.538446,4.252263,14.8788,-4.4097,-0.438828,15.24,1.684735,-0.074094,-34.520051,0.550367,2.297745,6.844254,-10.487648,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,65e61160-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,123.36463,22.524305,,11.21216,,,,16.723794,-34.812999,3.422127,1.651572,0.999259,-5.243824,-0.433552,-0.172442,1.148872,0.073564,0.823998,-0.223725,133.333257,0.074222,19.353553,-6.72551,1.703843,-0.272576,-0.014644,0.019117,-0.004227,0.000341,0.825098,23.396809,-7.290672,0.457859,0.197787,-0.163497,0.053749,-0.008605,0.000538,-0.225001,-21.002781,1.202125,0.489588,-0.408113,0.178286,-0.045505,0.006226,-0.000343,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,6.0,6.0,2024/4/13,-8.907244921,7.092756987,1712973990,1.0,6.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,2,2,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,ファール,,1316.9,https://youtu.be/8r4HY7lUamw&t=1316,1050,https://youtu.be/67wbIPckxQ0&t=1050,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:21:21,24S
6,7.0,2024/4/13,06:30.6,2024/4/13,06:30.6,1.0,7.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,2.0,2.0,TwoSeamFastBall,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,,130.89884,1.657954,0.344974,1209.021467,256.699606,2:30,1.744464,0.301373,1.699921,-99.6365,8.5319,22.3534,1.22021,0.623112,120.15279,-5.550586,1.915186,0.469683,,,,,,,,,,,,-10.98,4.3042,-0.312152,15.24,1.780197,-0.326478,-36.001887,0.634703,-1.868068,6.627748,-9.07435,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,71c4db10-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,129.15095,,,10.74605,,,,16.739586,-36.276902,3.313874,1.746048,1.011239,-4.537175,-0.300213,-0.248964,-0.934034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,7.0,7.0,2024/4/13,-0.907244921,7.092756987,1712973998,1.0,7.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,ボール,,1336.8000000000002,https://youtu.be/8r4HY7lUamw&t=1336,1058,https://youtu.be/67wbIPckxQ0&t=1058,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:21:29,24S
7,8.0,2024/4/13,06:45.1,2024/4/13,06:45.1,1.0,8.0,"Kojiro, Hirata",1000126391,Right,TOK,"Haruki, Mizutori",1000126452,Left,KEI_KEI,Undefined,1,Top,0,3.0,2.0,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,139.74418,-2.37891,-2.903259,2366.701536,218.767187,1:15,1.68853,0.331609,1.922673,-57.8707,34.6807,25.546,0.440624,-0.228814,128.44525,-6.663773,-1.085613,0.434456,,,,,,,,,,,,-15.2838,20.5619,-0.268129,15.24,1.631944,1.830177,-38.414568,-1.799412,-2.959445,7.57212,-5.82521,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,7a67b3a0-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,139.62277,,,11.29893,,,,16.517144,-38.665494,3.78606,1.688375,-1.606375,-2.912605,-0.330402,1.928248,-1.479722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,8.0,8.0,2024/4/13,7.092755079,7.092756987,1712974006,1.0,8.0,平田,Right,TOK,1,水鳥,Left,KEI_KEI,1,Top,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,138.0,65.4,38.7,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410300000,四球,,1351.3000000000002,https://youtu.be/8r4HY7lUamw&t=1351,1072,https://youtu.be/67wbIPckxQ0&t=1072,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,R,R,R,R,R,R,R,R",0:21:37,24S
8,9.0,2024/4/13,07:22.5,2024/4/13,07:22.5,2.0,1.0,"Kojiro, Hirata",1000126391,Right,TOK,"Ryu, Muraoka",1000242240,Left,KEI_KEI,Undefined,1,Top,0,0.0,0.0,Fastball,Changeup,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,137.50957,-1.334824,-2.983954,2334.123206,229.944805,1:45,1.702514,0.389756,1.960847,-59.3166,35.9337,39.1504,0.734867,-0.055351,125.90928,-5.755974,-0.192105,0.440745,,,,,,,,,,,,-22.598,20.6443,-0.327064,15.24,1.670294,1.796516,-37.823058,-1.079313,-4.229357,7.553301,-5.942942,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,90a86b00-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,137.63047,,,11.60029,,,,16.479101,-38.069703,3.776651,1.70237,-0.885253,-2.971471,-0.387983,1.934622,-2.114678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,9.0,9.0,2024/4/13,44.79132199,44.7913239,1712974043,2.0,1.0,平田,Right,TOK,2,村岡,Left,KEI_KEI,1,Top,0,0,0,Undefined,InPlay,Undefined,Bunt,Sacrifice,1,0,,138.0,59.8,26.0,15.07025342,-40.23635831,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,1,水鳥,,,Undefined,,,,"5,3","5,3",2410300001,三犠,,1388.7,https://youtu.be/8r4HY7lUamw&t=1388,1088,https://youtu.be/67wbIPckxQ0&t=1088,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",0:22:15,24S
9,10.0,2024/4/13,09:17.1,2024/4/13,09:17.1,3.0,1.0,"Kojiro, Hirata",1000126391,Right,TOK,"Sotaro, Homma",1000126437,Right,KEI_KEI,Undefined,1,Top,1,0.0,0.0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,118.94292,1.845713,-1.053374,2516.461195,26.871434,7:00,1.676546,0.379884,1.691771,-142.6446,-10.9548,-7.626,0.776054,0.003576,109.32807,-8.403961,-1.589277,0.51824,,,,,,,,,,,,3.0898,-5.543,-0.351499,15.24,1.71392,0.635006,-32.705166,0.510507,0.431659,5.732697,-10.581038,TOK,KEI_KEI,JinguStadium,TeamExclusive,Team,20240413-JinguStadium-2,d50c0c20-f93a-11ee-92fc-8392125681a2,55090448-aa85-4059-a2cf-bf00225e55a8,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,117.05007,,,9.61486,,,,16.748397,-32.968504,2.866349,1.679305,0.996559,-5.290519,-0.380213,0.615177,0.21583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,10.0,10.0,2024/4/13,158.6602798,158.6602829,1712974157,3.0,1.0,平田,Right,TOK,3,本間,Right,KEI_KEI,1,Top,1,0,0,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,118.0,47.8,0.4,,,TOK,#217fc4,東大,KEI_KEI,#112163,慶應,JinguStadium,A,春季リーグ戦,Normal,2,,水鳥,,Nothing,,,,,,2410300002,見逃し,,1503.3000000000002,https://youtu.be/8r4HY7lUamw&t=1503,1113,https://youtu.be/67wbIPckxQ0&t=1113,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太,"榎本,中山,山口真,内田,鈴木太,西前,府川,青貝,平田","水鳥,村岡,本間,清原,横地,斎藤快,常松,森村,外丸","平田,府川,西前,山口真,内田,青貝,中山,榎本,鈴木太","外丸,森村,清原,斎藤快,本間,水鳥,村岡,横地,常松","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",0:24:08,24S
