count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,truetime,season
0,1.0,2024/4/14,42:38.2,2024/4/14,42:38.2,1.0,1.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Taiyo, Nakayama",1000242863,Left,TOK,Undefined,1,Top,0,0.0,0.0,ChangeUp,Curveball,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,125.1874,0.332913,2.160201,1613.962673,290.979609,3:45,1.627651,-0.778491,1.839153,-122.9617,-5.9138,25.0342,0.492064,0.081835,115.05952,-8.571233,3.934033,0.488581,,,,,,,,,,,,-11.2886,-2.1572,0.725483,15.24,1.62766,-1.407279,-34.436931,-0.25348,-1.742285,6.56489,-10.139589,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,6b8f8bc0-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,124.15551,,,10.12788,,,,16.600963,-34.695408,3.282445,1.629781,0.145743,-5.069794,0.779541,-1.338681,-0.871143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,1.0,1.0,2024/4/14,1020.879674,1020.879677,1713069758,1.0,1.0,渡辺和,Left,KEI_KEI,1,中山,Left,TOK,1,Top,0,0,0,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,38.3,-9.6,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410000,空振り,,859,https://youtu.be/33WAwpnwGxE&t=859,993,https://youtu.be/4LGsgGnLxII&t=993,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:14:21,24S
1,2.0,2024/4/14,42:47.1,2024/4/14,42:47.1,1.0,2.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Taiyo, Nakayama",1000242863,Left,TOK,Undefined,1,Top,0,0.0,1.0,ChangeUp,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,128.13951,0.407328,2.850681,1539.320439,288.332084,3:30,1.640237,-0.773551,1.799399,-114.356,-0.6297,14.0582,0.612069,0.174252,116.17178,-7.901519,3.843049,0.481598,133.70191,0.762549,21.837891,1838.895845,,,,14.488558,14.183895,21.85982,0.396918,-4.8448,0.4634,0.702728,15.24,1.642423,-1.815164,-35.175742,-0.18496,-0.770714,7.586176,-9.732926,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,70d1fb40-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,125.95555,0.659365,,11.96773,,,,16.64013,-35.476416,3.793088,1.642109,0.200799,-4.866463,0.774065,-1.784617,-0.385357,0.524823,0.648414,-0.167062,282.491519,0.526654,34.409695,-4.693553,,,,,,,0.649776,0.448531,-5.262824,,,,,,,-0.167893,13.842039,0.438956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,2.0,2.0,2024/4/14,1029.698882,1029.698883,1713069767,1.0,2.0,渡辺和,Left,KEI_KEI,1,中山,Left,TOK,1,Top,0,0,1,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,,,,36.04618376,21.10483858,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Undefined,,,,"4,3","4,3",2410410001,二ゴ,,868,https://youtu.be/33WAwpnwGxE&t=868,1001,https://youtu.be/4LGsgGnLxII&t=1001,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:14:30,24S
2,3.0,2024/4/14,43:13.3,2024/4/14,43:13.3,2.0,1.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Yoshinobu, Enomoto",1000242860,Left,TOK,Undefined,1,Top,1,0.0,0.0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,141.81424,-1.291284,4.15844,2052.180752,143.168336,10:45,1.682351,-0.763488,1.884129,-43.7712,49.3664,-34.1554,0.880179,0.067433,126.12792,-4.650706,1.74085,0.43583,,,,,,,,,,,,21.151,27.5988,0.669503,15.24,1.649862,-2.646737,-38.819005,-1.006143,4.058463,9.938448,-4.510971,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,80771bc0-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,139.18265,,,15.68632,,,,16.55365,-39.153881,4.969224,1.681203,-0.854145,-2.255485,0.760989,-2.783487,2.029232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,3.0,3.0,2024/4/14,1056.040448,1056.040449,1713069794,2.0,1.0,渡辺和,Left,KEI_KEI,2,榎本,Left,TOK,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,98.6,-10.8,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410002,見逃し,,894,https://youtu.be/33WAwpnwGxE&t=894,1015,https://youtu.be/4LGsgGnLxII&t=1015,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:14:56,24S
3,4.0,2024/4/14,43:21.9,2024/4/14,43:21.9,2.0,2.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Yoshinobu, Enomoto",1000242860,Left,TOK,Undefined,1,Top,1,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.46898,-1.181261,5.172223,2169.294192,157.889543,11:15,1.671133,-0.795503,1.93231,-46.6851,42.865,-16.1024,0.871401,0.498829,129.33863,-4.711566,4.032821,0.427354,,,,,,,,,,,,12.4363,24.1127,0.681344,15.24,1.642128,-3.474704,-39.277121,-0.960437,2.476061,9.172099,-5.005799,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,85970f20-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,141.94326,,,14.13035,,,,16.506006,-39.571658,4.58605,1.670389,-0.79969,-2.5029,0.794202,-3.554215,1.238031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,4.0,4.0,2024/4/14,1064.499947,1064.499948,1713069802,2.0,2.0,渡辺和,Left,KEI_KEI,2,榎本,Left,TOK,1,Top,1,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,82.6,48.7,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410003,ボール,,903,https://youtu.be/33WAwpnwGxE&t=902,1023,https://youtu.be/4LGsgGnLxII&t=1023,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:15:05,24S
4,5.0,2024/4/14,43:31.4,2024/4/14,43:31.4,2.0,3.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Yoshinobu, Enomoto",1000242860,Left,TOK,Undefined,1,Top,1,1.0,1.0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,143.46108,-2.384018,4.372292,2129.620591,142.7209,10:45,1.681552,-0.748803,1.860292,-46.9222,44.5567,-31.079,0.537993,0.175228,127.73118,-5.947422,2.176259,0.431932,,,,,,,,,,,,19.7863,26.0907,0.647998,15.24,1.622587,-2.837537,-39.22957,-1.789874,3.875752,10.180222,-4.696009,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,8b3cad40-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,140.43889,,,15.7299,,,,16.577592,-39.575158,5.090111,1.680642,-1.630458,-2.348005,0.746557,-2.969107,1.937876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,5.0,5.0,2024/4/14,1074.246234,1074.246235,1713069812,2.0,3.0,渡辺和,Left,KEI_KEI,2,榎本,Left,TOK,1,Top,1,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,143.0,49.8,25.6,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410004,見逃し,,913,https://youtu.be/33WAwpnwGxE&t=912,1033,https://youtu.be/4LGsgGnLxII&t=1033,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:15:15,24S
5,6.0,2024/4/14,43:42.0,2024/4/14,43:42.0,2.0,4.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Yoshinobu, Enomoto",1000242860,Left,TOK,Undefined,1,Top,1,1.0,2.0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,142.12915,-2.197099,4.149832,2124.513206,142.868052,10:45,1.661501,-0.819561,1.908142,-49.6801,43.5588,-29.9581,0.54531,0.049155,125.71084,-5.986184,2.025598,0.436067,149.16633,-1.486038,-8.410112,1301.307239,,,,8.824873,8.736326,-9.436613,0.21681,19.4185,25.762,0.727275,15.24,1.608845,-2.669074,-38.867659,-1.651317,3.703101,10.587174,-4.893855,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,918a4b30-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,139.10709,0.504685,,16.41831,,,,16.529649,-39.217374,5.293587,1.660721,-1.489664,-2.446927,0.81746,-2.791394,1.851551,0.045704,0.504685,-0.05859,64.768423,0.045933,40.961751,-4.714761,,,,,,,0.504938,-1.089945,-5.721675,,,,,,,-0.058404,-6.069497,-1.547513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,6.0,6.0,2024/4/14,1084.51301,1084.513011,1713069822,2.0,4.0,渡辺和,Left,KEI_KEI,2,榎本,Left,TOK,1,Top,1,1,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,141.0,52.6,14.4,34.59511764,-11.30993247,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Undefined,,,,"6,3","6,3",2410410005,遊ゴ,,923,https://youtu.be/33WAwpnwGxE&t=923,1043,https://youtu.be/4LGsgGnLxII&t=1043,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:15:25,24S
6,7.0,2024/4/14,44:09.0,2024/4/14,44:09.0,3.0,1.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Shinnosuke, Yamaguchi",1000101217,Left,TOK,Undefined,1,Top,2,0.0,0.0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,126.35768,0.511182,2.647444,1241.012274,284.200985,3:30,1.673994,-0.774469,1.909023,-115.4695,-1.2053,19.3904,0.663109,0.163951,115.66045,-7.909312,4.025798,0.482736,,,,,,,,,,,,-8.0061,0.2184,0.713627,15.24,1.67896,-1.689988,-34.74235,-0.102953,-1.254602,6.827095,-9.772419,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,a1aa8f20-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,125.65873,,,10.69723,,,,16.530615,-34.995045,3.413548,1.676077,0.258759,-4.886209,0.77532,-1.643551,-0.627301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,7.0,7.0,2024/4/14,1111.937437,1111.937438,1713069850,3.0,1.0,渡辺和,Left,KEI_KEI,3,山口真,Left,TOK,1,Top,2,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,125.0,57.0,25.2,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410006,見逃し,,950,https://youtu.be/33WAwpnwGxE&t=950,1053,https://youtu.be/4LGsgGnLxII&t=1053,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:15:52,24S
7,8.0,2024/4/14,44:17.7,2024/4/14,44:17.7,3.0,2.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Shinnosuke, Yamaguchi",1000101217,Left,TOK,Undefined,1,Top,2,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.39212,-2.058988,5.704794,2146.96536,144.434732,10:45,1.71363,-0.77307,1.894196,-45.0606,42.9395,-28.3557,0.680739,0.553339,130.75207,-5.465781,3.70476,0.423639,,,,,,,,,,,,19.1597,24.7772,0.643917,15.24,1.663625,-3.823246,-39.738963,-1.581995,3.897649,9.532443,-4.766228,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,a6d46d90-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,143.18787,,,14.64005,,,,16.544166,-40.05058,4.766222,1.712794,-1.426186,-2.383114,0.770982,-3.950661,1.948824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,8.0,8.0,2024/4/14,1120.64157,1120.641571,1713069858,3.0,2.0,渡辺和,Left,KEI_KEI,3,山口真,Left,TOK,1,Top,2,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,139.0,57.4,52.0,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410007,ボール,,960,https://youtu.be/33WAwpnwGxE&t=958,1062,https://youtu.be/4LGsgGnLxII&t=1062,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:16:02,24S
8,9.0,2024/4/14,44:27.2,2024/4/14,44:27.2,3.0,3.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Shinnosuke, Yamaguchi",1000101217,Left,TOK,Undefined,1,Top,2,1.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,145.04,-2.745893,4.345014,2146.018119,147.461745,11:00,1.670092,-0.79157,1.904503,-44.1103,43.1893,-25.6295,0.454301,0.175864,131.7179,-6.065356,2.529264,0.42195,,,,,,,,,,,,16.5259,25.3516,0.69439,15.24,1.605027,-2.892866,-39.748771,-2.056837,3.391354,8.901975,-4.604153,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,ac80c270-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,143.7612,,,13.3221,,,,16.534682,-40.037672,4.450987,1.669355,-1.907415,-2.302076,0.790061,-3.002928,1.695677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,9.0,9.0,2024/4/14,1129.7786,1129.778602,1713069867,3.0,3.0,渡辺和,Left,KEI_KEI,3,山口真,Left,TOK,1,Top,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,39.7,24.0,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410008,ボール,,968,https://youtu.be/33WAwpnwGxE&t=968,1071,https://youtu.be/4LGsgGnLxII&t=1071,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:16:10,24S
9,10.0,2024/4/14,44:37.5,2024/4/14,44:37.5,3.0,4.0,"Kazuhiro, Watanabe",1000242226,Left,KEI_KEI,"Shinnosuke, Yamaguchi",1000101217,Left,TOK,Undefined,1,Top,2,2.0,1.0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,127.46485,1.379866,1.943812,2377.963878,273.631267,3:00,1.657573,-0.780072,1.778453,-111.7509,2.6576,18.5026,0.93128,-0.044154,115.96961,-6.743241,3.248679,0.483041,,,,,,,,,,,,-7.8632,1.579,0.73049,15.24,1.684141,-1.274664,-35.014855,0.412762,-1.249093,7.055728,-9.55582,KEI_KEI,TOK,JinguStadium,TeamExclusive,Team,20240414-JinguStadium-2,b2ad43d0-fa19-11ee-b71e-f5fa29320b83,23dfd073-2774-4a50-b063-5da503621747,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,125.57945,,,11.49524,,,,16.660732,-35.299981,3.527864,1.659658,0.798919,-4.77791,0.78098,-1.224187,-0.624547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深沢 俊一,10.0,10.0,2024/4/14,1140.502051,1140.502053,1713069878,3.0,4.0,渡辺和,Left,KEI_KEI,3,山口真,Left,TOK,1,Top,2,2,1,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,125.0,72.2,-22.8,,,KEI_KEI,#112163,慶應,TOK,#217fc4,東大,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2410410009,見逃し,,979,https://youtu.be/33WAwpnwGxE&t=978,1081,https://youtu.be/4LGsgGnLxII&t=1081,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"水鳥,古野,本間,清原,横地,常松,斎藤快,森村,渡辺和","中山,榎本,山口真,内田,大原,鈴木太,西前,府川,青貝","渡辺和,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","鈴木太,府川,西前,山口真,内田,青貝,中山,榎本,大原","R,L,L,R,R,L,R,L,R,L","L,L,L,L,R,R,R,R,R,R",0:16:21,24S
