count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,truetime,season
0,1.0,2024/4/20,00:35.8,2024/4/20,00:35.8,1.0,1.0,"Kojiro, Hirata",1000126391,Right,TOK,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,0.0,0.0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,124.33095,1.795243,-1.4896,2430.292943,76.50409,8:30,1.657461,0.406099,1.664427,-123.1645,-2.2686,-24.9426,0.938322,-0.268392,114.12917,-7.060242,-3.237151,0.496547,,,,,,,,,,,,11.4432,-1.1634,-0.364043,15.24,1.695611,1.005683,-34.173375,0.57807,1.747526,6.19056,-9.984313,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,662dad00-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,122.16362,,,10.20178,,,,16.775422,-34.450396,3.09528,1.659746,1.024858,-4.992157,-0.407296,0.927483,0.873763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,1.0,1.0,2024/4/20,208.002867,208.0028758,1713574836,1.0,1.0,平田,Right,TOK,1,直井,Left,MEI_MEI,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,123.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2411000000,ボール,,1050,https://youtu.be/DYshhmy0MLI&t=1050,1027,https://youtu.be/vk7LsdnqfPc&t=1027,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:17:33,24S
1,2.0,2024/4/20,00:47.4,2024/4/20,00:47.4,1.0,2.0,"Kojiro, Hirata",1000126391,Right,TOK,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,1.0,0.0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,LineDrive,Undefined,0,0,,139.05751,-1.134705,-1.366885,2413.571043,230.245972,1:45,1.718916,0.374897,1.942973,-62.1392,31.4248,34.1126,0.779189,0.332637,126.92269,-5.756252,1.066656,0.436827,146.0997,8.222163,-51.323904,3926.72425,18.236401,1.947109,-28.134499,45.232918,45.232918,-58.797344,1.359814,-18.7651,18.1476,-0.346622,15.24,1.690496,0.755325,-38.269033,-0.973105,-3.579066,8.058776,-6.34537,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,6d095a20-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,138.86517,2.484908,,12.13482,,,,16.496598,-38.532742,4.029388,1.718942,-0.765464,-3.172685,-0.373255,0.872444,-1.789533,-0.046497,0.739803,-0.358885,103.618076,-0.046497,25.100504,-7.782427,1.995797,-0.48756,0.10793,-0.022697,0.00387,-0.000366,0.739803,5.803869,-4.951285,0.201205,0.017712,-0.014772,0.00532,-0.001086,0.000112,-0.358885,-31.357299,2.492225,-0.040668,-0.101657,0.046909,-0.013984,0.002891,-0.00031,,,,,,,,,,,,,,,,,,,,,,,松本 知一,2.0,2.0,2024/4/20,219.4331999,219.4332049,1713574847,1.0,2.0,平田,Right,TOK,1,直井,Left,MEI_MEI,1,Top,0,1,0,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,132.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,,,,,Undefined,,,,,,2411000001,ファール,,1062,https://youtu.be/DYshhmy0MLI&t=1062,1038,https://youtu.be/vk7LsdnqfPc&t=1038,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:17:44,24S
2,3.0,2024/4/20,00:59.7,2024/4/20,00:59.7,1.0,3.0,"Kojiro, Hirata",1000126391,Right,TOK,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,1.0,1.0,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,122.97094,1.078123,0.565919,2430.496892,99.400066,9:15,1.659041,0.40173,1.66561,-118.8383,5.0329,-6.2271,0.778265,0.500903,112.51107,-7.491456,0.128943,0.50262,,,,,,,,,,,,3.5263,3.0985,-0.416396,15.24,1.678321,-0.30469,-33.79813,0.168974,0.525043,6.238193,-9.345297,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,745f8e70-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,120.68758,,,10.45987,,,,16.773648,-34.080023,3.119097,1.661143,0.591272,-4.672649,-0.402091,-0.328415,0.262521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,3.0,3.0,2024/4/20,232.9074957,232.9075,1713574861,1.0,3.0,平田,Right,TOK,1,直井,Left,MEI_MEI,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,122.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2411000002,ボール,,1074,https://youtu.be/DYshhmy0MLI&t=1074,1050,https://youtu.be/vk7LsdnqfPc&t=1050,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:17:57,24S
3,4.0,2024/4/20,01:10.4,2024/4/20,01:10.4,1.0,4.0,"Kojiro, Hirata",1000126391,Right,TOK,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,2.0,1.0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,128.80183,0.588385,-0.227033,1243.898632,269.744521,3:00,1.713954,0.33357,1.717082,-108.4424,3.7616,30.9489,0.796856,0.578497,117.79694,-7.25423,1.951815,0.478364,,,,,,,,,,,,-15.731,2.7103,-0.330025,15.24,1.720998,-0.008571,-35.419218,-0.072502,-2.569726,6.913399,-9.363918,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,7ac436d0-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,126.80709,,,11.00489,,,,16.722388,-35.70739,3.4567,1.715885,0.317815,-4.681959,-0.3319,0.098543,-1.284863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,4.0,4.0,2024/4/20,242.500437,242.5004389,1713574870,1.0,4.0,平田,Right,TOK,1,直井,Left,MEI_MEI,1,Top,0,2,1,TwoSeamFastball,BallCalled,Undefined,Undefined,Undefined,0,0,,125.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2411000003,ボール,,1085,https://youtu.be/DYshhmy0MLI&t=1085,1061,https://youtu.be/vk7LsdnqfPc&t=1061,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:18:08,24S
4,5.0,2024/4/20,01:24.7,2024/4/20,01:24.7,1.0,5.0,"Kojiro, Hirata",1000126391,Right,TOK,"Koji, Naoi",1000101248,Left,MEI_MEI,Undefined,1,Top,0,3.0,1.0,Fastball,Four-Seam,BallCalled,Walk,Undefined,,Undefined,0,0,,138.33073,-0.398022,-2.819058,2421.170025,218.073758,1:15,1.734117,0.376191,1.967978,-57.4508,37.1771,26.6402,1.048029,-0.147357,125.6725,-4.709071,-0.919173,0.439303,,,,,,,,,,,,-15.8969,20.6563,-0.316633,15.24,1.722411,1.747307,-38.024946,-0.450957,-2.98784,8.089688,-5.92428,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,8348b1f0-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,138.08234,,,12.65823,,,,16.470878,-38.285915,4.044844,1.733876,-0.259843,-2.96214,-0.374555,1.843693,-1.49392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,5.0,5.0,2024/4/20,256.7050798,256.7050807,1713574885,1.0,5.0,平田,Right,TOK,1,直井,Left,MEI_MEI,1,Top,0,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,134.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2411000004,四球,,1099,https://youtu.be/DYshhmy0MLI&t=1099,1075,https://youtu.be/vk7LsdnqfPc&t=1075,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:18:21,24S
5,6.0,2024/4/20,01:53.6,2024/4/20,01:53.6,2.0,1.0,"Kojiro, Hirata",1000126391,Right,TOK,"Keiichi, Kimoto",1000126503,Right,MEI_MEI,Undefined,1,Top,0,0.0,0.0,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Error,0,0,1,136.49078,-0.873486,-2.550949,2363.718014,224.492168,1:30,1.738587,0.365608,1.980336,-59.8955,36.4526,32.8348,0.89499,-0.02021,124.96565,-5.346484,-0.205933,0.443278,130.50192,-30.113618,-10.585808,,,,,2.039308,2.039308,-7.477079,0.049378,-19.0651,20.6474,-0.312816,15.24,1.716746,1.530043,-37.564616,-0.7677,-3.519002,7.460299,-5.995589,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,94869ae0-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,136.84416,0.900904,,11.52513,,,,16.459602,-37.806052,3.73015,1.738451,-0.573666,-2.997794,-0.364175,1.643927,-1.759501,0.495113,0.900904,0.019977,,0.494336,30.921987,,,,,,,,0.901363,-18.245187,,,,,,,,0.020123,-5.778965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,6.0,6.0,2024/4/20,285.6760068,285.6760089,1713574914,2.0,1.0,平田,Right,TOK,2,木本,Right,MEI_MEI,1,Top,0,0,0,Fastball,InPlay,Undefined,GroundBall,Error,0,0,,130.0,,,29.98130017,-13.07912378,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,1,直井,,,Undefined,,青貝,,6,6E,2411000005,遊ゴ失,,1128,https://youtu.be/DYshhmy0MLI&t=1128,1092,https://youtu.be/vk7LsdnqfPc&t=1092,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:18:51,24S
6,,2024/4/20,0:02:44,2024/4/20,0:02:44,,,"Kojiro, Hirata",1000126391,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,,1,Top,0,,,,,,,,,,0,0,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,,,2024/4/20,336.11938,336.1193829,1713574964,,,平田,Right,TOK,3,宗山,Left,MEI_MEI,1,Top,0,0,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,"1,2",木本,直井,,PickOff,,,,"1,6","1,6",2411000006,牽制,,1179,https://youtu.be/DYshhmy0MLI&t=1179,1118,https://youtu.be/vk7LsdnqfPc&t=1118,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:19:41,24S
7,7.0,2024/4/20,02:56.8,2024/4/20,02:56.8,3.0,1.0,"Kojiro, Hirata",1000126391,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,0.0,0.0,TwoSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,"1,2",129.27684,0.225992,-2.661461,1363.358585,279.513134,3:15,1.718628,0.322302,1.693144,-113.5817,-1.6408,31.6699,0.647241,-0.119498,118.21553,-7.956597,-0.436597,0.477803,,,,,,,,,,,,-17.9326,0.1681,-0.2547,15.24,1.715633,1.498598,-35.515374,-0.32537,-2.944094,6.975991,-9.779059,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,ba362080-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,126.95604,,,11.06131,,,,16.7467,-35.8101,3.487995,1.720652,0.087781,-4.889529,-0.320641,1.622982,-1.472047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,7.0,7.0,2024/4/20,348.9240367,348.9240389,1713574977,3.0,1.0,平田,Right,TOK,3,宗山,Left,MEI_MEI,1,Top,0,0,0,TwoSeamFastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,126.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,"1,2",木本,直井,,Nothing,,,,,,2411000007,見逃し,,1191,https://youtu.be/DYshhmy0MLI&t=1191,1131,https://youtu.be/vk7LsdnqfPc&t=1131,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:19:54,24S
8,8.0,2024/4/20,03:13.4,2024/4/20,03:13.4,3.0,2.0,"Kojiro, Hirata",1000126391,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,0.0,1.0,TwoSeamFastBall,Splitter,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",129.17119,1.422418,-1.952607,1155.92102,266.33568,3:00,1.756531,0.38054,1.703924,-106.4792,4.5718,19.1478,1.096879,0.016089,118.67878,-6.266907,-0.607578,0.4759,,,,,,,,,,,,-10.9499,2.4865,-0.330952,15.24,1.785489,1.118773,-35.516755,0.450882,-1.813964,6.420214,-9.394746,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,c41dae10-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,127.46373,,,10.49241,,,,16.735781,-35.78612,3.210107,1.758303,0.845045,-4.697373,-0.379488,1.194879,-0.906982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,8.0,8.0,2024/4/20,365.5439417,365.5439439,1713574994,3.0,2.0,平田,Right,TOK,3,宗山,Left,MEI_MEI,1,Top,0,0,1,TwoSeamFastball,BallCalled,Undefined,Undefined,Undefined,0,0,,126.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,"1,2",木本,直井,,Nothing,,,,,,2411000008,ボール,,1208,https://youtu.be/DYshhmy0MLI&t=1208,1148,https://youtu.be/vk7LsdnqfPc&t=1148,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:20:11,24S
9,9.0,2024/4/20,03:31.7,2024/4/20,03:31.7,3.0,3.0,"Kojiro, Hirata",1000126391,Right,TOK,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,1,Top,0,1.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,2",139.28045,-0.841574,-3.331101,2413.99793,215.474194,1:15,1.725852,0.325627,1.945255,-52.6042,41.0615,27.0202,0.963427,-0.339228,126.56495,-4.796721,-1.408379,0.437064,,,,,,,,,,,,-16.4601,22.9361,-0.253799,15.24,1.704377,2.099047,-38.263677,-0.73199,-3.134222,8.15592,-5.439314,TOK,MEI_MEI,JinguStadium,TeamExclusive,Team,20240420-JinguStadium-1,cf02d580-feb1-11ee-92ea-23839dfdeb34,62fefc31-ee41-49fb-bc83-5ad33b7b97e7,v3,,,,"Ryotaro, Fukawa",1000126393,Right,TOK,138.78976,,,12.7155,,,,16.493743,-38.529986,4.07796,1.725379,-0.554384,-2.719657,-0.324008,2.201386,-1.567111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松本 知一,9.0,9.0,2024/4/20,383.8452449,383.8452468,1713575012,3.0,3.0,平田,Right,TOK,3,宗山,Left,MEI_MEI,1,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,138.0,,,,,TOK,#217fc4,東大,MEI_MEI,#4d1f6d,明治,JinguStadium,A,春季リーグ戦,Normal,"1,2",木本,直井,,Nothing,,,,,,2411000009,ボール,,1226,https://youtu.be/DYshhmy0MLI&t=1226,1166,https://youtu.be/vk7LsdnqfPc&t=1166,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太,"中山,榎本,山口真,内田,鈴木太,府川,藤田,青貝,平田","直井,木本,宗山,横山,加藤,小島河,瀨,友納,藤江","平田,府川,藤田,山口真,内田,青貝,中山,榎本,鈴木太","藤江,小島河,加藤,木本,友納,宗山,瀨,直井,横山","L,L,L,L,R,R,R,R,R,R","R,L,R,L,R,R,L,R,L,L",0:20:29,24S
