count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,truetime,season
0,1.0,2024/4/27,00:55.5,2024/4/27,00:55.5,1.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Ayuto, Matsusita",1000126366,Right,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Curveball,Curveball,HitByPitch,Undefined,Undefined,,Undefined,0,0,,114.44089,4.359268,2.489584,2651.831722,57.635056,8:00,1.603495,0.274036,1.604996,-170.0086,-24.1149,-45.9871,1.15518,0.527449,103.70033,-7.813845,-0.717192,0.545473,,,,,,,,,,,,25.1421,-14.4138,-0.33909,15.24,1.710045,-1.16417,-31.346409,1.746869,3.194576,5.749088,-11.638073,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,fc20cdf0-0439-11ef-a6e2-0fb0a9e24796,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,111.2063,,,10.74056,,,,16.836002,-31.63777,2.874544,1.606569,2.33668,-5.819037,-0.275988,-1.326069,1.597288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,1.0,1.0,2024/4/27,1913.074102,1913.074106,1714183256,1.0,1.0,外丸,Right,KEI_KEI,1,松下,Right,HOS_HOS,1,Top,0,0,0,Undefined,HitByPitch,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2411702000,死球,,1001,https://youtu.be/Iq3wRE-7Lls&t=1001,1024,https://youtu.be/KQ6dEtP8ZH0&t=1024,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:04:00,24S
1,,2024/4/27,0:01:28,2024/4/27,0:01:28,,,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kojun, Fujimori",1000242173,Left,HOS_HOS,,1,Top,0,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,,,2024/4/27,1946.573036,1946.573038,1714183289,,,外丸,Right,KEI_KEI,2,藤森康,Left,HOS_HOS,1,Top,0,0,0,,,,,,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,松下,,,PickOff,,,,"1,3","1,3",2411702001,牽制,,1034,https://youtu.be/Iq3wRE-7Lls&t=1034,1038,https://youtu.be/KQ6dEtP8ZH0&t=1038,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:04:32,24S
2,2.0,2024/4/27,01:40.4,2024/4/27,01:40.4,2.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kojun, Fujimori",1000242173,Left,HOS_HOS,Undefined,1,Top,0,0.0,0.0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,1,140.99639,-2.640556,-2.323847,2076.699593,240.874875,2:00,1.571407,0.392931,1.75095,-69.1533,24.6326,38.4794,0.129389,0.117902,128.5353,-7.686278,0.389594,0.437344,,,,,,,,,,,,-21.6243,15.4636,-0.337026,15.24,1.499361,1.38158,-38.709651,-2.065387,-4.204161,8.520607,-6.800238,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,16d16290-043a-11ef-a6e2-0fb0a9e24796,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,138.70074,,,12.46109,,,,16.689198,-39.027338,4.260303,1.571642,-1.811842,-3.400119,-0.39146,1.538331,-2.102081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,2.0,2.0,2024/4/27,1957.96239,1957.962392,1714183300,2.0,1.0,外丸,Right,KEI_KEI,2,藤森康,Left,HOS_HOS,1,Top,0,0,0,Undefined,FoulBall,Undefined,Bunt,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,松下,,,Undefined,,,,,,2411702002,ボール,,1046,https://youtu.be/Iq3wRE-7Lls&t=1046,1050,https://youtu.be/KQ6dEtP8ZH0&t=1050,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:04:45,24S
3,3.0,2024/4/27,02:06.0,2024/4/27,02:06.0,2.0,2.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kojun, Fujimori",1000242173,Left,HOS_HOS,Undefined,1,Top,0,1.0,0.0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,1,141.36327,0.21567,-0.822241,2087.773301,237.553254,2:00,1.601094,0.39104,1.762763,-68.0782,24.8126,34.1431,0.981477,0.49929,128.37339,-4.789876,1.586092,0.435251,,,,,,,,,,,,-18.0115,13.4077,-0.372865,15.24,1.601642,0.383491,-38.867023,-0.127182,-3.531586,8.563108,-7.177759,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,261e29e0-043a-11ef-a6e2-0fb0a9e24796,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,139.36745,,,12.98988,,,,16.676661,-39.182267,4.281554,1.60146,0.137061,-3.588879,-0.389376,0.513504,-1.765793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,3.0,3.0,2024/4/27,1983.646085,1983.646086,1714183326,2.0,2.0,外丸,Right,KEI_KEI,2,藤森康,Left,HOS_HOS,1,Top,0,0,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,松下,,,Nothing,,,,,,2411702003,見逃し,,1072,https://youtu.be/Iq3wRE-7Lls&t=1072,1070,https://youtu.be/KQ6dEtP8ZH0&t=1070,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:05:11,24S
4,,2024/4/27,0:02:27,2024/4/27,0:02:27,,,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kojun, Fujimori",1000242173,Left,HOS_HOS,,1,Top,0,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,,,2024/4/27,2005.190996,2005.190997,1714183348,,,外丸,Right,KEI_KEI,2,藤森康,Left,HOS_HOS,1,Top,0,1,1,,,,,,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,松下,,,PickOff,,,,"1,3","1,3",2411702004,牽制,,1093,https://youtu.be/Iq3wRE-7Lls&t=1093,1091,https://youtu.be/KQ6dEtP8ZH0&t=1091,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:05:31,24S
5,,2024/4/27,0:02:39,2024/4/27,0:02:39,,,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kojun, Fujimori",1000242173,Left,HOS_HOS,,1,Top,0,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,,,2024/4/27,2017.331269,2017.33127,1714183360,,,外丸,Right,KEI_KEI,2,藤森康,Left,HOS_HOS,1,Top,0,1,1,,,,,,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,松下,,,PickOff,,,,"1,3","1,3",2411702005,牽制,,1105,https://youtu.be/Iq3wRE-7Lls&t=1105,1103,https://youtu.be/KQ6dEtP8ZH0&t=1103,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:05:43,24S
6,4.0,2024/4/27,02:50.6,2024/4/27,02:50.6,2.0,3.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kojun, Fujimori",1000242173,Left,HOS_HOS,Undefined,1,Top,0,1.0,1.0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,1,139.63701,0.329533,0.155949,2138.032442,232.747153,1:45,1.550065,0.412022,1.708942,-69.5347,26.3296,30.411,0.948476,0.760501,126.81437,-4.767744,2.293575,0.442164,,,,,,,,,,,,-15.2844,14.0297,-0.418502,15.24,1.553323,-0.260634,-38.382105,-0.062327,-2.922037,8.363489,-7.124474,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,40ad05b0-043a-11ef-a6e2-0fb0a9e24796,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,137.18901,,,12.82264,,,,16.730431,-38.705509,4.181745,1.550407,0.213166,-3.562237,-0.410608,-0.147643,-1.461018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,4.0,4.0,2024/4/27,2034.359738,2034.359739,1714183377,2.0,3.0,外丸,Right,KEI_KEI,2,藤森康,Left,HOS_HOS,1,Top,0,1,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,松下,,,Nothing,,,,,,2411702006,ボール,,1116,https://youtu.be/Iq3wRE-7Lls&t=1116,1114,https://youtu.be/KQ6dEtP8ZH0&t=1114,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:05:55,24S
7,5.0,2024/4/27,03:12.7,2024/4/27,03:12.7,2.0,4.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Kojun, Fujimori",1000242173,Left,HOS_HOS,Undefined,1,Top,0,2.0,1.0,TwoSeamFastBall,Sinker,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,141.83911,-1.184337,-1.858449,2117.49045,238.236139,2:00,1.549597,0.405036,1.778819,-68.275,23.5256,33.1768,0.531107,0.210132,129.53341,-6.184658,0.484422,0.432691,,,,,,,,,,,,-18.5005,13.7453,-0.361308,15.24,1.515325,1.10272,-39.003347,-1.080486,-3.666544,8.345845,-7.08252,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,4dd78940-043a-11ef-a6e2-0fb0a9e24796,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,140.19258,,,12.3057,,,,16.661326,-39.306302,4.172923,1.54988,-0.823389,-3.54126,-0.403753,1.235816,-1.833272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,5.0,5.0,2024/4/27,2050.182384,2050.182385,1714183393,2.0,4.0,外丸,Right,KEI_KEI,2,藤森康,Left,HOS_HOS,1,Top,0,2,1,Undefined,InPlay,Undefined,Bunt,Sacrifice,1,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,松下,,,Undefined,,,,"1,3","1,3A",2411702007,投犠,,1138,https://youtu.be/Iq3wRE-7Lls&t=1138,1136,https://youtu.be/KQ6dEtP8ZH0&t=1136,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:06:17,24S
8,6.0,2024/4/27,03:48.8,2024/4/27,03:48.8,3.0,1.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,145.95561,-1.535491,-1.624209,2303.649202,227.515662,1:30,1.556469,0.413029,1.706732,-54.689,33.9705,33.5274,0.572372,0.286008,131.40727,-5.584907,0.732508,0.425224,,,,,,,,,,,,-18.2149,19.3927,-0.373247,15.24,1.512221,0.951545,-40.046686,-1.294471,-3.757994,9.785566,-5.805671,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,635f50e0-043a-11ef-a6e2-0fb0a9e24796,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,142.65438,,,14.54834,,,,16.731997,-40.409617,4.892783,1.556238,-1.079148,-2.902835,-0.411123,1.090923,-1.878997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,6.0,6.0,2024/4/27,2086.916935,2086.916936,1714183429,3.0,1.0,外丸,Right,KEI_KEI,3,中津,Left,HOS_HOS,1,Top,1,0,0,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,2,,松下,,Nothing,,,,,,2411702008,見逃し,,1174,https://youtu.be/Iq3wRE-7Lls&t=1174,1155,https://youtu.be/KQ6dEtP8ZH0&t=1155,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:06:53,24S
9,7.0,2024/4/27,04:04.2,2024/4/27,04:04.2,3.0,2.0,"Azuma, Sotomaru",1000126488,Right,KEI_KEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0.0,1.0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,2,143.54311,-0.259528,-0.4336,2199.42455,231.8668,1:45,1.567444,0.412648,1.695975,-61.7596,29.8691,33.8235,0.875948,0.627417,129.26609,-4.814601,1.942569,0.432285,,,,,,,,,,,,-17.3166,16.2725,-0.403913,15.24,1.555867,0.1139,-39.41017,-0.432224,-3.461796,9.437446,-6.55357,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240427-JinguStadium-1,6c96a140-043a-11ef-a6e2-0fb0a9e24796,f735e111-ef0a-4c25-b3a7-aba4e76ba21d,v3,,,,"Hikaru, Morimura",1000126502,Right,KEI_KEI,140.32404,,,14.27702,,,,16.742634,-39.768374,4.718723,1.567552,-0.18348,-3.276785,-0.410729,0.245295,-1.730898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,7.0,7.0,2024/4/27,2101.732863,2101.732864,1714183444,3.0,2.0,外丸,Right,KEI_KEI,3,中津,Left,HOS_HOS,1,Top,1,0,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,KEI_KEI,#112163,慶應,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,2,,松下,,Nothing,,,,,,2411702009,ボール,,1190,https://youtu.be/Iq3wRE-7Lls&t=1190,1170,https://youtu.be/KQ6dEtP8ZH0&t=1170,森村,清原,斎藤快,本間,水鳥,古野,横地,常松,"古野,本間,水鳥,清原,横地,常松,斎藤快,森村,外丸","松下,藤森康,中津,武川,吉安,姫木,田所,鈴木照,篠木","外丸,森村,清原,斎藤快,本間,水鳥,古野,横地,常松","篠木,吉安,田所,武川,松下,中津,鈴木照,藤森康,姫木","R,L,R,L,R,L,R,R,R,R","R,R,L,L,R,L,L,R,R,L",0:07:09,24S
