count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PlayID,LocalDateTime,UTCDateTime,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime,umpire,pitchcount,PitchNo.1,Date(opensen),time1,time2,time3,PAofInning(opensen),PitchofPA(opensen),Pitcher(opensen),PitcherThrows(opensen),PitcherTeam(opensen),dajun,Batter(opensen),BatterSide(opensen),BatterTeam(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),TaggedPitchType(opensen),PitchCall(opensen),KorBB(opensen),TaggedHitType(opensen),PlayResult(opensen),OutsOnPlay(opensen),RunsScored(opensen),memo,RelSpeed(opensen),PlateLocHeight(opensen),PlateLocSide(opensen),caught_distance,caught_direction,HomeTeam(opensen),hometeam_color,hometeam_abb,AwayTeam(opensen),awayteam_color,awayteam_abb,Stadium(opensen),Level(opensen),League(opensen),fielding_alignment,Notes(opensen),on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,season
0,1.0,2024/5/25,0:00:46,2024/5/25,0:00:46,1.0,1.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Undefined,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602447,青木 秀憲,1.0,1.0,2024/5/25,2242.211072,2242.211074,1716602447,1.0,1.0,髙須,Right,MEI_MEI,1,武川,Right,HOS_HOS,1,Top,0,0,0,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,58.2,8.4,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501000,見逃し,,969,https://youtu.be/i-AHWJb56gw&t=969,1089,https://youtu.be/96FM2o0Ieko&t=1089,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
1,2.0,2024/5/25,0:00:57,2024/5/25,0:00:57,1.0,2.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,0.0,1.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602458,青木 秀憲,2.0,2.0,2024/5/25,2253.025668,2253.025669,1716602458,1.0,2.0,髙須,Right,MEI_MEI,1,武川,Right,HOS_HOS,1,Top,0,0,1,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,56.6,-31.3,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501001,ボール,,980,https://youtu.be/i-AHWJb56gw&t=980,1100,https://youtu.be/96FM2o0Ieko&t=1100,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
2,3.0,2024/5/25,0:01:08,2024/5/25,0:01:08,1.0,3.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,1.0,Undefined,,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602469,青木 秀憲,3.0,3.0,2024/5/25,2264.001935,2264.001936,1716602469,1.0,3.0,髙須,Right,MEI_MEI,1,武川,Right,HOS_HOS,1,Top,0,1,1,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,93.0,22.4,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501002,空振り,,991,https://youtu.be/i-AHWJb56gw&t=991,1111,https://youtu.be/96FM2o0Ieko&t=1111,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
3,4.0,2024/5/25,0:01:22,2024/5/25,0:01:22,1.0,4.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,2.0,Undefined,,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602483,青木 秀憲,4.0,4.0,2024/5/25,2278.735809,2278.73581,1716602483,1.0,4.0,髙須,Right,MEI_MEI,1,武川,Right,HOS_HOS,1,Top,0,1,2,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,,62.2,9.2,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501003,見三振,,1005,https://youtu.be/i-AHWJb56gw&t=1005,1125,https://youtu.be/96FM2o0Ieko&t=1125,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
4,5.0,2024/5/25,0:01:49,2024/5/25,0:01:49,2.0,1.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602510,青木 秀憲,5.0,5.0,2024/5/25,2305.672341,2305.672343,1716602510,2.0,1.0,髙須,Right,MEI_MEI,2,中津,Left,HOS_HOS,1,Top,1,0,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,119.0,42.0,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501004,ボール,,1032,https://youtu.be/i-AHWJb56gw&t=1032,1146,https://youtu.be/96FM2o0Ieko&t=1146,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
5,6.0,2024/5/25,0:02:00,2024/5/25,0:02:00,2.0,2.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,1.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602521,青木 秀憲,6.0,6.0,2024/5/25,2316.937761,2316.937763,1716602521,2.0,2.0,髙須,Right,MEI_MEI,2,中津,Left,HOS_HOS,1,Top,1,1,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,115.0,14.0,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501005,ボール,,1043,https://youtu.be/i-AHWJb56gw&t=1043,1157,https://youtu.be/96FM2o0Ieko&t=1157,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
6,7.0,2024/5/25,0:02:25,2024/5/25,0:02:25,2.0,3.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,2.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602546,青木 秀憲,7.0,7.0,2024/5/25,2341.132687,2341.132689,1716602546,2.0,3.0,髙須,Right,MEI_MEI,2,中津,Left,HOS_HOS,1,Top,1,2,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,32.3,6.4,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501006,ボール,,1068,https://youtu.be/i-AHWJb56gw&t=1068,1182,https://youtu.be/96FM2o0Ieko&t=1182,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
7,8.0,2024/5/25,0:02:39,2024/5/25,0:02:39,2.0,4.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,1,Top,1,3.0,0.0,Undefined,,BallCalled,Walk,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602560,青木 秀憲,8.0,8.0,2024/5/25,2355.264884,2355.264886,1716602560,2.0,4.0,髙須,Right,MEI_MEI,2,中津,Left,HOS_HOS,1,Top,1,3,0,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,,118.3,-31.1,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,,,,,Nothing,,,,,,2414501007,四球,,1082,https://youtu.be/i-AHWJb56gw&t=1082,1196,https://youtu.be/96FM2o0Ieko&t=1196,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
8,9.0,2024/5/25,0:03:10,2024/5/25,0:03:10,3.0,1.0,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Ayuto, Matsusita",1000126366,Right,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Undefined,,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602591,青木 秀憲,9.0,9.0,2024/5/25,2386.670365,2386.670367,1716602591,3.0,1.0,髙須,Right,MEI_MEI,3,松下,Right,HOS_HOS,1,Top,1,0,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,84.6,41.3,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,中津,,,Nothing,,,,,,2414501008,ボール,,1113,https://youtu.be/i-AHWJb56gw&t=1113,1219,https://youtu.be/96FM2o0Ieko&t=1219,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
9,,2024/5/25,0:03:27,2024/5/25,0:03:27,,,"Hiromasa, Takasu",1000126494,Right,MEI_MEI,"Ayuto, Matsusita",1000126366,Right,HOS_HOS,,1,Top,1,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEI_MEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20240525-JinguStadium-3,,36a56619-ea76-470f-9309-b3ffefc2cd0d,v3,,,,"Taiga, Kojima",1000126501,Right,MEI_MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716602608,青木 秀憲,,,2024/5/25,2403.816822,2403.816824,1716602608,,,髙須,Right,MEI_MEI,3,松下,Right,HOS_HOS,1,Top,1,1,0,,,,,,0,0,,,,,,,MEI_MEI,#4d1f6d,明治,HOS_HOS,#fc6f1e,法政,JinguStadium,A,春季リーグ戦,Normal,1,中津,,,PickOff,,,,"1,3","1,3",2414501009,牽制,,1130,https://youtu.be/i-AHWJb56gw&t=1130,1236,https://youtu.be/96FM2o0Ieko&t=1236,小島河,吉田,木本,宮田,光弘,飯森,直井,横山,"直井,飯森,小島河,横山,吉田,木本,宮田,光弘,髙須","武川,中津,松下,姫木,内海,吉安,田所,鈴木照,篠木","髙須,小島河,吉田,木本,宮田,光弘,飯森,直井,横山","篠木,吉安,田所,武川,松下,中津,内海,鈴木照,姫木","R,L,L,L,R,L,R,L,L,R","R,R,L,R,L,R,L,R,R,L",24S
